"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005004807069711","https://ae04.alicdn.com/kf/Sab5237108534445b9c4805d02188730bn.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100091072808.mp4","Duck Down Pants Men Outdoor Wadded Winter 8XL 7XL 6XL Jogger Warm Waterproof Thermal Trousers Plus Size Cold Resistant Clothes","USD 80.00","USD 30.40","62%","USD","9","USD 2.74","16","100.0%","https://s.click.aliexpress.com/e/_DmxAnHl",,,,,,
"4000972217680","https://ae04.alicdn.com/kf/S0161d938bd93459c81ef9241f745ac87d.jpg",,"Men Denim Jacket Trendy Winter Warm Fleece Coats Mens Outwear Fashion Jean Jackets Male Cowboy Casual Clothes Plus US Size 4XL","USD 71.96","USD 28.78","60%","USD","9","USD 2.59","26","100.0%","https://s.click.aliexpress.com/e/_DdnKf2B",,,,,,
"1005004339195566","https://ae04.alicdn.com/kf/Sbfebbdcd2a8d4091999d9b9b19b004eaz.jpg",,"2022 Satin Silk Pajamas for Women Summer Pyjamas Home Clothes Women Nightwear Pajama Set Long Nightgown Plus Size Sleepwear","USD 14.85","USD 9.80","34%","USD","8.0","USD 0.78","471","90.2%","https://s.click.aliexpress.com/e/_Dlfu0uR",,,,,,
"1005004317129535","https://ae04.alicdn.com/kf/S96ea54ef58d544cbab7bee5a112fe901C.jpg",,"Children's Pants  Autumn and Winter Clothes  Cartoon Printing Pants  Girls Stretch Plus Velvet Stretch Leggings To Keep Warm","USD 9.00","USD 4.32","52%","USD","9","USD 0.39","324","97.8%","https://s.click.aliexpress.com/e/_DDWC5RD",,,,,,
"33043874110","https://ae04.alicdn.com/kf/HTB1hn3KdgaH3KVjSZFjq6AFWpXam.jpg",,"Quick Dry Sport T Shirt Men 2022 Short Sleeves Summer Casual Cotton Plus Asian Size M-5XL 6XL 7XL Top Tees GYM Tshirt Clothes","USD 16.35","USD 11.28","31%","USD","9.0","USD 1.02","869","94.7%","https://s.click.aliexpress.com/e/_DFhODrZ",,,,,,
"4000167548043","https://ae04.alicdn.com/kf/Hb35c4cd37cfb4beabb70b99bfcf736f4Z.jpg",,"Harajuku Hope Love letter Women T Shirt women clothes summer kawaii plus size women Short Sleeve T-shirt Funny tumblr","USD 18.90","USD 4.91","74%","USD","9","USD 0.44","14","100.0%","https://s.click.aliexpress.com/e/_DlyjwAF",,,,,,
"1005004941712877","https://ae04.alicdn.com/kf/S328885e04af147e59cb8451567e49434Y.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100112517423.mp4","Fleece Leggings Women Skirts Pants Culotte 2022 Autumn Winter Plus Size Clothes Chubby Thermal Tights Leggins Skort Korean Casua","USD 32.38","USD 19.43","40%","USD","9.0","USD 1.75","57","100.0%","https://s.click.aliexpress.com/e/_Ddqk5H5",,,,,,
"1005001406714028","https://ae04.alicdn.com/kf/Hc93c19fc67204a7fa92bc2918e17ae54I.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100092335238.mp4","-30 Temperature Winter Warm Thick Trousers For Boys Girls Plus Thick Velvet Pants Kids Clothes 2-10 Years Children Trousers","USD 22.58","USD 18.07","20%","USD","9","USD 1.63","112","93.3%","https://s.click.aliexpress.com/e/_DFszmXz",,,,,,
"1005004997148574","https://ae04.alicdn.com/kf/Sa6ee949300674efa80a61d3d4837d30er.jpg",,"Plus Size Tops Men Sport T-shirt Long Sleeve Running Tees Dry Fit Breathable Training Clothes Gym Sportswear Fitness Sweatshirts","USD 17.71","USD 10.80","39%","USD","8.5","USD 0.92","3","100.0%","https://s.click.aliexpress.com/e/_DkOZC4n","SHEDAO22101A","2022/10/02 00:00:00","2022/12/31 23:59:59","USD 1.00","99996","USD 10.00"
"1005004674677463","https://ae04.alicdn.com/kf/Sa20178c09a114a67b1da1cc2f6b3fc30r.jpg",,"Girls Leggings 2022 Winter Pants for Kids Plus Velvet Teenager Leggins Warm Children Tights Thicken Panty Clothes 1-12years","USD 12.00","USD 9.36","22%","USD","9","USD 0.84","99","98.0%","https://s.click.aliexpress.com/e/_Dmy5REP",,,,,,
"1005004399651291","https://ae04.alicdn.com/kf/Sdf4939020fce4f83bbfb159e0b0b959bR.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100084059318.mp4","Real Fur Women Winter Natural Fur Coat Warm Jacket Fox Leather Luxury Vest Long Parkas Plus Size Clothes For Party Child Fashion","USD 316.00","USD 148.52","53%","USD","12.0","USD 17.82","25","100.0%","https://s.click.aliexpress.com/e/_Debr4hv",,,,,,
"1005004246496150","https://ae04.alicdn.com/kf/S12ab56c0a92a4ada9b5c893e8bf9b8b4B.jpg",,"Women Dress Elegant Vestidos O-neck High-Waist Plus Size Midi Dress Embroidery Lace 3/4 Sleeve Lady Evening Dress Female Clothes","USD 21.00","USD 12.60","40%","USD","9","USD 1.13","134","83.8%","https://s.click.aliexpress.com/e/_Dk6mXmf",,,,,,
"1005002289231103","https://ae04.alicdn.com/kf/H14a67772627b4cd0b61280a183a1d00bv.jpg",,"Japanese Manga Berserk Guts T-Shirts Men 100% Cotton T Shirts Swordsman Gatsu Manga Anime Tee Shirt Plus Size Clothes","USD 13.81","USD 5.53","60%","USD","9","USD 0.50","444","88.2%","https://s.click.aliexpress.com/e/_DdDowaF",,,,,,
"1005001498726614","https://ae04.alicdn.com/kf/H772e4b94900d4194849cf7d781d8a0f7H.jpg",,"African Print Dresses for Women Dress Dashiki Geometric Patchwork African Clothes Plus Size Retro Africa Bodycon Christmas Robe","USD 33.53","USD 17.44","48%","USD","7","USD 1.22","29","97.1%","https://s.click.aliexpress.com/e/_DE7in7t",,,,,,
"32798849530","https://ae04.alicdn.com/kf/S83ffe3239b074f119412b662a8e8f05aZ.jpg",,"New Women Shirt Classic Chiffon Blouse Female S-4XL Plus Size Loose Long Sleeve Shirt Lady Simple Style Tops Clothes Blusas 6830","USD 15.21","USD 11.10","27%","USD","9","USD 1.00","402","94.4%","https://s.click.aliexpress.com/e/_DBapXux",,,,,,
"4001307967270","https://ae04.alicdn.com/kf/H827ff89c74fd4da3b4f61c51ce80955aj.jpg",,"Cow Print Button Up Shirts Women Long Sleeve Blouse Korean Fashion Clothes Chiffon Streetwear Plus Size Tops Spring New 13486","USD 16.82","USD 11.44","32%","USD","9","USD 1.03","198","99.2%","https://s.click.aliexpress.com/e/_DDRnacB",,,,,,
"32922019928","https://ae04.alicdn.com/kf/S919b7057247440a990637501d352c665I.jpg",,"BROWON Autumn Fashion Plus Size 5XL Mens T Shirt with Collar Color Patchwork t-shirt Long Sleeve Tshirt Men Clothes 2022","USD 26.41","USD 15.05","43%","USD","9","USD 1.35","59","96.3%","https://s.click.aliexpress.com/e/_DEVYKLN",,,,,,
"4000374232021","https://ae04.alicdn.com/kf/H4c6f77dca5964bbdacbab19a1f5016fcO.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/280449526515.mp4","Long Skirts Womens 2020 Summer Sexy Bandage Pencil Skirt Woman Clothes Plus Size Fashion Harajuku Vintage Elastic Ladies Skirts","USD 42.00","USD 14.70","65%","USD","9","USD 1.32","57","81.0%","https://s.click.aliexpress.com/e/_DcxXmyX",,,,,,
"1005004800172168","https://ae04.alicdn.com/kf/S8647b09c2d2940cd9ba98baf718032b3q.jpg",,"Free Style African Dress For Woman Embroidery Design Ladys Clothes Plus Size Dresses For Women Floor Length","USD 35.99","USD 31.31","13%","USD","8.0","USD 2.50","55","90.0%","https://s.click.aliexpress.com/e/_DmrwWhD",,,,,,
"1005001608549582","https://ae04.alicdn.com/kf/H5939f0172ffe4644a36c98630fc9fe2bt.jpg",,"Christmas Princess Dress For Girls Plus Velvet Thicken Warm Winter Infant Baby Clothes Chinese Style New Year Kids Tutu Dresses","USD 27.87","USD 17.28","38%","USD","8.0","USD 1.38","152","100.0%","https://s.click.aliexpress.com/e/_Dcx7LBZ",,,,,,
"4000142033679","https://ae04.alicdn.com/kf/H938fb52a01e74e05a21c2b60aa4dcaf78.jpg",,"Running Sets Men Sportswear Short sleeve Clothes Fitness Basketball tennis Soccer Plus Size Gym Clothing 2 pieces Sports Suits","USD 14.70","USD 10.58","28%","USD","10.5","USD 1.11","76","94.8%","https://s.click.aliexpress.com/e/_De58KpZ","SHEDAO1B2210","2022/10/02 00:00:00","2022/12/31 23:59:59","USD 1.00","99991","USD 10.00"
"1005004826175238","https://ae04.alicdn.com/kf/S6430bb944b7b4a80930f5277a7d14252f.jpg",,"ROSEGAL Lace-up Faux Leather Skirt 2022 New Sexy Girls Black A Line Mini Skater Skirts Female Harajuku Streetwear Clothes 5XL","USD 28.99","USD 16.52","43%","USD","9","USD 1.49","20","92.0%","https://s.click.aliexpress.com/e/_Dc63d6r",,,,,,
"1005004313728319","https://ae04.alicdn.com/kf/Sb248745d34e24a92b7c8e280fb1e6d92V.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100033206186.mp4","Traditional Dashiki African Dresses for Women Plus Size Boubou Robe Africaine Femme Dubai Embroidery Clothes Kaftan Maxi Dress","USD 43.32","USD 22.96","47%","USD","10.0","USD 2.30","104","88.6%","https://s.click.aliexpress.com/e/_DD44j7Z",,,,,,
"1005003774872413","https://ae04.alicdn.com/kf/S547117781d304faba82d740b41e92435e.jpg",,"Women Nightgown Cotton Short Sleeve Lingerie Polka Dot Nightwear Women's Pajamas Home Clothes Dressing Gown Plus Size Nightdress","USD 27.31","USD 14.20","48%","USD","8.0","USD 1.14","85","89.5%","https://s.click.aliexpress.com/e/_DdfyzqX","GJ4YCVP3HKGV","2022/12/08 00:00:00","2023/01/31 23:59:59","USD 1.00","4976","USD 10.00"
"1005003386335860","https://ae04.alicdn.com/kf/Sd6d6f9f31e4f45f1b6f393b73fce9c68l.jpg",,"Black Vintage High Waist Pleated Skirt Women Plus Size Fashion Drawstring Loose Casual Midi Skirts Clothes Autumn Winter 2022","USD 32.50","USD 20.47","37%","USD","9","USD 1.84","237","98.1%","https://s.click.aliexpress.com/e/_DBofzef",,,,,,
"4000005906790","https://ae04.alicdn.com/kf/HTB130nEXubviK0jSZFNq6yApXXaS.jpg",,"Fashion Running Sport Shirts Tops Men Quick Dry Breathable Training Clothes Gym Fitness Golf Tennis Jersey Sweatshirts Plus Size","USD 19.16","USD 11.88","38%","USD","10.5","USD 1.25","36","100.0%","https://s.click.aliexpress.com/e/_DlzL8bN","SHEDAO22101A","2022/10/02 00:00:00","2022/12/31 23:59:59","USD 1.00","99996","USD 10.00"
"1005002803544383","https://ae04.alicdn.com/kf/H8c63a72ac3a34afe8d51c5bd585ff2b5y.jpg",,"Woman Linen Blouse Shirt Plus Size Solid Color Top Tunics Female Casual Loose Blusas Femme Summer Spring Clothes S-5xl","USD 10.47","USD 7.22","31%","USD","10.0","USD 0.72","54","77.3%","https://s.click.aliexpress.com/e/_DDjZ1DV",,,,,,
"1005001848159757","https://ae04.alicdn.com/kf/Ha699dd6ce13740558007306fe693204be.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/289490728158.mp4","Plus Size Velvet Dress Dashiki African Clothes For Women 3 Pieces Set Top Skirt With Headtie Ladies Long Maxi Party Dresses Robe","USD 63.32","USD 36.09","43%","USD","8.0","USD 2.89","37","100.0%","https://s.click.aliexpress.com/e/_DFQR40B",,,,,,
"1005003352932321","https://ae04.alicdn.com/kf/Hb2c39284e3f7480899e76b59dfc11384J.jpg",,"Swag Men Sweatshirt Ready To Race Print Hoodie Plus Size Novelty Hoody Enduro Cross Motocross Bitumen Bike Life Coats Clothes","USD 22.64","USD 12.22","46%","USD","9","USD 1.10","57","91.3%","https://s.click.aliexpress.com/e/_DCXjilt",,,,,,
"1005001802832076","https://ae04.alicdn.com/kf/S6ccf4e3a9f784a74be09b5271f56e37fv.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/344629281917.mp4","Bohemian Printed V-neck Batwing Sleeve Side Split Loose Dress For Women Clothes Plus Size Beachwear Maxi Dress Q1218","USD 27.98","USD 15.39","45%","USD","9","USD 1.39","58","98.2%","https://s.click.aliexpress.com/e/_Dmgg0nz",,,,,,
"1005003357275811","https://ae04.alicdn.com/kf/H07655b7c9e0344bab228d2fa9c908e17w.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100087905100.mp4","Winter Thick Warm Velvet Pajamas Nightgown Women Cute Hooded Flannel Robe Set Couple Long Homewear Plus Size Men's Home Clothes","USD 59.20","USD 23.09","61%","USD","8.0","USD 1.85","51","97.0%","https://s.click.aliexpress.com/e/_Dlt8pCL","HNP3TFS6CS22","2022/12/20 00:00:00","2022/12/31 23:59:59","USD 1.00","9996","USD 10.00"
"1005004829845080","https://ae04.alicdn.com/kf/Sfee24cc5c3584978a47a576bfd60d780B.jpg",,"Autumn Winter New Thickening Warm Women Pantyhose Plus Size Transparent Pantyhose Warm Thickening Intimate Underwear Stockings","USD 12.23","USD 6.36","48%","USD","7","USD 0.45","38","100.0%","https://s.click.aliexpress.com/e/_DBnijbt",,,,,,
"4001283076764","https://ae04.alicdn.com/kf/Hff014705e3c14db0a2f343ed6c38e1d8L.jpg",,"Plus Size 5XL 6XL 7XL Men Solid Color Business Shirt Fashion Casual Slim White Long Sleeve Shirt Male Brand Clothes","USD 23.80","USD 11.90","50%","USD","9","USD 1.07","926","92.4%","https://s.click.aliexpress.com/e/_Dlijrk3",,,,,,
"4000375396966","https://ae04.alicdn.com/kf/Hdc92853f08c6489ebda279c92fab507bi.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/286541671124.mp4","Bandage Skirt Womens Mini Skirt Winter Sexy Woman Clothes Short Harajuku Women Skirts 2020 New Bodycon Plus Size 2XL","USD 32.50","USD 13.00","60%","USD","9","USD 1.17","66","93.3%","https://s.click.aliexpress.com/e/_Dn2aRSJ",,,,,,
"1005004836769274","https://ae04.alicdn.com/kf/Sdf74a9c6a8cd43f8b09a4449264cc4b5J.jpg",,"Girls Leggings Winter Kids Clothes Warm Girls Pants Plus Velvet Cartoon Thickening Baby Girl Leggings Outer Wear Kids Leggings","USD 15.49","USD 6.20","60%","USD","9","USD 0.56","31","96.7%","https://s.click.aliexpress.com/e/_Ddcsj1H",,,,,,
"1005004950021182","https://ae04.alicdn.com/kf/S3561921cc46146af9427b27e403bbed0s.jpg",,"2022 Autumn Winter New Childen Thicken Pants 0-6years Boy Infant Plus Velvet Casual Pant Girl Kid Plaid Trousers Toddler Clothes","USD 15.18","USD 10.47","31%","USD","9","USD 0.94","26","100.0%","https://s.click.aliexpress.com/e/_DkQ1swL",,,,,,
"1005004241381369","https://ae04.alicdn.com/kf/S3af31daf614b4319a1ac9034056531d3a.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100031699876.mp4","2 Piece Set Plus Size Clothes Women Dashiki African 2022 Summer Chiffon Print Tops Pants Trousers Suits Ankara Party Outfits","USD 41.65","USD 24.57","41%","USD","8.0","USD 1.97","377","90.8%","https://s.click.aliexpress.com/e/_DBfd4q3",,,,,,
"1005004090814238","https://ae04.alicdn.com/kf/S557e3f4d1836421fbb2f1c9d780040a4W.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/353258253306.mp4","Free Style African Dress For Woman Embroidery Design Ladys Clothes Plus Size Dresses For Women","USD 35.99","USD 31.31","13%","USD","7","USD 2.19","349","93.7%","https://s.click.aliexpress.com/e/_DDSJraP",,,,,,
"1005002289731380","https://ae04.alicdn.com/kf/H0ae3f4d00fe04ab891e331847416bfe74.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/310744887180.mp4","2021 Summer Men's T Shirt Casual Printed Tshirt Short Sleeve Men T-shirt  Women's Funny Cotton Tee Plus Size S 6XL Men Clothes","USD 11.22","USD 5.84","48%","USD","9","USD 0.53","80","97.6%","https://s.click.aliexpress.com/e/_Dl0NH7Z",,,,,,
"1005003652233969","https://ae04.alicdn.com/kf/Hdf11a9337c4841888e86308bd5c9fea8M.jpg",,"Baby Chinese Traditional Clothes Plus Velvet Thicken Warm Winter Infant Outwear Unisex Newborn Boy Girl Rompers For New Year","USD 31.59","USD 20.53","35%","USD","7","USD 1.44","80","100.0%","https://s.click.aliexpress.com/e/_DBYvPer",,,,,,
"1005004407807994","https://ae04.alicdn.com/kf/S7fa0735732684dfbb192bf056266b884i.jpg",,"African Dresses for Women Plus Size Africa Clothes Dashiki Ankara Sequin Outfit Gown Kaftan Muslim Wedding Party Long Maxi Dress","USD 59.50","USD 35.70","40%","USD","7","USD 2.50","55","88.6%","https://s.click.aliexpress.com/e/_Dk8CB3Z",,,,,,
"1005004864857646","https://ae04.alicdn.com/kf/S06c800f5d5f34c73b5557579a999949cM.jpg",,"New Winter Children Clothes Baby Boys Cartoon Bear Plus Velvet Tops Pants 2Pcs/Set Infant Kids Warm Costume Casual Tracksuits","USD 19.47","USD 11.68","40%","USD","9","USD 1.05","29","90.0%","https://s.click.aliexpress.com/e/_DBdkcF5",,,,,,
"1005003797317261","https://ae04.alicdn.com/kf/Sf6acc0b6d44e4a048c212c5c607ad0bcH.jpg",,"Anime Tokyo Revengers T-Shirt Men Cotton T Shirt Manga Team Walhalla Cosplay Clothes Tee Shirt Plus Size Tops Women Streetwear","USD 10.99","USD 6.26","43%","USD","9","USD 0.56","66","95.6%","https://s.click.aliexpress.com/e/_DmQ37sL",,,,,,
"1005001957232756","https://ae04.alicdn.com/kf/Sf471ec6a88e843948687c72c47b769e2B.jpg",,"Children's Wear Boys' Suit 2021 New Spring Autumn Clothes Children's Plus Velvet Padded Three-piece Set Vest+Hoodies+Pants 4-14Y","USD 30.73","USD 21.51","30%","USD","9","USD 1.94","172","98.0%","https://s.click.aliexpress.com/e/_DCEHxHV",,,,,,
"1005004151386796","https://ae04.alicdn.com/kf/Se896f8c723154d29aefbb0336f0b51e8y.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100011835570.mp4","Men's Clothes Big Size Men Polo Shirts Short Sleeve Breathable Golf Wear Tee Shirt Male 8xl 7xl Large Plus Size Designer Fashion","USD 15.70","USD 9.42","40%","USD","9","USD 0.85","43","91.1%","https://s.click.aliexpress.com/e/_DBHGuv1",,,,,,
"1005004775508724","https://ae04.alicdn.com/kf/Sd1cc06421dee49f19bbb93cd55943d24F.jpg",,"Autumn Winter New Patchwork Elegant Fashion Plus Size Dress Women Three Quarter Sleeves Chic Vestidos Oversized Female Clothes","USD 39.97","USD 23.98","40%","USD","9.0","USD 2.16","63","90.9%","https://s.click.aliexpress.com/e/_DCTzbvN",,,,,,
"1005003323812686","https://ae04.alicdn.com/kf/H4d526fbca8d24f34ba0e37112dd7a5ceI.jpg",,"2023 New Leather Jacket Top Layer 100% Cowhide Leather Clothes Men's Stand Collar Motorcycle Clothes  Autumn Winter Plus Size","USD 201.46","USD 100.73","50%","USD","9","USD 9.07","408","95.2%","https://s.click.aliexpress.com/e/_DDY7hSr",,,,,,
"4001246120613","https://ae04.alicdn.com/kf/Hca60da4967f041a291ecf0f1ddbb24f7b.jpg",,"Men 2020 Summer Korean Style Casual Pants Mens Fashion Plus Size 5XL Trousers Male Oversize Harem Pants Men Clothes","USD 21.55","USD 10.99","49%","USD","9","USD 0.99","57","98.2%","https://s.click.aliexpress.com/e/_DeZRFz5",,,,,,
"1005004785341522","https://ae04.alicdn.com/kf/Saeb250a5dde9493fae0cfb83f3e7a0edO.jpg",,"BROWON Brand Winter Clothes Men New Plus Size 8XL Solid Color Fleece Jacket Coat Male Regular Hat Detachable Parkas Men Clothing","USD 84.81","USD 42.40","50%","USD","9","USD 3.82","52","100.0%","https://s.click.aliexpress.com/e/_DluTVTD",,,,,,
"1005003243577785","https://ae04.alicdn.com/kf/H3fa43939f0cf4b8392c775a90190a79bY.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100085067509.mp4","Men Winter Parkas Fashion Solid Hooded Cotton Coat Jacket Casual Warm Clothes Mens Overcoat Streetwear Puffer Jacket Plus Size","USD 9.85","USD 7.88","20%","USD","9","USD 0.71","183","83.3%","https://s.click.aliexpress.com/e/_DlRtspt",,,,,,
"1005001689714139","https://ae04.alicdn.com/kf/Hcff16f60329b44829529f8e22c0a3d2cw.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/285661718887.mp4","Men's Sports Wool Thick Thermal Underwear Set Winter Underwear Underwear Warm Clothes Plus Size S-3XL","USD 28.07","USD 21.05","25%","USD","8.0","USD 1.68","35","96.7%","https://s.click.aliexpress.com/e/_DnBdpxZ",,,,,,
"32505820702","https://ae04.alicdn.com/kf/H8787ee8723294f94bd2a378d753be7f7k.jpg",,"2020 womens winter thick down coats black navy blue army green red plus size  clothes female  long jackets for women winter","USD 81.85","USD 69.58","15%","USD","9","USD 6.26","86","96.9%","https://s.click.aliexpress.com/e/_DdsfhsT",,,,,,
"1005002269776808","https://ae04.alicdn.com/kf/Hd49c48ffedb94157b742d893442128beW.jpg",,"Harajuku Sweet Fruit Print Women Hoodie Pocket Spring Loose Thin Zipper Sweatshirt Girl Cute Pink Plus Size Clothes Among Us","USD 22.15","USD 22.15","0%","USD","9","USD 1.99","60","92.9%","https://s.click.aliexpress.com/e/_DBFxYAT",,,,,,
"1005003879018961","https://ae04.alicdn.com/kf/S7830c2dd4ab94d77a184f710aa674399P.jpg",,"Lover Tracksuit Hoodies Printing QUEEN KING Couple Sweatshirt Plus Size Hooded Clothes Hoodies Women Two Piece Set","USD 13.12","USD 8.66","34%","USD","9.0","USD 0.78","1100","91.7%","https://s.click.aliexpress.com/e/_DdhwZUT",,,,,,
"1005003874216461","https://ae04.alicdn.com/kf/S7ddb4f5bea574bbc98815a7b35700b57h.jpg",,"African Dresses for Women Summer Sexy African Women Printing Polyester Plus Size Long Dress African Robes African Clothes Women","USD 24.19","USD 12.09","50%","USD","7","USD 0.85","46","90.0%","https://s.click.aliexpress.com/e/_DEA3PdV",,,,,,
"1005004573254635","https://ae04.alicdn.com/kf/Sfabe9fbc7f1d4abda4a27aafe93a0169r.jpg",,"ROSEGAL Sexy V-Neck Buckled Lace Blouse Fashion Top For Women Summer Streetwear Clothes Tees 4XL Deep Red Stretchly Flared Shirt","USD 27.99","USD 15.95","43%","USD","9","USD 1.44","23","95.0%","https://s.click.aliexpress.com/e/_DBz2Mxd",,,,,,
