"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005004828112463","https://ae04.alicdn.com/kf/Sdab5b1e974094692a5cbbe1ff1fc5d21o.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100092098614.mp4","CHIC VEN Women's Jeans Blue New Flare Pants High-waisted Woman Denim Pants Light Color Pants Female Autumn 2022","USD 36.40","USD 34.58","5%","USD","9.0","USD 3.11","41","95.0%","https://s.click.aliexpress.com/e/_DksP3c3",,,,,,
"4000176504123","https://ae04.alicdn.com/kf/S2b6c7952037348c4902e1beed39ec254Z.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/289507338819.mp4","Winter Warm Jeans Woman 2022 High Waist Casual Velvet Ladies Trousers Female Pantalon Denim jeans for Women Pants clothe","USD 30.20","USD 19.63","35%","USD","9","USD 1.77","354","92.6%","https://s.click.aliexpress.com/e/_DlUQzMj",,,,,,
"1005004061565468","https://ae04.alicdn.com/kf/S3d5e1e9b83b943bfbe68c6be1b16c80fM.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/351867172957.mp4","Streetwear Camouflage Jeans Woman High Waist Cargo Pants Straight Jeans Fashion Straight Baggy Pants Y2k Casual Denim Trousers","USD 41.10","USD 21.78","47%","USD","10.0","USD 2.18","398","93.8%","https://s.click.aliexpress.com/e/_Dm66JDd",,,,,,
"1005003644091256","https://ae04.alicdn.com/kf/S7972e98abb0e4fabab88fb3c4b1632e6t.jpg",,"Winter Female Thick Plus Velvet Fleece Warm Women Baggy Flared  Jeans Trousers High Waist Stretch Denim Pencil Pants Oversize","USD 35.11","USD 18.26","48%","USD","9","USD 1.64","184","95.8%","https://s.click.aliexpress.com/e/_DCntdWf",,,,,,
"1005003230495939","https://ae04.alicdn.com/kf/H3d44b35838eb4127bfd6a45aa53a6efcs.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100037735260.mp4","Jean Baggy Jeans Women Oversize Pants Women's Clothing 2021 Fashion Woman Clothes High Waisted Trousers Wide Leg Pant Mom Korean","USD 45.00","USD 26.10","42%","USD","15.0","USD 3.92","44","92.4%","https://s.click.aliexpress.com/e/_DDWi3NN",,,,,,
"1005004751244784","https://ae04.alicdn.com/kf/S6f3b3d0ed1e24c44b634398b36981668i.jpg",,"ZOENOVA Winter 2022 Warm Women Thick Velvet Jeans Fleece Full Length Fashion High Waist Skinny Elastic Pants Jean Casual Legging","USD 32.74","USD 17.03","48%","USD","9","USD 1.53","107","91.1%","https://s.click.aliexpress.com/e/_DBbufKX",,,,,,
"1005003712218630","https://ae04.alicdn.com/kf/Se84afb8ec7104d048157168b0704a812P.jpg",,"HOUZHOU Gothic Grunge White Baggy Jeans Women Oversize Streetwear Print Wide Leg Denime Pants Harajuku Black Trousers Female","USD 33.02","USD 19.48","41%","USD","9.0","USD 1.75","27","86.7%","https://s.click.aliexpress.com/e/_DCDUZeJ",,,,,,
"1005004735188795","https://ae04.alicdn.com/kf/S298568f1733b4aa193bbd23a26758506b.jpg",,"Y2K Women Korean Vintage Streetwear Baggy Jeans High Waisted Straight Wide Leg Pants Denim Trousers Fairy Grunge Alt Clothes","USD 16.70","USD 11.69","30%","USD","10.0","USD 1.17","129","92.7%","https://s.click.aliexpress.com/e/_DdgYwix",,,,,,
"1005004980734855","https://ae04.alicdn.com/kf/Sff84eb10ca114fef9c92bb2bd68424cea.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100102379059.mp4","Women Thick Velvet High Waist Skinny Jeans Thermal Jeans Winter Warm Plush Stretch Snow Jeans Lady Denim Pants Casual Trousers","USD 35.14","USD 14.06","60%","USD","9","USD 1.27","90","90.0%","https://s.click.aliexpress.com/e/_DEjnh8x",,,,,,
"1005003681003454","https://ae04.alicdn.com/kf/S5de807aa76f54cf8a178ed3ced7219f8k.jpg",,"Women's Gray Jeans High Waist Tapered Jeans Plus Size 100 Kgs Denim Jeans Stretchy 6XL Harem Full Length Loose Women Jeans 2023","USD 54.99","USD 29.14","47%","USD","9","USD 2.62","63","97.0%","https://s.click.aliexpress.com/e/_DBoOgP9","SP78PJ5MW8R9","2022/12/04 00:00:00","2022/12/31 23:59:59","USD 2.00","1830","USD 3.00"
"1005002176229738","https://ae04.alicdn.com/kf/H596a70ee4b3f4e0eafe63c3d3f0b3ab6e.jpg",,"Cotday Spring Vintage Black Elastic Skinny Denim Women High Waisted Waist Stretch Jeans Female Casual Gray Pencil Leggings Pants","USD 22.20","USD 15.54","30%","USD","9","USD 1.40","21","100.0%","https://s.click.aliexpress.com/e/_DE10NSP",,,,,,
"1005003187620334","https://ae04.alicdn.com/kf/H50ce001330cc42d3bea05db2f95aedebL.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/323580733598.mp4","Karrram Vintage Asymmetrical Waist Hole Straight Jeans Womens Loose Denim Pants 2021 Casual Wide Leg Pants Streetwear Mom Jeans","USD 46.02","USD 23.01","50%","USD","9","USD 2.07","516","94.2%","https://s.click.aliexpress.com/e/_DF1rw8J",,,,,,
"1005003514080928","https://ae04.alicdn.com/kf/H0787f885176c4e2e8a81c1ad43c0deefF.jpg",,"Winter Fleece Flared Pants Jeans Women New Fashion High Waist Stretch Slim TWide Legs Hick Velvet Female Denim Trousers","USD 46.75","USD 23.37","50%","USD","9","USD 2.10","294","93.9%","https://s.click.aliexpress.com/e/_DlKsmUf",,,,,,
"1005002716579646","https://ae04.alicdn.com/kf/H26f4107f36954aeb8c58a47ab0ee3c41e.jpg",,"Bootcut Jeans With Embroidery Designs On Back Pocket For Women Embroidery Jeans Woman Pants Denim Ladies Casual Jeans","USD 30.96","USD 16.41","47%","USD","9.0","USD 1.48","21","91.4%","https://s.click.aliexpress.com/e/_DEvRs2F","VEVWBXUTYO6X","2022/12/02 00:00:00","2022/12/31 23:59:59","USD 1.00","174","USD 10.00"
"1005001521826658","https://ae04.alicdn.com/kf/H24aad09330be43b695221fe9dc67c747a.jpg",,"Winter Female Thick Fleece Velvet Fleece Warm Women Skinny Jeans Trousers High Waist Stretch Denim Pencil Pants Size 4XL 5XL 6XL","USD 30.96","USD 17.03","45%","USD","9","USD 1.53","86","90.7%","https://s.click.aliexpress.com/e/_Dm0cCoR",,,,,,
"1005003785323575","https://ae04.alicdn.com/kf/Sa16f33ae58c24d0e8659275c5f178060G.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100005609791.mp4","ZOENOVA Women Flared Jeans Loose Denim Pants Bottom Straight High Waist Stretch Urban Female Flare Trouser 2022 Fashion  6 Color","USD 31.95","USD 16.29","49%","USD","9","USD 1.47","1023","92.7%","https://s.click.aliexpress.com/e/_Dl78rIR",,,,,,
"1005003689350349","https://ae04.alicdn.com/kf/Hd005ca53bd2140b6a855a52b6f0e1ed2y.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/341601446304.mp4","Stretch High Waist Women's Jeans Casual Y2k Jeans Blue High Waist Pencil Trousers High Waist Tight Pants Cotton Jeans Woman","USD 26.62","USD 18.63","30%","USD","15.0","USD 2.79","72","90.0%","https://s.click.aliexpress.com/e/_DCcg4A7",,,,,,
