Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
"Jumpsuits, Playsuits & Bodysuits",200000362,Two Piece Set Women Off Shoulder Puff Sleeve Short Crop Top High Waist Wide Shorts Tracksuit Sexy Conjunto Femenino 2 Piece Set,4000509988697,https://ae01.alicdn.com/kf/H8ecaf7d13b274630a59acfef9ad44f33m/Two-Piece-Set-Women-Off-Shoulder-Puff-Sleeve-Short-Crop-Top-High-Waist-Wide-Shorts-Tracksuit.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8ecaf7d13b274630a59acfef9ad44f33m.jpg,https://ae04.alicdn.com/kf/Hf2f148634c86468aa2ddd3df9b92d6beQ.jpg,https://ae04.alicdn.com/kf/He90c10dc508a4574954baa63c9f4f1448.jpg,https://ae04.alicdn.com/kf/H587d8b7843654edd9811248153e9de77r.jpg,https://ae04.alicdn.com/kf/Hee3bef91b2e14af7ac0d498598e26374f.jpg,",https://www.aliexpress.com/item/4000509988697.html,63.59,31.79,9.00%,,50%,https://s.click.aliexpress.com/e/_9Jslew
"Jumpsuits, Playsuits & Bodysuits",200000362,Women OL Solid Loose Palysuits Summer  Chiffon  Falbala Sleeveless Ladies High Street Overalls Jumpsuits,1005001899071069,https://ae01.alicdn.com/kf/H254fa9f318c1493eb4ce943413e83968e/Women-OL-Solid-Loose-Palysuits-Summer-Chiffon-Falbala-Sleeveless-Ladies-High-Street-Overalls-Jumpsuits.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H254fa9f318c1493eb4ce943413e83968e.jpg,https://ae04.alicdn.com/kf/Hb07318f7e0434c34a6e9c5ec570531dcd.jpg,https://ae04.alicdn.com/kf/H8c70f465afd844b18c1781dacf08c594l.jpg,https://ae04.alicdn.com/kf/H86ddd0f1fbf54db9838988b308990010O.jpg,https://ae04.alicdn.com/kf/H0055ecbed25447fa8113fe4f9706fd63k.jpg,",https://www.aliexpress.com/item/1005001899071069.html,15.48,8.05,9.00%,,48%,https://s.click.aliexpress.com/e/_AAGykK
"Jumpsuits, Playsuits & Bodysuits",200000362,Double breasted gold velvet jumpsuit women 2022 spring Korean retro tube tops wide-leg pants trend,1005001604233491,https://ae01.alicdn.com/kf/H55104131d0114ea4b3769587b4ea21d8Y/Double-breasted-gold-velvet-jumpsuit-women-2022-spring-Korean-retro-tube-tops-wide-leg-pants-trend.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H55104131d0114ea4b3769587b4ea21d8Y.jpg,https://ae04.alicdn.com/kf/Hd06e6908de07457eb1a1f66d2dbf0294i.jpg,https://ae04.alicdn.com/kf/Hecd585df06654893a202d2277899ec81i.jpg,https://ae04.alicdn.com/kf/H38f65252d4f8442a9d3a0e04c8e519b7K.jpg,https://ae04.alicdn.com/kf/Heb1c7610f2cc4fe1bfb1dc7145fc658aF.jpg,",https://www.aliexpress.com/item/1005001604233491.html,32.99,16.49,9.00%,,50%,https://s.click.aliexpress.com/e/_Aevsns
"Jumpsuits, Playsuits & Bodysuits",200000362,#4014 Spring Autumn Long Jeans Sling Jumpsuit Women Backless Overalls Ladies Loose Streetwear Ankle-length Denim Jumpsuits Femme,4000021149791,https://ae01.alicdn.com/kf/HTB106EMaKL2gK0jSZFmq6A7iXXa6/-4014-Spring-Autumn-Long-Jeans-Sling-Jumpsuit-Women-Backless-Overalls-Ladies-Loose-Streetwear-Ankle-length.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB106EMaKL2gK0jSZFmq6A7iXXa6.jpg,https://ae04.alicdn.com/kf/HTB1CfQNaQL0gK0jSZFxq6xWHVXag.jpg,https://ae04.alicdn.com/kf/HTB1xDsMaKP2gK0jSZFoq6yuIVXa9.jpg,https://ae04.alicdn.com/kf/HTB1t2ZNaQL0gK0jSZFxq6xWHVXaI.jpg,https://ae04.alicdn.com/kf/HTB1lBcLaKT2gK0jSZFvq6xnFXXaO.jpg,",https://www.aliexpress.com/item/4000021149791.html,179.72,143.78,10.00%,,20%,https://s.click.aliexpress.com/e/_AkQRq2
"Jumpsuits, Playsuits & Bodysuits",200000362,European and American Women's Clothing Autumn and Winter New Solid Color Tight Sports Fitness Jumpsuit pants women winter,1005002108426569,https://ae01.alicdn.com/kf/Hd8bda83692c04ff3adf8973726bdcb66S/European-and-American-Women-s-Clothing-Autumn-and-Winter-New-Solid-Color-Tight-Sports-Fitness-Jumpsuit.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd8bda83692c04ff3adf8973726bdcb66S.jpg,https://ae04.alicdn.com/kf/H83b74367a42d42478ca897e2dfeb09f5W.jpg,https://ae04.alicdn.com/kf/H23ee96f343e449a8adaea0fe304490f5S.jpg,https://ae04.alicdn.com/kf/H50c1d46e509e4f349dbd4cce8ddf67117.jpg,https://ae04.alicdn.com/kf/H157fdb5ff56e4ebb81afe22ce4549b4c8.jpg,",https://www.aliexpress.com/item/1005002108426569.html,113.07,72.36,9.00%,,36%,https://s.click.aliexpress.com/e/_9I8nYW
"Jumpsuits, Playsuits & Bodysuits",200000362,Tosheiny  Women Loose Jumpsuit Sleeveless Casual Bodysuit Ladies Romper Solid Color Long Jumpsuit TH18843,1005001446375985,https://ae01.alicdn.com/kf/Hb10fda93674c43c68e0f9f16c59dbfceC/Tosheiny-Women-Loose-Jumpsuit-Sleeveless-Casual-Bodysuit-Ladies-Romper-Solid-Color-Long-Jumpsuit-TH18843.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb10fda93674c43c68e0f9f16c59dbfceC.jpg,https://ae04.alicdn.com/kf/Hfa74d28ef1264e6e8dace7baad529247r.jpg,https://ae04.alicdn.com/kf/H6ff89369aef24c98a78f447a3933aa04N.jpg,https://ae04.alicdn.com/kf/H722e0f535f5b449f9582087e0c184660X.jpg,https://ae04.alicdn.com/kf/H7efef2738a83418d95f3ff4ee6a09f05l.jpg,",https://www.aliexpress.com/item/1005001446375985.html,58.84,32.36,11.50%,,45%,https://s.click.aliexpress.com/e/_A13hby
"Jumpsuits, Playsuits & Bodysuits",200000362,Warmer Camouflage Bodysuit Women Streetwear Winter Fashion Long Sleeve Slim One-piece Trousers Casual Suit Outfit Clothing New,1005001698231326,https://ae01.alicdn.com/kf/H87826f0d547c493f98603e085ce13b4aF/Warmer-Camouflage-Bodysuit-Women-Streetwear-Winter-Fashion-Long-Sleeve-Slim-One-piece-Trousers-Casual-Suit-Outfit.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H87826f0d547c493f98603e085ce13b4aF.jpg,https://ae04.alicdn.com/kf/H25cee2d2843048bd84b744241fbde0f9g.jpg,https://ae04.alicdn.com/kf/H6bb57af7fac94ca399f60530faf06181U.jpg,https://ae04.alicdn.com/kf/H028da00ce9f745f08690d9698cdaed53u.jpg,https://ae04.alicdn.com/kf/Hfbecea1ae9ef4becae9504113aefc4fbS.jpg,",https://www.aliexpress.com/item/1005001698231326.html,38.98,19.49,9.00%,,50%,https://s.click.aliexpress.com/e/_A3gVv0
"Jumpsuits, Playsuits & Bodysuits",200000362,Women Sexy Deep V Belt Jumpsuit Fashion Solid Color One Piece Bodysuit Skinny Long Sleeved Rompers Ladies Office Bodycon Outfit,1005001679520386,https://ae01.alicdn.com/kf/Haf4271acbf2744dca47457fda83871cct/Women-Sexy-Deep-V-Belt-Jumpsuit-Fashion-Solid-Color-One-Piece-Bodysuit-Skinny-Long-Sleeved-Rompers.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Haf4271acbf2744dca47457fda83871cct.jpg,https://ae04.alicdn.com/kf/Ha79abbb1c9504826b44b12f3de0c2724O.jpg,https://ae04.alicdn.com/kf/H5bf197d983c447a09498e28c45ed3c914.jpg,https://ae04.alicdn.com/kf/Hcbaf4e829a7e4920b506c8a7ac221325U.jpg,https://ae04.alicdn.com/kf/Ha9a5b1188c994c5586474edfb87cdd93s.jpg,",https://www.aliexpress.com/item/1005001679520386.html,28.27,18.94,15.00%,,33%,https://s.click.aliexpress.com/e/_AYdrXk
"Jumpsuits, Playsuits & Bodysuits",200000362,#4013 Spring Autumn V-neck Sleeveless Woman Jean Jumpsuit Solid Loose Overalls Ladise Fashion Wide Leg Big Size Jumpsuit Lady,4000021162117,https://ae01.alicdn.com/kf/HTB1fokLaKL2gK0jSZFmq6A7iXXah/-4013-Spring-Autumn-V-neck-Sleeveless-Woman-Jean-Jumpsuit-Solid-Loose-Overalls-Ladise-Fashion-Wide.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1fokLaKL2gK0jSZFmq6A7iXXah.jpg,https://ae04.alicdn.com/kf/HTB1X1oMaQT2gK0jSZFkq6AIQFXaZ.jpg,https://ae04.alicdn.com/kf/HTB1fPUIaF67gK0jSZPfq6yhhFXa8.jpg,https://ae04.alicdn.com/kf/HTB1LoEKaLb2gK0jSZK9q6yEgFXan.jpg,https://ae04.alicdn.com/kf/HTB1JxALaKH2gK0jSZFEq6AqMpXa8.jpg,",https://www.aliexpress.com/item/4000021162117.html,180.99,144.79,10.00%,,20%,https://s.click.aliexpress.com/e/_AKSkOA
"Jumpsuits, Playsuits & Bodysuits",200000362,Off Shoulder Ruffle Jumpsuit Women Rompers Deep V Neck Slim Summer Long Jumpsuit Office Work Wear Elegant Ladies Party Jumpsuit,1005001737588013,https://ae01.alicdn.com/kf/H5338158ef2434b4b8e7c83d4b775e9b6R/Off-Shoulder-Ruffle-Jumpsuit-Women-Rompers-Deep-V-Neck-Slim-Summer-Long-Jumpsuit-Office-Work-Wear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5338158ef2434b4b8e7c83d4b775e9b6R.jpg,",https://www.aliexpress.com/item/1005001737588013.html,25.13,12.82,9.00%,,49%,https://s.click.aliexpress.com/e/_9zNGlG
