Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
CafÃ© Furniture,200130145,Simple Modern Side Table Iron Art Sofa Corner Table Lazy Bedside Reading Oval Coffee Table Tea Solid Wood Round Solid Wood Table,1005003739536683,https://ae01.alicdn.com/kf/Sb66da67141284dcc8fe74cc8a7fd3609d/Simple-Modern-Side-Table-Iron-Art-Sofa-Corner-Table-Lazy-Bedside-Reading-Oval-Coffee-Table-Tea.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sb66da67141284dcc8fe74cc8a7fd3609d.jpg,https://ae04.alicdn.com/kf/Sef3257fa403f40b7a45a26592ad5b88f8.jpg,https://ae04.alicdn.com/kf/Sbf649c006aec41cc96640eee17716e4aF.jpg,https://ae04.alicdn.com/kf/S27ab09f220cf4bd7ad2ee016095ee63bV.jpg,https://ae04.alicdn.com/kf/Se6c0231a4b7c45d282dd64fc2bd0ce7dx.jpg,",https://www.aliexpress.com/item/1005003739536683.html,14.99,14.39,20.00%,,4%,https://s.click.aliexpress.com/e/_AMzx0o
CafÃ© Furniture,200130145,Nordic 2pcs NEW Living Room White Coffee Tables Marble Texture Combination Furniture Round Durable Table Basse coffe table,1005003640538238,https://ae01.alicdn.com/kf/H003409b8b03641bf845bdf0174cba052j/Nordic-2pcs-NEW-Living-Room-White-Coffee-Tables-Marble-Texture-Combination-Furniture-Round-Durable-Table-Basse.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H003409b8b03641bf845bdf0174cba052j.jpg,https://ae04.alicdn.com/kf/Hfdb907ce2ac24a1db2d499731c794bafx.jpg,https://ae04.alicdn.com/kf/H060fc055cb23434b95b84d6271838269l.jpg,https://ae04.alicdn.com/kf/H49c8e8a6bab34591a56c00194cb35476s.jpg,https://ae04.alicdn.com/kf/H2bc958d6bc224051aff502997bcdf2aaq.jpg,",https://www.aliexpress.com/item/1005003640538238.html,373.02,261.11,8.00%,,30%,https://s.click.aliexpress.com/e/_9vDQ6C
CafÃ© Furniture,200130145,Transparent Crystal Demon Bar Stool Backrest Nordic Light Luxury Simple Modern Fashion Ins Explosive Net Red Ghost Bar Stool,1005003646892766,https://ae01.alicdn.com/kf/H6d32031241d64000a44bd06927b27954h/Transparent-Crystal-Demon-Bar-Stool-Backrest-Nordic-Light-Luxury-Simple-Modern-Fashion-Ins-Explosive-Net-Red.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6d32031241d64000a44bd06927b27954h.jpg,https://ae04.alicdn.com/kf/H3ed23b66172c4c2c87e1579feb719a12w.jpg,https://ae04.alicdn.com/kf/H93fef070753745cd9b07e5cc9d4a06f5a.jpg,https://ae04.alicdn.com/kf/He167038dc92e42ee9c7ae0604729b0e4x.jpg,https://ae04.alicdn.com/kf/H5fa35e96eee24b5e818a18a80d596996Z.jpg,",https://www.aliexpress.com/item/1005003646892766.html,373.52,186.76,15.00%,,50%,https://s.click.aliexpress.com/e/_Aqmqxa
CafÃ© Furniture,200130145,Nordic Coffee Table Iron Art Table Luxury Small Round Table Simple Living Room Furniture Coffee Table Bedside Mini Table,1005003684061271,https://ae01.alicdn.com/kf/H73621b5d0f0e43cca5ee306e0718ff6b6/Nordic-Coffee-Table-Iron-Art-Table-Luxury-Small-Round-Table-Simple-Living-Room-Furniture-Coffee-Table.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H73621b5d0f0e43cca5ee306e0718ff6b6.jpg,https://ae04.alicdn.com/kf/H1a25a7d20b63425db3b400b5de64ae22s.jpg,https://ae04.alicdn.com/kf/Hdf0d8534d80c4cf1a1a5b3a3bb4b2344b.jpg,https://ae04.alicdn.com/kf/H4f7b615f83a6491bba63be838d0cf0cdt.jpg,https://ae04.alicdn.com/kf/H34df67d6fe624b33b25d9c5b3260bf10D.jpg,",https://www.aliexpress.com/item/1005003684061271.html,171.14,119.80,8.00%,,30%,https://s.click.aliexpress.com/e/_ASRsOC
CafÃ© Furniture,200130145,New Retractable Child-mother Coffee Table Combination Living Room Double-layer Circular Office Creative Small Coffee Table стол,1005003657769030,https://ae01.alicdn.com/kf/H598d8e6ae37f4c8395faf5ef48d469d1o/New-Retractable-Child-mother-Coffee-Table-Combination-Living-Room-Double-layer-Circular-Office-Creative-Small-Coffee.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H598d8e6ae37f4c8395faf5ef48d469d1o.jpg,https://ae04.alicdn.com/kf/H87ad049ad8a8445bb01aa5a61d273918J.jpg,https://ae04.alicdn.com/kf/H7bfffb1a4fee4f9baf6aea2e6700ec91q.jpg,https://ae04.alicdn.com/kf/H5e2015643757438592120bbc9aa7fb824.jpg,https://ae04.alicdn.com/kf/H8c4f59ef7d0742c09caedff56ed77f68U.jpg,",https://www.aliexpress.com/item/1005003657769030.html,604.16,404.79,8.00%,,33%,https://s.click.aliexpress.com/e/_9isKeu
CafÃ© Furniture,200130145,Creative Side Table Marble Coffee Table Living Room Sofa Corner Table Luxury Small Round Table Bedside Table Home Furniture,1005003631160299,https://ae01.alicdn.com/kf/H8e6c55e3873d4613917abd46c14e7ec7B/Creative-Side-Table-Marble-Coffee-Table-Living-Room-Sofa-Corner-Table-Luxury-Small-Round-Table-Bedside.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8e6c55e3873d4613917abd46c14e7ec7B.jpg,https://ae04.alicdn.com/kf/Hfc8afa0997234103979853190144a363s.jpg,https://ae04.alicdn.com/kf/H96876895561e4693908f5ec7f5a727ddY.jpg,https://ae04.alicdn.com/kf/Hbeaeb37d41df420e8343dee885242fccy.jpg,https://ae04.alicdn.com/kf/Hdb1815767c7e4196a756cf292dff6765D.jpg,",https://www.aliexpress.com/item/1005003631160299.html,462.77,319.31,8.00%,,31%,https://s.click.aliexpress.com/e/_AC7FiU
CafÃ© Furniture,200130145,Japanese Rattan Living Room Furniture Coffee Table Small Apartment Restaurant Side Tables Homestay Balcony Sofa Round Tea Table,1005003696732431,https://ae01.alicdn.com/kf/H78387fbfa2984d29992246e5fd533230y/Japanese-Rattan-Living-Room-Furniture-Coffee-Table-Small-Apartment-Restaurant-Side-Tables-Homestay-Balcony-Sofa-Round.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H78387fbfa2984d29992246e5fd533230y.jpg,https://ae04.alicdn.com/kf/H6fa81c24b6b74736b0433002c62a2ad3j.jpg,https://ae04.alicdn.com/kf/S29fe880d1d834510bb7e62b0273aa183B.jpg,https://ae04.alicdn.com/kf/S28c8e7a367a3476da72d51a40e17e032W.jpg,https://ae04.alicdn.com/kf/S8e677e6b286f47d2b8217fbeec3d55c9m.jpg,",https://www.aliexpress.com/item/1005003696732431.html,269.71,188.80,8.00%,,30%,https://s.click.aliexpress.com/e/_ATfSdO
CafÃ© Furniture,200130145,European Wrought Iron Small Table Sofa Round Coffee Table for Living Room Small Bedside Table Balcony Ins Wooden Tea Table,1005003640417829,https://ae01.alicdn.com/kf/H61236b60231d44df927d7f9034e49453a/European-Wrought-Iron-Small-Table-Sofa-Round-Coffee-Table-for-Living-Room-Small-Bedside-Table-Balcony.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H61236b60231d44df927d7f9034e49453a.jpg,https://ae04.alicdn.com/kf/Ha775a8966bc54209ac7a8af612cce8f1D.jpg,https://ae04.alicdn.com/kf/H579317a419f44f9799bbd9b9345183d2n.jpg,https://ae04.alicdn.com/kf/H61556e4baf3346ffbf8c777a37e92c99r.jpg,https://ae04.alicdn.com/kf/H3719903ff1694ec8bd133e4c854a08e2M.jpg,",https://www.aliexpress.com/item/1005003640417829.html,137.94,96.56,8.00%,,30%,https://s.click.aliexpress.com/e/_AZeRVa
CafÃ© Furniture,200130145,1 USD SHIPPING FEE,1005003623345005,https://ae01.alicdn.com/kf/H667eb79d139046f8a6ecce8a01cd90e3G/1-USD-SHIPPING-FEE.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H667eb79d139046f8a6ecce8a01cd90e3G.jpg,",https://www.aliexpress.com/item/1005003623345005.html,1.00,1.00,8.00%,,0%,https://s.click.aliexpress.com/e/_9J9JWM
CafÃ© Furniture,200130145,Italian minimalist round combination coffee table small apartment living room side table light luxury balcony coffee table,1005003711306479,https://ae01.alicdn.com/kf/S4a1957a0fd0f4dbbb93525e48af0a04bs/Italian-minimalist-round-combination-coffee-table-small-apartment-living-room-side-table-light-luxury-balcony-coffee.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S4a1957a0fd0f4dbbb93525e48af0a04bs.jpg,https://ae04.alicdn.com/kf/S9c45a17cc52049fe83523af78db51259Q.jpg,https://ae04.alicdn.com/kf/S89540df87abc42f3b5a395b0b8fb5d27j.jpg,https://ae04.alicdn.com/kf/S7d3876f61a04472691cf247e7484c854Z.jpg,https://ae04.alicdn.com/kf/S37b9fad65a1c449a8ad79ef57a72aeear.jpg,",https://www.aliexpress.com/item/1005003711306479.html,109.71,76.80,8.00%,,30%,https://s.click.aliexpress.com/e/_ALTGMU
