Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Car Repair Tool,200259142,67pcs/Set Car Terminal Remover Tools Repair Tool Connector Pin Extractor Pullers Universal Repair Accessories For BMW Golf,1005003668011501,https://ae01.alicdn.com/kf/H40321719d74641b7aea21c2240ae64e2y/67pcs-Set-Car-Terminal-Remover-Tools-Repair-Tool-Connector-Pin-Extractor-Pullers-Universal-Repair-Accessories-For.jpeg_220x220.jpeg,"https://ae04.alicdn.com/kf/H40321719d74641b7aea21c2240ae64e2y.jpeg,https://ae04.alicdn.com/kf/Haaceadcda6f34fd8b195c696580f594ez.jpeg,https://ae04.alicdn.com/kf/H8fd009fb11c649f6a1c72952461e738bL.jpeg,https://ae04.alicdn.com/kf/H7f9394d194d74f8584ba735353e714a7A.jpeg,",https://www.aliexpress.com/item/1005003668011501.html,47.64,11.43,15.00%,,76%,https://s.click.aliexpress.com/e/_ABXHyU
Car Repair Tool,200259142,Thinkcar Old Version Thinkdiag Full Software OBD2 Scanner Automotiv TPMS Diagnostic Tool 15 Reset Services Ecu Coding,1005001833810445,https://ae01.alicdn.com/kf/H2141c8302f1a4db099fc8090607eb9d3A/Thinkcar-Old-Version-Thinkdiag-Full-Software-OBD2-Scanner-Automotiv-TPMS-Diagnostic-Tool-15-Reset-Services-Ecu.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2141c8302f1a4db099fc8090607eb9d3A.jpg,https://ae04.alicdn.com/kf/H7f88e41bab2e41be94f81d05cca119127.jpg,https://ae04.alicdn.com/kf/H8d07d6e64a834e58819e2f59b0d4bcfbj.jpg,https://ae04.alicdn.com/kf/Hbae8141ccddd455590780bf97d1e97268.jpg,https://ae04.alicdn.com/kf/H32a0487c4d4440749c87a36128ef3b25E.jpg,",https://www.aliexpress.com/item/1005001833810445.html,128.51,88.67,10.00%,,31%,https://s.click.aliexpress.com/e/_AZNii8
Car Repair Tool,200259142,Eltrac 13.1 Truck Diagnostic Scanner for IVECO ELTRAC EASY ECI diagnostic interface tool + CF31/CF19/CF53 Laptop,1005003298537242,https://ae01.alicdn.com/kf/H3e6fa778cfb842708a98008d90d32587i/Eltrac-13-1-Truck-Diagnostic-Scanner-for-IVECO-ELTRAC-EASY-ECI-diagnostic-interface-tool-CF31-CF19.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3e6fa778cfb842708a98008d90d32587i.jpg,https://ae04.alicdn.com/kf/He873fac9a1c047e1a51bd18f6e3c8badh.jpg,https://ae04.alicdn.com/kf/Hdc5d58c642cf4433b94d0046a3b230ffU.jpg,https://ae04.alicdn.com/kf/H1634bde812504b5189b691f8f2547f49d.jpg,https://ae04.alicdn.com/kf/Ha5001cab6fb84255ad420298bc710a9c7.jpg,",https://www.aliexpress.com/item/1005003298537242.html,"4,070.00","2,645.50",8.00%,,35%,https://s.click.aliexpress.com/e/_Aexu0o
Car Repair Tool,200259142,Car Bumper Stainless Steel Repair Net Plastic Crack Repair Hole Repairing Mesh Net For Bumper Body Hood Vents Wholesale Dropship,1005002733374826,https://ae01.alicdn.com/kf/H4f7077bc288845359765d301de31137by/Car-Bumper-Stainless-Steel-Repair-Net-Plastic-Crack-Repair-Hole-Repairing-Mesh-Net-For-Bumper-Body.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4f7077bc288845359765d301de31137by.jpg,https://ae04.alicdn.com/kf/H6021071c30984883ae0b84efed1f5d09q.jpg,https://ae04.alicdn.com/kf/Hc7775497e9924dddb13a0c0d847e8438S.jpg,https://ae04.alicdn.com/kf/Hac10e58bab2840c7a2d54dd6684442b7U.jpg,https://ae04.alicdn.com/kf/H8721e1f6e65847ed9e375407b6bdc9e36.jpg,",https://www.aliexpress.com/item/1005002733374826.html,1.60,0.83,18.00%,,48%,https://s.click.aliexpress.com/e/_AYhHqs
Car Repair Tool,200259142,10pcs High Quality Tire Bent Valve Stem 90 Degree Angel For Moped Scooter Tubeless Tires Car Accessories,1005003115376821,https://ae01.alicdn.com/kf/Hef40972665d3485c97c293e018e4b4d4e/10pcs-High-Quality-Tire-Bent-Valve-Stem-90-Degree-Angel-For-Moped-Scooter-Tubeless-Tires-Car.jpeg_220x220.jpeg,"https://ae04.alicdn.com/kf/Hef40972665d3485c97c293e018e4b4d4e.jpeg,https://ae04.alicdn.com/kf/H77ee1d13cabc4e6d80d3d69a8d1997beV.jpeg,https://ae04.alicdn.com/kf/H7b88e071a89a42cdb9b82bf65719cd96X.jpeg,https://ae04.alicdn.com/kf/Ha9e01d106c094f72b3724722aa8555f86.jpeg,",https://www.aliexpress.com/item/1005003115376821.html,16.52,5.29,20.00%,,68%,https://s.click.aliexpress.com/e/_9Qk3xa
Car Repair Tool,200259142,Car Lift Jack Stand Rubber Pads Floor Jack Pad Adapters Stands Mat Frame Rail Adapter Car Jacks Lifting Car Repair Tools,1005003407659097,https://ae01.alicdn.com/kf/Hc28485d944044e6e9955e94c28f4b01ch/Car-Lift-Jack-Stand-Rubber-Pads-Floor-Jack-Pad-Adapters-Stands-Mat-Frame-Rail-Adapter-Car.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc28485d944044e6e9955e94c28f4b01ch.jpg,https://ae04.alicdn.com/kf/H96e38808a76a4cf08060925d6de0d7f7P.jpg,https://ae04.alicdn.com/kf/H7523d1e833814927b94280696ee6f73bC.jpg,https://ae04.alicdn.com/kf/H22d447dcf4654458b1ccb42d636597032.jpg,https://ae04.alicdn.com/kf/H424905e1e7134aeaab8d1fef6a94ae2fu.jpg,",https://www.aliexpress.com/item/1005003407659097.html,4.18,3.97,8.00%,,5%,https://s.click.aliexpress.com/e/_ALo6lw
Car Repair Tool,200259142,1pc Jacking Cover Pad 51718268885 Black Cover For BMW3 Series E46 1998-2005 Saloon Jacking,1005003116920142,https://ae01.alicdn.com/kf/H3b2c5adf1d794f66aa7f824155efa60aW/1pc-Jacking-Cover-Pad-51718268885-Black-Cover-For-BMW3-Series-E46-1998-2005-Saloon-Jacking.jpeg_220x220.jpeg,"https://ae04.alicdn.com/kf/H3b2c5adf1d794f66aa7f824155efa60aW.jpeg,https://ae04.alicdn.com/kf/Hf70c79b3190e41a5afd749cc135901a78.jpeg,https://ae04.alicdn.com/kf/Hd7818e30888e4037be2a8a9558036d65a.jpeg,https://ae04.alicdn.com/kf/H1a5dbe31879944f08c966e356237b27bF.jpeg,",https://www.aliexpress.com/item/1005003116920142.html,28.75,8.34,10.00%,,71%,https://s.click.aliexpress.com/e/_AfTLvW
Car Repair Tool,200259142,E-HEELP 3 in 1 5ton Car Jack Kit Electric Hydraulic Jacks 12V Floor Jack with Impact wrench Inflator Pump Truck Tire Repair Tool,10000051777759,https://ae01.alicdn.com/kf/Hf65cd137a4fe4003ba5d0cf8a819e042L/E-HEELP-3-in-1-5ton-Car-Jack-Kit-Electric-Hydraulic-Jacks-12V-Floor-Jack-with.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf65cd137a4fe4003ba5d0cf8a819e042L.jpg,https://ae04.alicdn.com/kf/Ha964e4802a7d40af8b57f4d1c4326e64w.jpg,https://ae04.alicdn.com/kf/He69b8aea8c17445c838ebf01e2c16491J.jpg,https://ae04.alicdn.com/kf/Hb053c7ff93a44f25b985d18b4fdea8a17.jpg,https://ae04.alicdn.com/kf/He54d06bcb4ed4d859c4fe5b9977d9e6eT.jpg,",https://www.aliexpress.com/item/10000051777759.html,197.44,104.64,10.50%,,47%,https://s.click.aliexpress.com/e/_9QIptq
Car Repair Tool,200259142,Diesel diagnosis for DEUTZ DIAGNOSTIC KIT DECOM,1005003032950875,https://ae01.alicdn.com/kf/H914a490ed9fa4ade84283f0d819cf6f5j/Diesel-diagnosis-for-DEUTZ-DIAGNOSTIC-KIT-DECOM.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H914a490ed9fa4ade84283f0d819cf6f5j.jpg,https://ae04.alicdn.com/kf/H6b2b66226ebf41fead1ccb75a62c6455p.jpg,https://ae04.alicdn.com/kf/H7c4de3c7eea742978519311a3882c2c8Y.jpg,https://ae04.alicdn.com/kf/H99992012465542acb9a2b8fedff78157R.jpg,",https://www.aliexpress.com/item/1005003032950875.html,"3,960.00","2,970.00",8.00%,,25%,https://s.click.aliexpress.com/e/_A3jCks
Car Repair Tool,200259142,Parts Adapter Cable Automotive Connector Converter Replacement Supplies,1005003115471650,https://ae01.alicdn.com/kf/H37f9ded2c2a84844a324be1ec470251c5/Parts-Adapter-Cable-Automotive-Connector-Converter-Replacement-Supplies.jpeg_220x220.jpeg,"https://ae04.alicdn.com/kf/H37f9ded2c2a84844a324be1ec470251c5.jpeg,https://ae04.alicdn.com/kf/H0dcfb2e3f3414985a5c9341661c4b523X.jpeg,https://ae04.alicdn.com/kf/H9c51c8c43ce54f5ea379f2a3c6a003aan.jpeg,https://ae04.alicdn.com/kf/H65ba8c0968884d26bb255964776d448fp.jpeg,",https://www.aliexpress.com/item/1005003115471650.html,19.78,6.53,20.00%,,67%,https://s.click.aliexpress.com/e/_9gZCiU
