Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Customized Jewelry,201239108,Custom Laser Engrave Spotify Code Keychain Favorite Song Customized Song Name Singer Personalized Spotify Code Gift Music Lover,1005003432654353,https://ae01.alicdn.com/kf/H6bebb01b60d947bda031d8560ba4675bB/Custom-Laser-Engrave-Spotify-Code-Keychain-Favorite-Song-Customized-Song-Name-Singer-Personalized-Spotify-Code-Gift.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6bebb01b60d947bda031d8560ba4675bB.jpg,https://ae04.alicdn.com/kf/Hfd79072ebf1d41889380daf97af8aa2fT.jpg,https://ae04.alicdn.com/kf/H4444b42150d741c882b71e17c229eb88D.jpg,https://ae04.alicdn.com/kf/H913e26795fa94b74a7956d623ca26bebs.jpg,https://ae04.alicdn.com/kf/H3b2c6cedf839477691d99a13a56447c3P.jpg,",https://www.aliexpress.com/item/1005003432654353.html,3.50,2.17,15.00%,,38%,https://s.click.aliexpress.com/e/_9uNsmk
Customized Jewelry,201239108,Father's Day Birthday Gifts Keychain Personalized Name Date Keyring for Dad Stepdad Dad Men Father Keychain Gift,1005001963216974,https://ae01.alicdn.com/kf/H6ed1172a14e1453e85f2808fe535bfecj/Father-s-Day-Birthday-Gifts-Keychain-Personalized-Name-Date-Keyring-for-Dad-Stepdad-Dad-Men-Father.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6ed1172a14e1453e85f2808fe535bfecj.jpg,https://ae04.alicdn.com/kf/Hc775578474254d1b9027dd4ce8607a47l.jpg,https://ae04.alicdn.com/kf/H9b5c144961e14189ae3434ef903bb15es.jpg,https://ae04.alicdn.com/kf/Hfd258b501c464527a5bd51bca148d9a4U.jpg,https://ae04.alicdn.com/kf/H9f290d29f6894bf5aab164ef3f639b27X.jpg,",https://www.aliexpress.com/item/1005001963216974.html,2.92,1.43,15.00%,,51%,https://s.click.aliexpress.com/e/_A51APe
Customized Jewelry,201239108,Fashion Wallet Insert Card for Men Husband From Wife Girlfriend Boyfriend Birthday Valentines Day Gifts for Him Groom Bride,1005001679837674,https://ae01.alicdn.com/kf/H63df416c418f49c29a71975637d29454V/Fashion-Wallet-Insert-Card-for-Men-Husband-From-Wife-Girlfriend-Boyfriend-Birthday-Valentines-Day-Gifts-for.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H63df416c418f49c29a71975637d29454V.jpg,https://ae04.alicdn.com/kf/Hd62913a7368942a5b06eadca1a40a4d6P.jpg,https://ae04.alicdn.com/kf/Hc4ae03b798b74ed9ac6169ec5a63cd720.jpg,https://ae04.alicdn.com/kf/H66b18e518bfd4a96a19140dd17200d92X.jpg,https://ae04.alicdn.com/kf/H70a0177d450f4eba8caf7b67aa9aa5fdf.jpg,",https://www.aliexpress.com/item/1005001679837674.html,2.73,1.91,15.00%,,30%,https://s.click.aliexpress.com/e/_9h7hYy
Customized Jewelry,201239108,New Mom Dad Keychain Personalized Date of Birth for Father and Mother First Father's Mother Day Key Ring New Parents Gift,1005001895317620,https://ae01.alicdn.com/kf/H98b63a3bfeec46bd8d144abcb07a91e2g/New-Mom-Dad-Keychain-Personalized-Date-of-Birth-for-Father-and-Mother-First-Father-s-Mother.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H98b63a3bfeec46bd8d144abcb07a91e2g.jpg,https://ae04.alicdn.com/kf/Hd676f452d2c0474ea0ec2ac77622eb93e.jpg,https://ae04.alicdn.com/kf/H68b826e301a541f9ae8fdee2d82b5241i.jpg,https://ae04.alicdn.com/kf/He32055f0e44448fca5e368dfce6f5b97i.jpg,https://ae04.alicdn.com/kf/H5c71df5dd3a444f7bb61b4f324fd5fdfb.jpg,",https://www.aliexpress.com/item/1005001895317620.html,2.85,2.28,15.00%,,20%,https://s.click.aliexpress.com/e/_AmgDvI
Customized Jewelry,201239108,2PCS Couples Customized Puzzle Keychains Engraved Date and Two Initials Love Gifts for Husband Wife Boyfriend Girlfriend,1005001667650027,https://ae01.alicdn.com/kf/H3a327c6a6d9c45eda0c75fad38c6143br/2PCS-Couples-Customized-Puzzle-Keychains-Engraved-Date-and-Two-Initials-Love-Gifts-for-Husband-Wife-Boyfriend.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3a327c6a6d9c45eda0c75fad38c6143br.jpg,https://ae04.alicdn.com/kf/Hbf2ba9d081894420a2ced15261833e07w.jpg,https://ae04.alicdn.com/kf/Hda088d582b594893a6ded1bb2dd932ceZ.jpg,https://ae04.alicdn.com/kf/H7fa5f3c25c354cb698a71dd739373ecaF.jpg,https://ae04.alicdn.com/kf/Hc2f87e81004847c98d20f13f41bf3a23p.jpg,",https://www.aliexpress.com/item/1005001667650027.html,2.00,1.40,15.00%,,30%,https://s.click.aliexpress.com/e/_AZG0kg
Customized Jewelry,201239108,Personalized Couple Keychains Gift For Boyfriend Wedding Anniversary Gifts Girlfriend Initials Letter Date Keyring Valentine Tag,1005002876161312,https://ae01.alicdn.com/kf/H41a381bdd56443db82e634ba28675f17r/Personalized-Couple-Keychains-Gift-For-Boyfriend-Wedding-Anniversary-Gifts-Girlfriend-Initials-Letter-Date-Keyring-Valentine-Tag.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H41a381bdd56443db82e634ba28675f17r.jpg,https://ae04.alicdn.com/kf/Ha5607148bfd040478a8b58a7c2f8e69cp.jpg,https://ae04.alicdn.com/kf/H6b11e6fe89104677bf50a5078b63b283P.jpg,https://ae04.alicdn.com/kf/H4fa48f5674f44d46bbd07583a0e8ce379.jpg,https://ae04.alicdn.com/kf/H89873021e1dd408ab23ce11c4d6f36fcD.jpg,",https://www.aliexpress.com/item/1005002876161312.html,4.38,2.19,15.00%,,50%,https://s.click.aliexpress.com/e/_9JhKfI
Customized Jewelry,201239108,Baby Keychain Newborn Baby Keyring New Dad Mom Gift Baby Commemorate Gift Personalized Name Date of Birth Weight Time Height,1005001814870306,https://ae01.alicdn.com/kf/H84982634da994750ba9606beedb7a1e6B/Baby-Keychain-Newborn-Baby-Keyring-New-Dad-Mom-Gift-Baby-Commemorate-Gift-Personalized-Name-Date-of.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H84982634da994750ba9606beedb7a1e6B.jpg,https://ae04.alicdn.com/kf/H5171e7f2cdf34f9690e7a9cc50e89420B.jpg,https://ae04.alicdn.com/kf/H9f7493fe9a8b455ca8367f4dc5221578E.jpg,https://ae04.alicdn.com/kf/H7fa9ccbb26cf4ad8bd321d48c5cb6c1aB.jpg,https://ae04.alicdn.com/kf/H59d6fe099e2a4b37b3dabfb6fc141840K.jpg,",https://www.aliexpress.com/item/1005001814870306.html,4.55,2.27,15.00%,,50%,https://s.click.aliexpress.com/e/_AmekNS
Customized Jewelry,201239108,Father's Day Birthday Gifts Keychain Personalized Name Date for Dad Stepdad Dad Men Father Keychain Gift,1005001963388422,https://ae01.alicdn.com/kf/H6833c7a2b38f453a8a4e07727ce06a72s/Father-s-Day-Birthday-Gifts-Keychain-Personalized-Name-Date-for-Dad-Stepdad-Dad-Men-Father-Keychain.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6833c7a2b38f453a8a4e07727ce06a72s.jpg,https://ae04.alicdn.com/kf/H704e9561d8324418bb9eb717a99152dfD.jpg,https://ae04.alicdn.com/kf/H8671550527ec4b54a66ee17fd2dd821bx.jpg,https://ae04.alicdn.com/kf/H16304e3e73d64c15ae2ee8425d823bdfG.jpg,https://ae04.alicdn.com/kf/H2b0792d4638b4b759f8987553be858af9.jpg,",https://www.aliexpress.com/item/1005001963388422.html,3.96,1.94,15.00%,,51%,https://s.click.aliexpress.com/e/_9RmyhK
Customized Jewelry,201239108,Wallet Insert Card Anniversary Birthday Gifts for Him Men Husband Valentine From Wife Girlfriend Boyfriend Gift for Groom Fiance,1005001915191526,https://ae01.alicdn.com/kf/Hea8dd89206e14beb9eff409afb62fc84z/Wallet-Insert-Card-Anniversary-Birthday-Gifts-for-Him-Men-Husband-Valentine-From-Wife-Girlfriend-Boyfriend-Gift.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hea8dd89206e14beb9eff409afb62fc84z.jpg,https://ae04.alicdn.com/kf/Hb4878ebec39040b180041ee6863ede6eH.jpg,https://ae04.alicdn.com/kf/H44e6b82c48a64cd9b79b59ed8bc02f29H.jpg,https://ae04.alicdn.com/kf/Hecae2e6e3a974c43a0c410682b3248beL.jpg,https://ae04.alicdn.com/kf/H9ea9ecede49b4cafbff52b9ca64fa886P.jpg,",https://www.aliexpress.com/item/1005001915191526.html,4.34,2.17,15.00%,,50%,https://s.click.aliexpress.com/e/_AM35c4
Customized Jewelry,201239108,Personalized Baby Key Chain Gift New Born Baby Souvenir Jewelry Baby Birthday Gift For Car Keys First Mother's Father's Day Gift,1005002865053572,https://ae01.alicdn.com/kf/H72097c9d20bd494a86f94df2f7774a23Q/Personalized-Baby-Key-Chain-Gift-New-Born-Baby-Souvenir-Jewelry-Baby-Birthday-Gift-For-Car-Keys.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H72097c9d20bd494a86f94df2f7774a23Q.jpg,https://ae04.alicdn.com/kf/Hb5cc0752e4c445e0ae0d5c5aadcae4230.jpg,https://ae04.alicdn.com/kf/H51291de7bc8045919632ef56783a247dc.jpg,https://ae04.alicdn.com/kf/H450e7c1666dd40de865abcaf2ff47c63N.jpg,https://ae04.alicdn.com/kf/H947c3b4dd677493ab8776807b741efd55.jpg,",https://www.aliexpress.com/item/1005002865053572.html,4.43,2.21,15.00%,,50%,https://s.click.aliexpress.com/e/_AgWefQ
