"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1024976,"Women Pure Color Long Sleeve Long Shirt Dress",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/A7/2D/f993f703-79ff-4540-acb2-ec536d5e240a.jpeg,https://usa.banggood.com/Women-Pure-Color-Long-Sleeve-Long-Shirt-Dress-reviews-p1024976.html,"19,13€",€0.84,https://usa.banggood.com/Women-Pure-Color-Long-Sleeve-Long-Shirt-Dress-p-1024976.html?p=4T181370308054202203&custlinkid=1813256
1083018,"Vintage Women Cotton O-Neck Solid Color Irregular Hem Maxi Dress",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/A4/AB/167a4c4c-1c13-4100-9ec7-a6b06a4e8e68.jpg,https://usa.banggood.com/Vintage-Women-Cotton-O-Neck-Solid-Color-Irregular-Hem-Maxi-Dress-reviews-p1083018.html,"25,52€",€1.12,https://usa.banggood.com/Vintage-Women-Cotton-O-Neck-Solid-Color-Irregular-Hem-Maxi-Dress-p-1083018.html?p=4T181370308054202203&custlinkid=1813257
1145883,"Cotton Women Pattern Printed Short Sleeve O-Neck Dresses",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/B4/DF/55d4f87a-d0b7-4dbd-8449-b0428cc662ac.jpg,https://usa.banggood.com/Cotton-Women-Pattern-Printed-Short-Sleeve-O-Neck-Dresses-reviews-p1145883.html,"22,78€",€1,https://usa.banggood.com/Cotton-Women-Pattern-Printed-Short-Sleeve-O-Neck-Dresses-p-1145883.html?p=4T181370308054202203&custlinkid=1813258
1161620,"S-5XL Women Casual Short Sleeve Splice Loose O-neck Mid Long Dress",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/6D/7B/909e8e91-a93c-4eb1-a013-483f040a08fb.jpeg,https://usa.banggood.com/S-5XL-Women-Casual-Short-Sleeve-Splice-Loose-O-neck-Mid-Long-Dress-reviews-p1161620.html,"19,13€",€0.84,https://usa.banggood.com/S-5XL-Women-Casual-Short-Sleeve-Splice-Loose-O-neck-Mid-Long-Dress-p-1161620.html?p=4T181370308054202203&custlinkid=1813259
1206619,"Women Sleeveless Strappy Casual Loose Pure Color Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/91/01/55eb1298-8ae9-4dba-ab65-dd3e93dc24f3.jpeg,https://usa.banggood.com/Women-Sleeveless-Strappy-Casual-Loose-Pure-Color-Dress-reviews-p1206619.html,"16,40€",€0.72,https://usa.banggood.com/Women-Sleeveless-Strappy-Casual-Loose-Pure-Color-Dress-p-1206619.html?p=4T181370308054202203&custlinkid=1813260
1230772,"Retro Women Random Printed Patchwork Bohemian Maxi Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/12/BB/8c6735ec-c73b-4a65-b4e7-001eaf459bb3.jpg,https://usa.banggood.com/Retro-Women-Random-Printed-Patchwork-Bohemian-Maxi-Dress-reviews-p1230772.html,"30,99€",€1.36,https://usa.banggood.com/Retro-Women-Random-Printed-Patchwork-Bohemian-Maxi-Dress-p-1230772.html?p=4T181370308054202203&custlinkid=1813261
1243159,"Vintage Women Pocket Solid Color Irregular Maxi Dress",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/42/DD/2d3c45e0-114c-46b3-a25e-922396238f52.jpg,https://usa.banggood.com/Vintage-Women-Pocket-Solid-Color-Irregular-Maxi-Dress-reviews-p1243159.html,"27,34€",€1.2,https://usa.banggood.com/Vintage-Women-Pocket-Solid-Color-Irregular-Maxi-Dress-p-1243159.html?p=4T181370308054202203&custlinkid=1813262
1392647,"Vintage Women Solid Loose Round Neck Button Down Front 3/4 Sleeve Dress",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/B7/A0/54589980-bbbe-4169-8c12-a7e79e06ff8e.jpg,https://usa.banggood.com/Vintage-Women-Solid-Loose-Round-Neck-Button-Down-Front-3-or-4-Sleeve-Dress-reviews-p1392647.html,"19,13€",€0.84,https://usa.banggood.com/Vintage-Women-Solid-Loose-Round-Neck-Button-Down-Front-3-or-4-Sleeve-Dress-p-1392647.html?p=4T181370308054202203&custlinkid=1813263
1414546,"Retro Women Casual Cotton Solid Color Loose Short Sleeve Dress",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/91/92/3e0b41bd-32b2-4e62-9196-080b8551dbaa.jpg,https://usa.banggood.com/Retro-Women-Casual-Cotton-Solid-Color-Loose-Short-Sleeve-Dress-reviews-p1414546.html,"18,22€",€0.8,https://usa.banggood.com/Retro-Women-Casual-Cotton-Solid-Color-Loose-Short-Sleeve-Dress-p-1414546.html?p=4T181370308054202203&custlinkid=1813264
1485100,"Women Bohemian Print Cotton Long Sleeve Vintage Dress",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/B3/F8/0c15e924-b9b9-4d20-8df7-21c585f462bc.jpg,https://usa.banggood.com/Women-Bohemian-Print-Cotton-Long-Sleeve-Vintage-Dress-reviews-p1485100.html,"22,78€",€1,https://usa.banggood.com/Women-Bohemian-Print-Cotton-Long-Sleeve-Vintage-Dress-p-1485100.html?p=4T181370308054202203&custlinkid=1813265
