Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Faux Leather,200001909,LTPH vintage PU leather blazer women double breasted slim long sleeve jacket office ladies high quality coat 2022 spring new,1005003682694281,https://ae01.alicdn.com/kf/H9c2972518286422587943a9bf5745a55h/LTPH-vintage-PU-leather-blazer-women-double-breasted-slim-long-sleeve-jacket-office-ladies-high-quality.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9c2972518286422587943a9bf5745a55h.jpg,https://ae04.alicdn.com/kf/H7ed0fc08106e4f4fac379f6fd2deda6aF.jpg,https://ae04.alicdn.com/kf/H50074c6c92b24f52ba7979029cdfc5777.jpg,https://ae04.alicdn.com/kf/H42a5fdc220b941eca3a537e82517d052G.jpg,https://ae04.alicdn.com/kf/Hdafda9b24a37497f98b6d72d7732bd70h.jpg,",https://www.aliexpress.com/item/1005003682694281.html,45.54,32.33,20.00%,,29%,https://s.click.aliexpress.com/e/_AZkTKw
Faux Leather,200001909,LTPH high quality winter coat women thick warm mid-length black PU leather jacket faux fur lapel belt slim outwear 2021 new,1005003562902869,https://ae01.alicdn.com/kf/H8643734319014ba8b0733fa76c0b25b8Q/LTPH-high-quality-winter-coat-women-thick-warm-mid-length-black-PU-leather-jacket-faux-fur.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8643734319014ba8b0733fa76c0b25b8Q.jpg,https://ae04.alicdn.com/kf/H98b14f62c103483ebc6ba167341d8a08A.jpg,https://ae04.alicdn.com/kf/Hb0a05a9823734b479a9e32903eada8f9x.jpg,https://ae04.alicdn.com/kf/H4c68c84b650a4653a2633598645f7c7bd.jpg,https://ae04.alicdn.com/kf/H0922e1c96ab14cdeb453f75866ab9482z.jpg,",https://www.aliexpress.com/item/1005003562902869.html,80.67,56.47,20.00%,,30%,https://s.click.aliexpress.com/e/_9h9i5M
Faux Leather,200001909,Xfhh Women Autumn Faux Soft Leather Pu Jacket Loose Punk Coat Female Turndown Collar Moto Biker Rivet Zipper Street Overcoat,1005003769510881,https://ae01.alicdn.com/kf/S09188b2f858045b18f18e2a48778ea71n/Xfhh-Women-Autumn-Faux-Soft-Leather-Pu-Jacket-Loose-Punk-Coat-Female-Turndown-Collar-Moto-Biker.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S09188b2f858045b18f18e2a48778ea71n.jpg,https://ae04.alicdn.com/kf/S7360eefe8314443c8fe947d9fa86608e5.jpg,https://ae04.alicdn.com/kf/Sbac3bd12b63544c5bf523a0dce76a83cl.jpg,https://ae04.alicdn.com/kf/Sa163c254183545e7a9f618ae3f9fc8e81.jpg,https://ae04.alicdn.com/kf/S2dcefecb7477418787e7cc441179c8483.jpg,",https://www.aliexpress.com/item/1005003769510881.html,89.05,44.52,15.00%,,50%,https://s.click.aliexpress.com/e/_AKzKGE
Faux Leather,200001909,PU Faux Leather Jacket Women Loose Sashes Casual Biker Jackets Outwear Female Tops BF Style Black Leather Jacket Coat,1005003035917049,https://ae01.alicdn.com/kf/H37fc837b4bbd48149fa3848665424ca1N/PU-Faux-Leather-Jacket-Women-Loose-Sashes-Casual-Biker-Jackets-Outwear-Female-Tops-BF-Style-Black.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H37fc837b4bbd48149fa3848665424ca1N.jpg,https://ae04.alicdn.com/kf/Hd2e90852034746018fadadf0715b49356.jpg,https://ae04.alicdn.com/kf/H0f33bb8868a24bddb4fe7dc7414ec443t.jpg,https://ae04.alicdn.com/kf/H418b69af798346fc92a90fe5176695cbF.jpg,https://ae04.alicdn.com/kf/Hfd587f67ad464d1d813cf20872466338e.jpg,",https://www.aliexpress.com/item/1005003035917049.html,40.45,21.03,9.00%,,48%,https://s.click.aliexpress.com/e/_9JjLMq
Faux Leather,200001909,Thick Faux Fur PU Leather Jacket 2021 Winter Women Coat Top Female Vintage Long Loose Zipper Aviator Overcoat Warm Plush Lining,1005003504027034,https://ae01.alicdn.com/kf/H6cde1d9a8c6d4722920776270bb9cf39r/Thick-Faux-Fur-PU-Leather-Jacket-2021-Winter-Women-Coat-Top-Female-Vintage-Long-Loose-Zipper.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6cde1d9a8c6d4722920776270bb9cf39r.jpg,https://ae04.alicdn.com/kf/Hf55eb999730643ab9b84d3c34d774912h.jpg,https://ae04.alicdn.com/kf/Hd6beaf50d2884e13a5a475092ccf0252U.png,https://ae04.alicdn.com/kf/Hb2b824a5e5c0422aa038552841e3712bx.png,https://ae04.alicdn.com/kf/H22486cb8b920400aaa374382487824c1e.jpg,",https://www.aliexpress.com/item/1005003504027034.html,88.44,35.38,15.00%,,60%,https://s.click.aliexpress.com/e/_A4Jh9o
Faux Leather,200001909,LTPH streetwear PU leather biker jacket women zipper lapel loose casual high quality faux fur thick warm coat 2021 winter new,1005003540750985,https://ae01.alicdn.com/kf/H34896efa5fd04b35adc190b1846e96a4I/LTPH-streetwear-PU-leather-biker-jacket-women-zipper-lapel-loose-casual-high-quality-faux-fur-thick.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H34896efa5fd04b35adc190b1846e96a4I.jpg,https://ae04.alicdn.com/kf/Hc11aeaf303a3449a91f6843e973b406cJ.jpg,https://ae04.alicdn.com/kf/H4b6722f8d63f4fb3aba4a645874a20daY.jpg,https://ae04.alicdn.com/kf/H433c2a253ba4453bbeb9b9a92eeb96a4o.jpg,https://ae04.alicdn.com/kf/Hf424778dab9e48579c3c495d65b50d4dN.jpg,",https://www.aliexpress.com/item/1005003540750985.html,79.92,55.94,20.00%,,30%,https://s.click.aliexpress.com/e/_9grJKi
Faux Leather,200001909,Xfhh 2021 New Spring Women Motorcycle Pu Leather Jacket Female With Belt Solid Color Jackets Ladys Loose Casual Jacket,1005003769574764,https://ae01.alicdn.com/kf/Sd46d29f508ee4440836c47020338c7c3c/Xfhh-2021-New-Spring-Women-Motorcycle-Pu-Leather-Jacket-Female-With-Belt-Solid-Color-Jackets-Ladys.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sd46d29f508ee4440836c47020338c7c3c.jpg,https://ae04.alicdn.com/kf/Se26f78adcd304227a608453bbd760b6cH.jpg,https://ae04.alicdn.com/kf/Sbec756daf8434ad7a447eed7ace62907Z.jpg,https://ae04.alicdn.com/kf/Sc431d00ccb5047a79a067235a76028acx.jpg,https://ae04.alicdn.com/kf/Sfec899de722d4525b502b87b6fcbbcf9P.jpg,",https://www.aliexpress.com/item/1005003769574764.html,100.11,50.05,15.00%,,50%,https://s.click.aliexpress.com/e/_AlMn78
Faux Leather,200001909,Xfhh Fall jacket women leather jacket long coat vintage women pu faux leather coat notched single breasted blazer streetwear,1005003769575725,https://ae01.alicdn.com/kf/Sc4a9fefd53a846c2b387e2bebfb3ca2bP/Xfhh-Fall-jacket-women-leather-jacket-long-coat-vintage-women-pu-faux-leather-coat-notched-single.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sc4a9fefd53a846c2b387e2bebfb3ca2bP.jpg,https://ae04.alicdn.com/kf/S1b673627805d449eb9247e4fcbd5937cF.jpg,https://ae04.alicdn.com/kf/S78b5ef3ca0624f28842cbedaa378eaa8W.jpg,https://ae04.alicdn.com/kf/Seffb0029d02f4269957fc7fd4e57fc43u.jpg,https://ae04.alicdn.com/kf/S11cfe28096784b8887f6a773cd228092s.jpg,",https://www.aliexpress.com/item/1005003769575725.html,52.92,26.46,15.00%,,50%,https://s.click.aliexpress.com/e/_AY0VyW
Faux Leather,200001909,Xfhh 2022 Faux Soft Leather New Autumn Women Winter Jackets Coats Lady Black PU Rivet Zipper Epaulet 3D print Motorcycle,1005003769658357,https://ae01.alicdn.com/kf/Sf975f53035c6410fb4b8c1b143c9b2a4v/Xfhh-2022-Faux-Soft-Leather-New-Autumn-Women-Winter-Jackets-Coats-Lady-Black-PU-Rivet-Zipper.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sf975f53035c6410fb4b8c1b143c9b2a4v.jpg,https://ae04.alicdn.com/kf/S9373abd991c54f1b8a37421e144df1bec.jpg,https://ae04.alicdn.com/kf/S20c574e36b424033af83700c0c447074g.jpg,https://ae04.alicdn.com/kf/S164e616481a04097bb4515b661ad1a1cV.jpg,https://ae04.alicdn.com/kf/S7b280229757b40039b7fe4972a7ff232a.jpg,",https://www.aliexpress.com/item/1005003769658357.html,90.54,45.27,15.00%,,50%,https://s.click.aliexpress.com/e/_9hbGJC
Faux Leather,200001909,Women Winter Jacket New Plaid Sheep Shear Leather Fur Mid Long Coats Plus Velvet Thick Hooded Warm Wool Lady Coat Wool Coat,1005003733497939,https://ae01.alicdn.com/kf/H4cb1bdcb249f48cebdf260774859b867i/Women-Winter-Jacket-New-Plaid-Sheep-Shear-Leather-Fur-Mid-Long-Coats-Plus-Velvet-Thick-Hooded.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4cb1bdcb249f48cebdf260774859b867i.jpg,https://ae04.alicdn.com/kf/H20f1bcbd4d354e11bd6d84ff850d8ad6a.jpg,https://ae04.alicdn.com/kf/H6814e8ab9040467abe49a3fae6fbf609D.jpg,https://ae04.alicdn.com/kf/Hc41a0b6436e64805941114a5689b1b4a1.jpg,https://ae04.alicdn.com/kf/Hb3f2b26638054011878c03880bdcc8den.jpg,",https://www.aliexpress.com/item/1005003733497939.html,45.66,27.40,9.00%,,40%,https://s.click.aliexpress.com/e/_AmClEa
