"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005002946057040","https://ae04.alicdn.com/kf/S681f41ec829743e6a8abe4c1e3a39f06x.jpg",,"Men's Slides Slippers Summer Flip Flops Man Clappers Indoor Cloud Slipper EVA House Shoes Women Platform Beach Sandals Fashion","USD 18.26","USD 8.22","55%","USD","7","USD 0.58","16","100.0%","https://s.click.aliexpress.com/e/_DF3yk2x",,,,,,
"1005004655940239","https://ae04.alicdn.com/kf/S3e3336cfde86481b9a92f50a938f7382G.jpg",,"Solid Color Slippers Women Flip Flops Men Women Hotel Travel Spa Indoor Slippers Wedding Shoes Guest Slippers Shoes For Women","USD 5.47","USD 2.41","56%","USD","7","USD 0.17","8","100.0%","https://s.click.aliexpress.com/e/_DCgCwSj",,,,,,
"1005004396419781","https://ae04.alicdn.com/kf/S1618cd245e16429dbb2fa64e1dbe7043h.jpeg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100093491071.mp4","Cute Rabbit Girls Summer Flip Flops Soft Sole Kids Home Slippers Child Anti-Slip Bathroom Slippers Animals Baby Indoor Slides","USD 14.30","USD 7.15","50%","USD","8.0","USD 0.57","153","93.0%","https://s.click.aliexpress.com/e/_DCivsSb",,,,,,
"1005004579356657","https://ae04.alicdn.com/kf/Se3aa024584bd4073877c2bb534b6475bV.jpg",,"Soft Platform Shark Slippers Tiger Pattern Women Men Indoor Bathroom Slides Couples Summer Shoes Soft Outdoor Beach Flip Flops","USD 17.88","USD 10.01","44%","USD","7","USD 0.70","6","100.0%","https://s.click.aliexpress.com/e/_Ddyq2MJ",,,,,,
"1005002967614267","https://ae04.alicdn.com/kf/S0bebbaf0e2bd4fecbea11335f91b4d5ea.jpg",,"Gladiator Men Sandal Mens Sandals Casual Sandalias Hombre For Men Men's Flip Flops Beach Rubber Outdoor Summer Man Slides","USD 18.20","USD 8.19","55%","USD","7","USD 0.57","15","100.0%","https://s.click.aliexpress.com/e/_DCD8djt",,,,,,
"1005004827733021","https://ae04.alicdn.com/kf/S1f5c5ed6874e4c10bd8444bdb1e6fb18O.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100092065910.mp4","2022 NEW Design Women Winter House Furry Slippers Women Fur Home Slides Flat Indoor Floor Shoes Ladies Flip Flops Slides Women","USD 20.07","USD 12.04","40%","USD","7","USD 0.84","27","95.0%","https://s.click.aliexpress.com/e/_De7K5NN",,,,,,
"1005002656170700","https://ae04.alicdn.com/kf/Hf909fc836c8f472b9cba87f800de5316A.jpg",,"Women Indoor Floor Flat Shoes Couple Eva Flip Flops Summer Non-slip Home Indoor Men Ladies Slides Bathroom Slippers Zapatillas","USD 9.15","USD 6.40","30%","USD","7","USD 0.45","9","100.0%","https://s.click.aliexpress.com/e/_DlFWzpd",,,,,,
"1005005017619084","https://ae04.alicdn.com/kf/Sc2659c8a6b654a23bde94e91704fc60fy.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100105431682.mp4","Women Men Slippers 2023 Summer Beach Ourdoor Slides Indoor Home Slippers Thick Platform Shoes Fashion Soft Flip Flops","USD 20.54","USD 10.27","50%","USD","7","USD 0.72","4","100.0%","https://s.click.aliexpress.com/e/_DDyMa0n",,,,,,
"1005002301093686","https://ae04.alicdn.com/kf/He0571db9bbee416cb5024396dcbcd128n.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/302075715847.mp4","Summer Cartoon Tank Children's Slippers For Boys Girls Slippers  Pvc Home Flip Flops Non-slip Big Kids Beach Sandals 3-14 Years","USD 14.91","USD 8.95","40%","USD","8.0","USD 0.72","11","90.0%","https://s.click.aliexpress.com/e/_DBEhg8r",,,,,,
"1005004333402843","https://ae04.alicdn.com/kf/S4855101c6a5646e0ab921c4cf0435074U.jpg",,"Summer Women Man Thick Platform Cartoon Slippers Home Non-slip Tiger Solid Couple Parents Kids Outdoor Flat Indoor Sandals ","USD 12.98","USD 9.09","30%","USD","7","USD 0.64","4","100.0%","https://s.click.aliexpress.com/e/_DerFfuj",,,,,,
"1005004498338829","https://ae04.alicdn.com/kf/S3fe2b00bce0b4d22b8ae6c0c9f84b108d.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100015560470.mp4","Men Women Slippers Orginal Sandals Women Beach Casual Shoes EVA Slides Original Men Flip-flops Summer 2022 Summer Sandal Men's","USD 13.21","USD 7.00","47%","USD","50.0","USD 3.50","241","94.4%","https://s.click.aliexpress.com/e/_DFwIKbV",,,,,,
"1005003501357094","https://ae04.alicdn.com/kf/Hb5c7a605ac1b42d7b1cf22bc8b11efbfB.jpg",,"2021 Summer New Men's Slippers Indoor Home Beach Ourdoor Slides Ladies Solid Slipers Platform Mules Shoes Woman Flats Zapatos","USD 14.86","USD 10.40","30%","USD","7","USD 0.73","140","93.2%","https://s.click.aliexpress.com/e/_DkDwmEj",,,,,,
"4001147886400","https://ae04.alicdn.com/kf/Sfcd130f54ce942f881d2f111c985bd57x.jpg",,"Summer Loafers Breathable Indoor Skid Proof Bathroom Slippers Sandals Hotel Solid Color Men Women Flip Flops Flat Shoes","USD 13.30","USD 8.25","38%","USD","7","USD 0.58","15","100.0%","https://s.click.aliexpress.com/e/_Dl8HEhv",,,,,,
"1005004378251936","https://ae04.alicdn.com/kf/S05cd5810047a4880954600f81ba12309y.jpg",,"Men Outdoor Beach Slippers Thick Platform Flip Flops Summer Soft Thick Heel EVA Non-slip Sole Casual Bathroom Home Slipper","USD 21.42","USD 14.99","30%","USD","7","USD 1.05","10","100.0%","https://s.click.aliexpress.com/e/_DmCmlKB",,,,,,
"1005004234061065","https://ae04.alicdn.com/kf/S4fafc71a91454d5ba94c7e2103154cc3f.jpg",,"Slippers Women Sandals Summer Flip Flops New 2022 Platform Casual Sabot Shoes Flat Clogs Home Floor Apartments Dormitory Beach","USD 24.98","USD 12.49","50%","USD","8.0","USD 1.00","6","100.0%","https://s.click.aliexpress.com/e/_DE9JqXH",,,,,,
"1005004752812129","https://ae04.alicdn.com/kf/S55af4e2fa29a4006af0d0a982b6594e3k.jpg",,"Men'S Home Winter Clogs Indoor Fur Slides Warm Slippers Sandals New Women Fashion Footwear Flip Flops Unisex Waterproof Slippers","USD 13.75","USD 7.29","47%","USD","7","USD 0.51","331","90.6%","https://s.click.aliexpress.com/e/_Dlqn4Cn",,,,,,
"1005004751919060","https://ae04.alicdn.com/kf/S05547c98595043f39bc477446b885f17h.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100088111253.mp4","2022 New Design Women Winter House Furry Slippers Women Cross Fluffy Fur Home Slides Flat Indoor Floor Shoes Ladies Flip Flops","USD 12.80","USD 6.91","46%","USD","7","USD 0.48","19","100.0%","https://s.click.aliexpress.com/e/_DBxMXMT",,,,,,
"1005002656185595","https://ae04.alicdn.com/kf/H7d73f0fc3c4941a3946b20c2621cce37J.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100060544316.mp4","Summer Home Men Slippers Simple Black White Lovers Shoes Non-slip Bathroom Slides Flip Flops Indoor Women Platform Slippers","USD 10.99","USD 7.69","30%","USD","7","USD 0.54","200","89.2%","https://s.click.aliexpress.com/e/_DFmO4P5",,,,,,
"1005004883044326","https://ae04.alicdn.com/kf/Sefbf1d7cc4b042e0bdcbf0e2e14de21e9.jpg",,"Autumn Winter Female Slippers Indoor Slip-On Slides Lovely Women Slippers Bottom Soft Home Shoes Soft Warm Indoor Flip Flop","USD 5.18","USD 2.59","50%","USD","30.0","USD 0.78","267","93.5%","https://s.click.aliexpress.com/e/_DcAp679",,,,,,
"1005003494184426","https://ae04.alicdn.com/kf/S9d0af53888ef4183a7b06f294457eae8P.jpg",,"Shoes Men Indoor Winter Home Non Slip Grip Male Soft Comfy Fluffy Indoor Floor Shoes Flat Lazy Casual House Plus Size Slippers","USD 14.96","USD 7.48","50%","USD","9.0","USD 0.67","51","92.5%","https://s.click.aliexpress.com/e/_DevXOcn",,,,,,
"1005003784334591","https://ae04.alicdn.com/kf/S9304e9d8d7714f46897c3cf0bdf16967c.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100008582778.mp4","Summer Women Slippers Flip Flops Thick Bottom Sandals Women Couples Outdoor Non-slip Sole Beach Casual Home Slipper","USD 12.13","USD 7.88","35%","USD","7","USD 0.55","508","96.0%","https://s.click.aliexpress.com/e/_Dchk0yR",,,,,,
"1005004754671557","https://ae04.alicdn.com/kf/S7699d5f89b834a4c9c51457d87456ceew.jpg",,"Men Winter Slippers Indoor House Shoes 2022 Man Flip Flops Warm Plush Slippers Women Flats Couple Shoe Comfort Male Footwear","USD 12.99","USD 6.75","48%","USD","7","USD 0.47","472","97.1%","https://s.click.aliexpress.com/e/_De2ZcET",,,,,,
"4001177066291","https://ae04.alicdn.com/kf/Sfb650d930ff6443782704dbe7417e437j.jpg",,"flip flops for men designer summer slippers beach 2022 new fashion Home Slippers Non-slip Outdoors Bath Slippers Floor Flat Shoe","USD 18.30","USD 8.23","55%","USD","7","USD 0.58","17","100.0%","https://s.click.aliexpress.com/e/_DkrQyN1",,,,,,
"4000979526523","https://ae04.alicdn.com/kf/H06477051140b436b8f32eab502280932j.jpg",,"Winter Slippers Kawaii Women Flip Flop Color Hamster Pink Brown Hamster Warm Home Slippers Home Floor Non-slip Cartoon Slippers","USD 18.50","USD 13.13","29%","USD","7","USD 0.92","104","99.3%","https://s.click.aliexpress.com/e/_DmTqfGb",,,,,,
"32883279817","https://ae04.alicdn.com/kf/H7c87253da152469e85858b460a24993fC.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/238131789541.mp4","Women Winter Home Slippers Cartoon Cat Non-slip Warm Indoor Bedroom Floor Shoes Woman Plush Slippers Faux Fur Slides Flip Flops","USD 11.89","USD 8.20","31%","USD","8.0","USD 0.66","125","97.6%","https://s.click.aliexpress.com/e/_Ddw9Exl",,,,,,
"1005003505205716","https://ae04.alicdn.com/kf/Hb0c4489cdf69414f9b4d5c35b837afefT.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/336535659441.mp4","DEKABR Slippers Summer Flip-Flops For Men Beach Slippers Leather Sandals Comfortable Shoes Non-Slip Bathroom Shoes Men Slides","USD 36.02","USD 18.37","49%","USD","7","USD 1.29","4","100.0%","https://s.click.aliexpress.com/e/_DBh7QMR",,,,,,
"1005004677569264","https://ae04.alicdn.com/kf/S72800f8dcccf4216aa69175dbd6d4273l.jpg",,"Men'S Home Winter Clogs Indoor Fur Warm Slippers Sandals For Women New Fashion Footwear Flip Flops Unisex Waterproof Slippers","USD 13.02","USD 7.03","46%","USD","7","USD 0.49","50","96.7%","https://s.click.aliexpress.com/e/_DDHAYeb",,,,,,
"1005004754699224","https://ae04.alicdn.com/kf/Sa44e8f7211b24b7cbccab1fd87406e83N.jpg",,"Winter Warm Men'S Slippers Soft Cotton Home Shoes Man Flip Flops Outdoor Indoor Non-Slip Slides Male Bedroom Comfort Footwear","USD 8.60","USD 4.47","48%","USD","7","USD 0.31","25","80.0%","https://s.click.aliexpress.com/e/_DdzXRmP",,,,,,
"1005004679446805","https://ae04.alicdn.com/kf/Sc9ca5a982a9541e7a815eaf129dc11d8h.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100083536537.mp4","Plain Black Leather Slippers For Men Home Slides Mules Shoes Men's Indoor Slipper Husband Room Mute Shoes Male Flip Flops 2022","USD 18.30","USD 9.15","50%","USD","8.0","USD 0.73","21","96.7%","https://s.click.aliexpress.com/e/_DDlAHzz",,,,,,
"1005004557228113","https://ae04.alicdn.com/kf/Sb81240fd7bbb4bcda277c82a49c58bc4n.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100069745709.mp4","Men's Clogs Thick Platform Slippers Indoor Outdoor Slippers Couple Women Couple Flip Flops Garden Sandals Casual Beach Slides","USD 14.39","USD 10.07","30%","USD","7","USD 0.70","7","100.0%","https://s.click.aliexpress.com/e/_DDlJo2b",,,,,,
"1005003534666141","https://ae04.alicdn.com/kf/Sfbc7788857b747d6b89818925137e5acB.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/335279608829.mp4","Women Fashion Warm Fluffy Slippers Cozy Faux Fur Cross Indoor Floor Slides Flat Soft Furry Ladies Female Celebrities Flip Flops","USD 6.72","USD 4.70","30%","USD","7","USD 0.33","654","90.1%","https://s.click.aliexpress.com/e/_Deih75z",,,,,,
"1005004927512128","https://ae04.alicdn.com/kf/S401a03ac21124f6e91cb29645487a8acm.jpg",,"Designer Women's Slippers Winter Plush Warm Shoes Unisex Indoor Outdoor Flip Flops Casual Shoes  Zapatos De Mujer","USD 30.01","USD 15.00","50%","USD","7","USD 1.05","71","96.9%","https://s.click.aliexpress.com/e/_DBuNVan",,,,,,
"1005002895102202","https://ae04.alicdn.com/kf/S10d1921fdd9b4f4abfac8d3031b683aa8.jpg",,"Soft Home Slippers Couple Summer Indoor Skid Proof Bathroom Slippers Sandals Hotel Solid Color Men Women Flip Flops Flat Shoes","USD 18.21","USD 8.19","55%","USD","7","USD 0.57","17","100.0%","https://s.click.aliexpress.com/e/_DCUgMe3",,,,,,
"1005004557251798","https://ae04.alicdn.com/kf/Sdf66ce7c53554c8d8160b799b36e2c711.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100069745709.mp4","Men's Thick Platform Slippers Clogs Indoor Outdoor Slippers Couple Women Couple Flip Flops Garden Sandals Casual Beach Slides","USD 14.39","USD 10.07","30%","USD","7","USD 0.70","28","100.0%","https://s.click.aliexpress.com/e/_DBDEZk7",,,,,,
"1005003798128488","https://ae04.alicdn.com/kf/S2854e668ba96496a8f9d7c637f412fac4.jpg",,"Men Flip Flops Summer Slippers Male House Slippers Outdoor Men Shoes Breathable Indoor Casual Sandals luxury Beach Shoe chanclas","USD 43.32","USD 22.09","49%","USD","7","USD 1.55","91","94.6%","https://s.click.aliexpress.com/e/_DeXTVF1",,,,,,
"1005001556577611","https://ae04.alicdn.com/kf/S133d370f50a54f0f81b3dfba751c8d93j.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/291456279792.mp4","New Couples Stylish Sandals Slip-Proof Thick-Soled Indoor Outdoor Men Flip Flops House Shoes Woman Super Sof Bathroom Slippers","USD 18.63","USD 8.94","52%","USD","8.0","USD 0.72","40","89.1%","https://s.click.aliexpress.com/e/_DExq5Xp",,,,,,
"1005003995750439","https://ae04.alicdn.com/kf/Saddadaec5cff45c98ce117f671203971W.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/351055711340.mp4","Women Slippers Summer Outdoor Light Weight Cool Shoes Ladies Flat Flip-flop Black Non-slip Basic Home Slippers zapatillas casa","USD 7.04","USD 4.65","34%","USD","7","USD 0.33","42","97.1%","https://s.click.aliexpress.com/e/_DDYfaBH",,,,,,
"4000906350972","https://ae04.alicdn.com/kf/Ha6b8269b828a4560a27f2f288bd2f161W.jpg",,"Summer New Flowers Ladies Flip Flops Women  Indoor Slippers Outdoor Sandals Flip-flops Fashion Beach Flat Slides Zapatos TX110","USD 2.99","USD 2.57","14%","USD","20.0","USD 0.51","59","92.0%","https://s.click.aliexpress.com/e/_DBcakDD",,,,,,
"1005004557953121","https://ae04.alicdn.com/kf/S8683572d75684e2889cf995ddffa31e3x.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100070364692.mp4","Summer Women Flip Flops Thick Platform Slippers Indoor Home Outdoor Sandals Beach Ladies Slide Non-slip EVA Soft Couple Slippers","USD 13.28","USD 9.30","30%","USD","7","USD 0.65","8","100.0%","https://s.click.aliexpress.com/e/_DEQpFuT",,,,,,
"1005004207517895","https://ae04.alicdn.com/kf/Sa9eaef92448541c5b26138efaefdb23cW.jpg",,"Summer Women Shoes Platform Bath Slippers Wedge Beach Flip Flops Slippers Shoes Zapatillas Mujer тапочки для дома","USD 7.13","USD 4.99","30%","USD","7","USD 0.35","24","75.0%","https://s.click.aliexpress.com/e/_DluDNBt",,,,,,
"1005004891338697","https://ae04.alicdn.com/kf/S0c01133175444b9eb1b48d81f27b04854.jpg",,"Summer Men Flip Flops Beach Slippers Sandals Non-slip Home Chanclas Slipper Indoor House Anti-slip Zapatos Hombre Shoes 2022","USD 1.80","USD 1.08","40%","USD","7","USD 0.08","62","80.0%","https://s.click.aliexpress.com/e/_DlWdUm7",,,,,,
"1005002064037252","https://ae04.alicdn.com/kf/H9c128ec48bc746ac9b2c2711ebf971adL.jpg",,"2021 Women Slippers Fashion Summer High Heel Slippers Beach  Flops Slipper  Platform Beach Shoes Sandals Non-slip Feet","USD 7.06","USD 4.52","36%","USD","7","USD 0.32","43","90.0%","https://s.click.aliexpress.com/e/_DnqygXV",,,,,,
"32991801531","https://ae04.alicdn.com/kf/HTB1gWWoNpzqK1RjSZFvq6AB7VXaI.jpg",,"Summer Soft Women Wedge Sandals Thong Flip Flops Flat Platform Slippers Beach","USD 4.82","USD 3.95","18%","USD","7","USD 0.28","26","84.0%","https://s.click.aliexpress.com/e/_DBhmXLh",,,,,,
"1005004795475095","https://ae04.alicdn.com/kf/S6606f893ece340babcb59685deeefb85R.jpg",,"Large Size Summer Breathable Beach Leisure Shoes Men Slippers Slip On Mens Flip Flops Lightweight Soft Unisex Slipper Zapatillas","USD 8.50","USD 4.25","50%","USD","7","USD 0.30","27","null%","https://s.click.aliexpress.com/e/_DBjRdKR",,,,,,
"4001117384768","https://ae04.alicdn.com/kf/H2c282795513342a8a25778a4ee72b119l.jpg",,"sandalle zandalias vietnam shoes ritable 2020 transpirables cuero genuino rasteira homme sandles size masculina for masculino v","USD 14.00","USD 8.26","41%","USD","7","USD 0.58","85","100.0%","https://s.click.aliexpress.com/e/_DFco4OT",,,,,,
"1005003793880548","https://ae04.alicdn.com/kf/H552a8f993f424903bb31938a518ed733I.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100091913227.mp4","Fashion Lady Slippers Shoes Retro Womens Summer Flip Flops Casual Slippers Flat Sandals Beach Open Toe Flat Slippers for Women","USD 5.31","USD 3.98","25%","USD","7","USD 0.28","55","95.0%","https://s.click.aliexpress.com/e/_DlnWBHd",,,,,,
"1005004251846187","https://ae04.alicdn.com/kf/S88b67bf48d2343b081deb37fd4d58d53n.jpg",,"Women Summer Flip Flops Sun Flower OutdoorSandals Ladies Slippers Couple Thick Platform Non-slip Sole Beach Casual Ladies Shoes","USD 12.55","USD 8.78","30%","USD","7","USD 0.61","21","100.0%","https://s.click.aliexpress.com/e/_Dkk86Eb",,,,,,
"1005004252231028","https://ae04.alicdn.com/kf/Sb58b9b2fb75b4a64839ab6c7f8ba78a1D.jpg",,"EVA Mens Summer Slippers Soft Elastic Flip Flops For Beach Indoor Bathroom Anti-slip Thick Platform Male Household Sandals Shoes","USD 32.30","USD 16.80","48%","USD","9.0","USD 1.51","27","100.0%","https://s.click.aliexpress.com/e/_Dc6Kwth",,,,,,
"1005004156216802","https://ae04.alicdn.com/kf/S7655008999304f759c2dfbf69508c4401.jpg",,"Thick Heel Men Slippers Summer Non-slip Soft Sole Flip Flops Bathroom Indoor Shoes Outdoor Beach Fashion Runaway Slides","USD 13.49","USD 9.44","30%","USD","7","USD 0.66","86","99.1%","https://s.click.aliexpress.com/e/_Dd8YKYP",,,,,,
"1005004578892470","https://ae04.alicdn.com/kf/Sae5665493496475db4f715382024208c1.jpg",,"Summer Women Men's Slippers Indoor Bath Thick Platform Non-slip Home Easter Cartoon Flip Flops Bear Beach Sandals Ladies Shoes","USD 9.98","USD 4.99","50%","USD","20.0","USD 1.00","75","100.0%","https://s.click.aliexpress.com/e/_DmLvliP",,,,,,
"1005004234001474","https://ae04.alicdn.com/kf/Saa70d1fdb90a4209a022a9e403a0bbc2k.jpg",,"2022 New Fashion Flip Flops Summer Thong Shoes Beach Shoes Women Plus Size Wedge Heel Ladies Sandals Breathable Slippers Women","USD 11.19","USD 6.04","46%","USD","7","USD 0.42","38","94.3%","https://s.click.aliexpress.com/e/_Dko7iAb",,,,,,
"1005004813671733","https://ae04.alicdn.com/kf/S27027c3aabec41c78c4a7d1406520582A.jpg",,"Women Home Slippers Flip Flops Casual Soft Sole Thick Bottom Summer Beach Slippers EVA Anti-slip Outdoor Indoor Slides Shoes","USD 8.05","USD 4.83","40%","USD","7","USD 0.34","43","88.0%","https://s.click.aliexpress.com/e/_DeVo0l1",,,,,,
"4001125330908","https://ae04.alicdn.com/kf/Sefc95f0c90a049d0a2db6708dee8ea21q.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/269159177316.mp4","Furry Slippers Women Summer Furry Sandals Flip Flops Female Shoes Mules Plush Real Fur Slides Ladies Luxury Soft House Slippers","USD 28.96","USD 17.96","38%","USD","8.0","USD 1.44","22","80.0%","https://s.click.aliexpress.com/e/_DBTXoE3",,,,,,
"1005002640578291","https://ae04.alicdn.com/kf/H8f30426e53ee46ea8e7da7df64bcaa56s.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/309416104214.mp4","2022 Unisex Summer Newest Kids Slippers Boys Girls Slippers Non-slip Children Beach Shoes Baby Home Sandals Kids Flip Flops","USD 10.14","USD 5.78","43%","USD","8.0","USD 0.46","63","92.5%","https://s.click.aliexpress.com/e/_DdGdy6b",,,,,,
"4001043471484","https://ae04.alicdn.com/kf/H793a08f84daf4f588357fe9d27742cd31.jpg",,"Slippers Women Sandals Platform Sandals Shoes Women Bow 2022 Summer Sandals Slipper Indoor Outdoor Flip-flops Beach Shoes Female","USD 26.37","USD 9.76","63%","USD","7","USD 0.68","1043","91.3%","https://s.click.aliexpress.com/e/_Dmv2Zbt",,,,,,
"1005002742300385","https://ae04.alicdn.com/kf/Hbe4cc750aa534ef3b438d8908fd15161e.jpg",,"Women Summer Weave Slides Chain Decorative Flip Flops Outdoor Sexy Casual Sandals Female Square Heel Slippers Plus Size 43","USD 26.04","USD 11.98","54%","USD","7","USD 0.84","30","84.4%","https://s.click.aliexpress.com/e/_DBs4xGj",,,,,,
