Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Hair Care & Styling,200001168,Soft And Non-injury Hair Silicone Shampoo Brush Wet Bath Brush Dry Bath Spa Brush Non-slip Massage Brush Hair Massage And D5g1,1005003502616009,https://ae01.alicdn.com/kf/H650a6d57f21b46c09ebe8de3f641771dI/Soft-And-Non-injury-Hair-Silicone-Shampoo-Brush-Wet-Bath-Brush-Dry-Bath-Spa-Brush-Non.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H650a6d57f21b46c09ebe8de3f641771dI.jpg,https://ae04.alicdn.com/kf/H38339bbd0ad646fba8cd635804673170r.jpg,https://ae04.alicdn.com/kf/H8225a211d7ff4ceeb99a4122fc8bfbc09.jpg,https://ae04.alicdn.com/kf/Hfcf099e53ea648de89488a545ea99becb.jpg,https://ae04.alicdn.com/kf/Ha43e7988046c48c98043123331e5a833r.jpg,",https://www.aliexpress.com/item/1005003502616009.html,2.77,1.61,12.00%,,42%,https://s.click.aliexpress.com/e/_99L7pH
Hair Care & Styling,200001168,ENZO Professional Hair Straightener Ceramic Plate Hair Styler Flat Iron LCD Display Curling Iron Styling Tools Straightener,1005002103766506,https://ae01.alicdn.com/kf/H6f6b95b93b784014b03e3d6e3a6e9c17X/ENZO-Professional-Hair-Straightener-Ceramic-Plate-Hair-Styler-Flat-Iron-LCD-Display-Curling-Iron-Styling-Tools.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6f6b95b93b784014b03e3d6e3a6e9c17X.jpg,https://ae04.alicdn.com/kf/Hb9a85a7222d548589e05fa8a672910e5D.jpg,https://ae04.alicdn.com/kf/H413ea363b07545509f98daefb1bf9ea9D.jpg,https://ae04.alicdn.com/kf/H599f84c73ab74ebab9e2309006fc7298V.jpg,https://ae04.alicdn.com/kf/H3895019e560e4a1190d44e419c09eb94g.jpg,",https://www.aliexpress.com/item/1005002103766506.html,46.05,32.23,8.00%,,30%,https://s.click.aliexpress.com/e/_AbcP1l
Hair Care & Styling,200001168,Unisex Sandalwood Comb Women Men Home Travel Wood Anti-static Fine-tooth Comb Wooden Handles,4000007796064,https://ae01.alicdn.com/kf/H4092aaf475814465b4e96ff5eca5d687t/Unisex-Sandalwood-Comb-Women-Men-Home-Travel-Wood-Anti-static-Fine-tooth-Comb-Wooden-Handles.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4092aaf475814465b4e96ff5eca5d687t.jpg,https://ae04.alicdn.com/kf/Hb371c5c520e6408d80241a6f4416b8feA.jpg,https://ae04.alicdn.com/kf/H5ba35f6743b8484b939acaf38ec549e0u.jpg,https://ae04.alicdn.com/kf/Hc9a4cb5bcf374752b25b24c6d6291db06.jpg,https://ae04.alicdn.com/kf/Hb1e32d5ee6ed48768bb30031e6e3260fE.jpg,",https://www.aliexpress.com/item/4000007796064.html,0.60,0.28,8.00%,,54%,https://s.click.aliexpress.com/e/_ArrpmJ
Hair Care & Styling,200001168,Anti Hair Loss Ginseng Shampoo Professional Regrowth Treatment Thickener Thinning Hair Polygonum Hair Growth Liquid Men Women,1005003802110174,https://ae01.alicdn.com/kf/H161ce269298343338df8d0526abcb92dW/Anti-Hair-Loss-Ginseng-Shampoo-Professional-Regrowth-Treatment-Thickener-Thinning-Hair-Polygonum-Hair-Growth-Liquid-Men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H161ce269298343338df8d0526abcb92dW.jpg,https://ae04.alicdn.com/kf/H923eb69c853245dd9f28882c5f3098a98.jpeg,https://ae04.alicdn.com/kf/Hba2aae646e5b450392d283ee39e17c6b2.jpeg,https://ae04.alicdn.com/kf/Hbe614b4833cd4a239b8fc514e98ab69eE.jpeg,https://ae04.alicdn.com/kf/H407db151f50448e6a668450de7d9e13aB.jpeg,",https://www.aliexpress.com/item/1005003802110174.html,26.99,12.15,15.00%,,55%,https://s.click.aliexpress.com/e/_A64BRv
Hair Care & Styling,200001168,2021 New Black Magnet Magnetic Therapy Necklace Men's Loss Necklace Slimming Weight Chain Fashion Necklace Slimming Mens Ma I8n4,1005003507528722,https://ae01.alicdn.com/kf/H070896b9c3a9436da13833a69edfdd3dd/2021-New-Black-Magnet-Magnetic-Therapy-Necklace-Men-s-Loss-Necklace-Slimming-Weight-Chain-Fashion-Necklace.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H070896b9c3a9436da13833a69edfdd3dd.jpg,https://ae04.alicdn.com/kf/H72c795cf403b4e62ad84b4233d8ff195m.jpg,https://ae04.alicdn.com/kf/Ha0b0aa419f984feb98e09742c180d4a3e.jpg,https://ae04.alicdn.com/kf/H8d24a567ec8444e7b399d841de7528edZ.jpg,https://ae04.alicdn.com/kf/Hc1347afb761542fbbb463b60772cc2a3O.jpg,",https://www.aliexpress.com/item/1005003507528722.html,2.30,1.33,12.00%,,42%,https://s.click.aliexpress.com/e/_9vWxPZ
Hair Care & Styling,200001168,New Fashion Finishing Hair Stick Hair Smoothing Cream Fixed Tool Rapid Hair Stick Shaping Finishing Styling Untidy S7r2,1005003507631316,https://ae01.alicdn.com/kf/H6ddd7982b2a54b02b756a57b6546a7b4w/New-Fashion-Finishing-Hair-Stick-Hair-Smoothing-Cream-Fixed-Tool-Rapid-Hair-Stick-Shaping-Finishing-Styling.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6ddd7982b2a54b02b756a57b6546a7b4w.jpg,https://ae04.alicdn.com/kf/Hac9286b32f79488e90a82e18b6db2394Q.jpg,https://ae04.alicdn.com/kf/H9bd5e1f66f05426abe3fb9d6b18ff23dr.jpg,https://ae04.alicdn.com/kf/Hbb9eb38e81ad4bb5ad58c3344c5a7d049.jpg,https://ae04.alicdn.com/kf/H2061bb1d2f3e4f56830fccc035ed0acdG.jpg,",https://www.aliexpress.com/item/1005003507631316.html,1.67,0.97,12.00%,,42%,https://s.click.aliexpress.com/e/_Anv9l5
Hair Care & Styling,200001168,ENZO Professional Hair Straightener LCD Digital Display Hair Styler Hair Care Curling Irons Ceramic Plate Flat Iron Women Curler,1005002096327080,https://ae01.alicdn.com/kf/Hc8d914c6257c473e86a398c8da87fe47P/ENZO-Professional-Hair-Straightener-LCD-Digital-Display-Hair-Styler-Hair-Care-Curling-Irons-Ceramic-Plate-Flat.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc8d914c6257c473e86a398c8da87fe47P.jpg,https://ae04.alicdn.com/kf/Hd57004ee2ba348b6b6165f542f9b1a32k.jpg,https://ae04.alicdn.com/kf/He945fb6cf0074e95af70bd9fc9e9aa6dp.jpg,https://ae04.alicdn.com/kf/Ha01b3c5b15514e2890cd555d732a4c7ce.jpg,https://ae04.alicdn.com/kf/He6f03d94ad5c48d7b578aa12e7cbc046K.jpg,",https://www.aliexpress.com/item/1005002096327080.html,44.20,30.94,8.00%,,30%,https://s.click.aliexpress.com/e/_A6QdOn
Hair Care & Styling,200001168,Heatless Curling Rod Headband No Heat Silk Curls Ribbon Hair Rollers Sleeping Soft Headband Lazy Hair Curlers Hair Styling Tools,1005003449279627,https://ae01.alicdn.com/kf/Scfdb5ed529b94b1c95738ef0868ab5bcO/Heatless-Curling-Rod-Headband-No-Heat-Silk-Curls-Ribbon-Hair-Rollers-Sleeping-Soft-Headband-Lazy-Hair.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Scfdb5ed529b94b1c95738ef0868ab5bcO.jpg,https://ae04.alicdn.com/kf/Sc897377ec9f545dbba7dfe92cdd59b18f.jpg,https://ae04.alicdn.com/kf/Sf5a12c6ed3bb42d89f608a0e4c46c3e4Y.jpg,https://ae04.alicdn.com/kf/S2b03281e80504d6794f7068022db2b96v.jpg,https://ae04.alicdn.com/kf/Se1d9b108d58e4c08ab7d8f861b436731V.jpg,",https://www.aliexpress.com/item/1005003449279627.html,4.12,0.01,15.00%,,99%,https://s.click.aliexpress.com/e/_ANMu5h
Hair Care & Styling,200001168,1pc Christmas Headbands Antler Hair Band Deer Ear Hair Hoop Headwear Xmas Party Cosplay Decorations Gifts Hair Accessories,1005003746586947,https://ae01.alicdn.com/kf/S709982f6d7804186bfc62fd874635d41V/1pc-Christmas-Headbands-Antler-Hair-Band-Deer-Ear-Hair-Hoop-Headwear-Xmas-Party-Cosplay-Decorations-Gifts.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S709982f6d7804186bfc62fd874635d41V.jpg,https://ae04.alicdn.com/kf/S38c777be9d02474ba19743c6ae38b6c3K.jpg,https://ae04.alicdn.com/kf/S51af6925b9c645029a362a105903dd34G.jpg,https://ae04.alicdn.com/kf/Sf33c22bee6a54170b49b551d2cdde04cr.jpg,https://ae04.alicdn.com/kf/S6880c1bb4caa4b27b95a938b0058b2bc2.jpg,",https://www.aliexpress.com/item/1005003746586947.html,2.47,1.23,30.00%,,50%,https://s.click.aliexpress.com/e/_AMgwJN
Hair Care & Styling,200001168,RESUXI USB Portable Hot Air Comb Rechargable Professional Hair Dryer Brush 2 In1 Mini Hair Straightener Curler Brush Hair Styler,1005001863765122,https://ae01.alicdn.com/kf/H8fd7b3c559604904b5630a0a9e577181h/RESUXI-USB-Portable-Hot-Air-Comb-Rechargable-Professional-Hair-Dryer-Brush-2-In1-Mini-Hair-Straightener.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8fd7b3c559604904b5630a0a9e577181h.jpg,https://ae04.alicdn.com/kf/H7e5ece59a6544d248987946f104198ec9.jpg,https://ae04.alicdn.com/kf/H576faa297b494865ac95fb1fcda7d699u.jpg,https://ae04.alicdn.com/kf/Hc83c468c73764396a38551c7939a978d2.jpg,https://ae04.alicdn.com/kf/Hb0e09d65a16443f0a65757ed7f43b2cde.jpg,",https://www.aliexpress.com/item/1005001863765122.html,25.00,17.50,8.00%,,30%,https://s.click.aliexpress.com/e/_9iHqwL
