Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Hair Salon Supply,200319142,Water Wave Headband Wigs Human Hair Wigs Full Machine Made Wig Natural Hairline For Women Scarf Wig Brazilian Remy Hair,1005001424781156,https://ae01.alicdn.com/kf/H04682538e4ef46a98053ed7fa71fbda8u/Water-Wave-Headband-Wigs-Human-Hair-Wigs-Full-Machine-Made-Wig-Natural-Hairline-For-Women-Scarf.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H04682538e4ef46a98053ed7fa71fbda8u.jpg,https://ae04.alicdn.com/kf/Ha0d7a9d32b5e49228fce3738e2816967O.jpg,https://ae04.alicdn.com/kf/H4acc7f3deea0420fac89073820bc1bb7j.jpg,https://ae04.alicdn.com/kf/Hc4f79509dbed4aa79da2150ee5cd6da4J.jpg,https://ae04.alicdn.com/kf/H9decf276264d4852a4dd892f1ed7e65fl.jpg,",https://www.aliexpress.com/item/1005001424781156.html,68.36,40.33,10.50%,,41%,https://s.click.aliexpress.com/e/_99rv40
Hair Salon Supply,200319142,Human Hair Wig Body Wave 4x4 HD Transparent Lace Closure Wig Ali Queen Brazlian Human Hair Wigs Pre-Plucked Natural Color 250%,33041049443,https://ae01.alicdn.com/kf/Hd38ece0d9fc64254b4f0773ef0b9552eF/Human-Hair-Wig-Body-Wave-4x4-HD-Transparent-Lace-Closure-Wig-Ali-Queen-Brazlian-Human-Hair.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd38ece0d9fc64254b4f0773ef0b9552eF.jpg,https://ae04.alicdn.com/kf/H316a36927aaf4598b1afdabdc7e5070bq.jpg,https://ae04.alicdn.com/kf/H39f7db50e6a94bf29dabc1e1aee0f45e3.jpg,https://ae04.alicdn.com/kf/H9bb98c9b6e8e4f448bd065c861843ec5r.jpg,https://ae04.alicdn.com/kf/H1155ab2a278e42089a0746aa13cfc460b.jpg,",https://www.aliexpress.com/item/33041049443.html,152.90,76.45,8.00%,,50%,https://s.click.aliexpress.com/e/_AUG6tQ
Hair Salon Supply,200319142,Body Wave 3Pcs Human Virgin Hair Bundles With 13x4 HD Lace Frontal Ali Queen Brazilian One-Donor Hair Double Drawn Pre Plucked,4000761585561,https://ae01.alicdn.com/kf/H1e35d8c2500a445388468a015555cffb6/Body-Wave-3Pcs-Human-Virgin-Hair-Bundles-With-13x4-HD-Lace-Frontal-Ali-Queen-Brazilian-One.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1e35d8c2500a445388468a015555cffb6.jpg,https://ae04.alicdn.com/kf/H53deae4b73b2413fa4b9f9726d7b3ff6Z.jpg,https://ae04.alicdn.com/kf/H2d95c99caea7452fb3ba8a80c6495793w.jpg,https://ae04.alicdn.com/kf/H89d3622ac4374e988d72d25d9f90a618H.jpg,https://ae04.alicdn.com/kf/H8836fe1a769f402483f15e8beae44a17q.jpg,",https://www.aliexpress.com/item/4000761585561.html,215.00,107.50,8.00%,,50%,https://s.click.aliexpress.com/e/_9wveMy
Hair Salon Supply,200319142,Short Afro Puff Wig Brazilian 13x4 Lace Front Wigs Natural Color Remy Afro Kinky Curly Human Hair Wigs For Black Women 150% YIDA,4000497275420,https://ae01.alicdn.com/kf/H8467788def0d449a9ce935eabb59305dp/Short-Afro-Puff-Wig-Brazilian-13x4-Lace-Front-Wigs-Natural-Color-Remy-Afro-Kinky-Curly-Human.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8467788def0d449a9ce935eabb59305dp.jpg,https://ae04.alicdn.com/kf/Hb0754d334e5c4febace6f2ecb5366e70x.jpg,https://ae04.alicdn.com/kf/H137e8a7aa2204f618ddf81556e274ce09.jpg,https://ae04.alicdn.com/kf/H17a8d1c4fcc74562944ad42c1c3009d2j.jpg,https://ae04.alicdn.com/kf/H317ffdeb9b6c4f1983772ed1b4c2d878I.jpg,",https://www.aliexpress.com/item/4000497275420.html,95.16,59.00,8.00%,,38%,https://s.click.aliexpress.com/e/_AaQ9TI
Hair Salon Supply,200319142,Brazilian Remy Hair Afro kinky Curly Bulk Human Hair For Braiding dreadlocks1 Bundle 50g/pc Natural Color Braids Hair No Weft,33021158654,https://ae01.alicdn.com/kf/H3bf869da89af426790c1554d55fbbb27u/Brazilian-Remy-Hair-Afro-kinky-Curly-Bulk-Human-Hair-For-Braiding-dreadlocks1-Bundle-50g-pc-Natural.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3bf869da89af426790c1554d55fbbb27u.jpg,https://ae04.alicdn.com/kf/HTB1DWPmXEWF3KVjSZPhq6xclXXaF.jpg,https://ae04.alicdn.com/kf/Hdac8841b9df04355a3a04940e3ca9b4fY.jpg,https://ae04.alicdn.com/kf/HTB1YE6mXA5E3KVjSZFCq6zuzXXa2.jpg,https://ae04.alicdn.com/kf/H8fb5f201ae6a42638a34f90267cd609du.jpg,",https://www.aliexpress.com/item/33021158654.html,32.03,20.82,9.50%,,35%,https://s.click.aliexpress.com/e/_AOddGg
Hair Salon Supply,200319142,Brazilian Loose Wave Hair Bulk 3Pcs/Lot Wet and Wavy Human Hair Bulk For Braiding No Weft Braids Extensions Flowerseason,1005002375929345,https://ae01.alicdn.com/kf/H3e8d1b319e0c42e48b72a496b65b8235B/Brazilian-Loose-Wave-Hair-Bulk-3Pcs-Lot-Wet-and-Wavy-Human-Hair-Bulk-For-Braiding-No.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H3e8d1b319e0c42e48b72a496b65b8235B.jpg,https://ae04.alicdn.com/kf/H8254ebd051c2448ea29fe3debafc1626s.jpg,https://ae04.alicdn.com/kf/H0af722b2b5dd41faaa5c03dc0056a4cfW.jpg,https://ae04.alicdn.com/kf/Hd176e1ffd01f49f091600941c6553376f.jpg,https://ae04.alicdn.com/kf/Hce9acafe11aa4d7499c7ba1f5a1768a8b.jpg,",https://www.aliexpress.com/item/1005002375929345.html,133.90,46.86,11.00%,,65%,https://s.click.aliexpress.com/e/_9GDPJA
Hair Salon Supply,200319142,Ali Queen Straight 4x4 Blond Lace Closure Brazilian Raw Virgin Human Hair 13x4 Lace Frontal Bleached 1B-613 Ombre Color Hairline,32993765700,https://ae01.alicdn.com/kf/HTB1W0znOkvoK1RjSZFwq6AiCFXal/Ali-Queen-Straight-4x4-Blond-Lace-Closure-Brazilian-Raw-Virgin-Human-Hair-13x4-Lace-Frontal-Bleached.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/HTB1W0znOkvoK1RjSZFwq6AiCFXal.jpg,https://ae04.alicdn.com/kf/HTB18bx6OiLaK1RjSZFxq6ymPFXaS.jpg,https://ae04.alicdn.com/kf/HTB1Cx88OhnaK1RjSZFBq6AW7VXaM.jpg,https://ae04.alicdn.com/kf/HTB1CnXDObPpK1RjSZFFq6y5PpXaj.jpg,https://ae04.alicdn.com/kf/HTB1DLhzOmrqK1RjSZK9q6xyypXag.jpg,",https://www.aliexpress.com/item/32993765700.html,136.00,68.00,8.00%,,50%,https://s.click.aliexpress.com/e/_ANtCsM
Hair Salon Supply,200319142,Ali Queen Loose Wave Weaving Bundles With 4x4 HD Lace Closure Unprocessed Virgin Brazilian Human Hair 13x4 Lace Frontal Natural,4000777612694,https://ae01.alicdn.com/kf/He59c22e72a204b38858e55bfcb0bb453F/Ali-Queen-Loose-Wave-Weaving-Bundles-With-4x4-HD-Lace-Closure-Unprocessed-Virgin-Brazilian-Human-Hair.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He59c22e72a204b38858e55bfcb0bb453F.jpg,https://ae04.alicdn.com/kf/Ha36c9df39ca84cd5852d1389f7edf03bS.jpg,https://ae04.alicdn.com/kf/H8a6c9f7a39b0441facfca570489ba2f66.jpg,https://ae04.alicdn.com/kf/Hdd54c08b39b74db782d042027cf4b3758.jpg,https://ae04.alicdn.com/kf/Hc9014c7cd60e4a72aee46eb9a4474b23Z.jpg,",https://www.aliexpress.com/item/4000777612694.html,149.00,89.40,8.00%,,40%,https://s.click.aliexpress.com/e/_A5xUqu
Hair Salon Supply,200319142,Natural Wave Virgin Hair Bundle With 4x4 HD Lace Closure 13x4 Lace Frontal Ali Queen One Donor Human Hair Natural Color Hairline,4000777224541,https://ae01.alicdn.com/kf/H6d136f0371c94380978fa36366651cf9r/Natural-Wave-Virgin-Hair-Bundle-With-4x4-HD-Lace-Closure-13x4-Lace-Frontal-Ali-Queen-One.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6d136f0371c94380978fa36366651cf9r.jpg,https://ae04.alicdn.com/kf/Hb3ed41df7545416e8ecd1068d0a5d44c2.jpg,https://ae04.alicdn.com/kf/HTB1GjSOKr9YBuNjy0Fgq6AxcXXaj.jpg,https://ae04.alicdn.com/kf/Ha294793e114f43fa8ad1172cad9820dcE.jpg,https://ae04.alicdn.com/kf/H32863cf155724b2991f07ada8172307eE.jpg,",https://www.aliexpress.com/item/4000777224541.html,215.00,107.50,8.00%,,50%,https://s.click.aliexpress.com/e/_97RQtI
Hair Salon Supply,200319142,Headband Wig Human Hair Kinky Curly For Black Women Brazilian Scarf Wig 30-36 Inch 150% Density Remy Afro Curly Human Hair Wigs,1005002875640817,https://ae01.alicdn.com/kf/Hd9130d95a1d04de0b99fa04a92508a69l/Headband-Wig-Human-Hair-Kinky-Curly-For-Black-Women-Brazilian-Scarf-Wig-30-36-Inch-150.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd9130d95a1d04de0b99fa04a92508a69l.jpg,https://ae04.alicdn.com/kf/H018daa64f9d54bc3b216bb49e3632a90T.jpg,https://ae04.alicdn.com/kf/Habc266998806471180e2e0623cf29aa7O.jpg,https://ae04.alicdn.com/kf/H01035e3da4ed46d289b806cf40d19168o.jpg,https://ae04.alicdn.com/kf/H97e15d69635a4066b488671d6b1f9267K.jpg,",https://www.aliexpress.com/item/1005002875640817.html,57.73,34.64,8.00%,,40%,https://s.click.aliexpress.com/e/_ADg4De
