Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Hoodies & Sweatshirts,200000344,Covrlge Spring Men's Jackets Hooded Coats Casual Zipper Sweatshirts Male Tracksuit Fashion Jacket Mens Clothing Outerwear MWW148,1005003792000012,https://ae01.alicdn.com/kf/S8b60b949192342779c654dc850eadb6d4/Covrlge-Spring-Men-s-Jackets-Hooded-Coats-Casual-Zipper-Sweatshirts-Male-Tracksuit-Fashion-Jacket-Mens-Clothing.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S8b60b949192342779c654dc850eadb6d4.jpg,https://ae04.alicdn.com/kf/S022533890c524bb88e670d60d8fb6e35E.jpg,https://ae04.alicdn.com/kf/S0e9f1bf05112492785d510f8f621e5bcM.jpg,https://ae04.alicdn.com/kf/Se7d2f8ec2e6e4a698636230d1cd2af88l.jpg,https://ae04.alicdn.com/kf/S8a0e36de800749ca9fc1a24e8b375cd0E.jpg,",https://www.aliexpress.com/item/1005003792000012.html,40.08,20.04,40.00%,,50%,https://s.click.aliexpress.com/e/_ArIh9A
Hoodies & Sweatshirts,200000344,2021 Brand New Mens Hoodies Sweatshirts Men Short Sleeve Hoodies Sweatshirt Casual Solid Color Man hoody For Male Hooded,1005003791945227,https://ae01.alicdn.com/kf/Sc77f8e2ff4b440a7a3e9661fd429cc51b/2021-Brand-New-Mens-Hoodies-Sweatshirts-Men-Short-Sleeve-Hoodies-Sweatshirt-Casual-Solid-Color-Man-hoody.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sc77f8e2ff4b440a7a3e9661fd429cc51b.jpg,https://ae04.alicdn.com/kf/Sf7fd854d5b7a455e80f088fe98776bcaB.jpg,https://ae04.alicdn.com/kf/S2a79cb5901d94ab29d2d554fedeb918e5.jpg,https://ae04.alicdn.com/kf/S76f38e53fa3a4a82a627a81000a90bc5l.jpg,https://ae04.alicdn.com/kf/S543874ddaa3c4c8ca880de1d24208d58l.jpg,",https://www.aliexpress.com/item/1005003791945227.html,38.42,19.21,40.00%,,50%,https://s.click.aliexpress.com/e/_A8FTLK
Hoodies & Sweatshirts,200000344,Hoodies Solid color Sweatshirts Men Woman Autumn Winter Fashion Red Black Gray Pink fleece Hip Hop Hoody Male Brand Casual Tops,1005003791866499,https://ae01.alicdn.com/kf/Se71eeb51c3d747248fb682e1bebfd8e82/Hoodies-Solid-color-Sweatshirts-Men-Woman-Autumn-Winter-Fashion-Red-Black-Gray-Pink-fleece-Hip-Hop.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Se71eeb51c3d747248fb682e1bebfd8e82.jpg,https://ae04.alicdn.com/kf/Seae7052c435a4e609f0e9251b3285bc6z.jpg,https://ae04.alicdn.com/kf/S6f15d74b1ec14847a95f6520115eda33K.jpg,https://ae04.alicdn.com/kf/S898ec528ca3041cdae036bf38fcb8bf7M.jpg,https://ae04.alicdn.com/kf/Sf4418e8147264c03800ae25975991e5bs.jpg,",https://www.aliexpress.com/item/1005003791866499.html,54.38,27.19,40.00%,,50%,https://s.click.aliexpress.com/e/_AsSfkc
Hoodies & Sweatshirts,200000344,Hoodies Sweatshirts Men Woman Autumn Winter Fashion Solid color Red Black Gray Pink fleece Hip Hop Hoody Male Brand Casual Tops,1005003791856514,https://ae01.alicdn.com/kf/S898ec528ca3041cdae036bf38fcb8bf7M/Hoodies-Sweatshirts-Men-Woman-Autumn-Winter-Fashion-Solid-color-Red-Black-Gray-Pink-fleece-Hip-Hop.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S898ec528ca3041cdae036bf38fcb8bf7M.jpg,https://ae04.alicdn.com/kf/Sf4418e8147264c03800ae25975991e5bs.jpg,https://ae04.alicdn.com/kf/Sf46d7f10f6524eb9bd4b44c36d09ef73J.jpg,https://ae04.alicdn.com/kf/S76f5368bfa5f4fe2b74f05d522d2d8b4J.jpg,https://ae04.alicdn.com/kf/Sb3932e6269ed4636b4667c5e15edac40V.jpg,",https://www.aliexpress.com/item/1005003791856514.html,54.22,27.11,40.00%,,50%,https://s.click.aliexpress.com/e/_ANyKGY
Hoodies & Sweatshirts,200000344,Men Comfy Hoodies Autumn Fleece Pure Zip up Hooded Sweatshirt Men Hip Hop Hoodie For Men Classic Hoody Pullover Tops white,1005003791709977,https://ae01.alicdn.com/kf/S49479b58185e4be1aff21652050311ff4/Men-Comfy-Hoodies-Autumn-Fleece-Pure-Zip-up-Hooded-Sweatshirt-Men-Hip-Hop-Hoodie-For-Men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S49479b58185e4be1aff21652050311ff4.jpg,https://ae04.alicdn.com/kf/Sca1dd4de296e43b4b05e346fabc58ab1j.jpg,https://ae04.alicdn.com/kf/Sa8c34c4150b84f2394f93f1cfa456773P.jpg,https://ae04.alicdn.com/kf/Sa62e2d186c3e449aaba889f591b93e34X.jpg,https://ae04.alicdn.com/kf/Sa28973ff476d448b96e6aeea49cb14feJ.jpg,",https://www.aliexpress.com/item/1005003791709977.html,12.06,6.03,40.00%,,50%,https://s.click.aliexpress.com/e/_99po4s
Hoodies & Sweatshirts,200000344,Sweatshirts Hoodie Men Tops Spring Autumn Street Men Wear Japanese Hip-Hop Casual Fashion Loose Hoodies Men,1005003791872408,https://ae01.alicdn.com/kf/S2b6c620f524343fea62756860023c459v/Sweatshirts-Hoodie-Men-Tops-Spring-Autumn-Street-Men-Wear-Japanese-Hip-Hop-Casual-Fashion-Loose-Hoodies.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S2b6c620f524343fea62756860023c459v.jpg,https://ae04.alicdn.com/kf/Se7b48465da0c40828f270ad965ab19dal.png,https://ae04.alicdn.com/kf/S838ab5aee7b54004a01cb97694406ceeJ.jpg,https://ae04.alicdn.com/kf/S1404a9d52f7d4bd5a91f4c3eaa351506e.jpg,https://ae04.alicdn.com/kf/S9284d522301249d48ab2182217a707816.jpg,",https://www.aliexpress.com/item/1005003791872408.html,55.84,27.92,40.00%,,50%,https://s.click.aliexpress.com/e/_AbUaac
Hoodies & Sweatshirts,200000344,Hoodie Men Pullover Sweatshirt Male Print Red Hooded Mens Hoodies Hip Hop Hoddies Streetwear,1005003791965083,https://ae01.alicdn.com/kf/S6c7e8efd9460430b85133ddcc28c9a5eJ/Hoodie-Men-Pullover-Sweatshirt-Male-Print-Red-Hooded-Mens-Hoodies-Hip-Hop-Hoddies-Streetwear.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S6c7e8efd9460430b85133ddcc28c9a5eJ.jpg,https://ae04.alicdn.com/kf/S9dcd0d2521654d50b46dd31141ed9ad6f.jpg,https://ae04.alicdn.com/kf/S1ba2c8151a804f6e969e7633b56e85ceM.jpg,https://ae04.alicdn.com/kf/Sb4be7f17d7a841dbbe8e62579a622efe0.jpg,https://ae04.alicdn.com/kf/Scea5babefcbe453fb77bd38a91a7c263O.jpg,",https://www.aliexpress.com/item/1005003791965083.html,48.83,24.41,40.00%,,50%,https://s.click.aliexpress.com/e/_9RSDZe
Hoodies & Sweatshirts,200000344,Fashion Brand Men's Women's Hoodies Spring Autumn 2022 Male Casual Hoodies Sweatshirts Men's Solid Color Hoodies Sweatshirt Tops,1005003791875356,https://ae01.alicdn.com/kf/S09a3a00d065943e7b8717d9b88f1cbe9K/Fashion-Brand-Men-s-Women-s-Hoodies-Spring-Autumn-2022-Male-Casual-Hoodies-Sweatshirts-Men-s.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S09a3a00d065943e7b8717d9b88f1cbe9K.jpg,https://ae04.alicdn.com/kf/S68944658205545b7a11d5c4ddbb0ee367.jpg,https://ae04.alicdn.com/kf/Sa164f31c1faa4620873d9ba40674fd2df.jpg,https://ae04.alicdn.com/kf/S6ce242d457c14cc5a9f8e381168ceebe3.jpg,https://ae04.alicdn.com/kf/S29fa8206a27746aaa2f9adc0b9b7dd01t.jpg,",https://www.aliexpress.com/item/1005003791875356.html,34.95,17.47,40.00%,,50%,https://s.click.aliexpress.com/e/_AMWPvQ
Hoodies & Sweatshirts,200000344,Men Long Sleeved Striped Hooded Sweatshirt Pullover Tops Harajuku,1005003791891356,https://ae01.alicdn.com/kf/S83366b48b3bb4b338026bfef24add4788/Men-Long-Sleeved-Striped-Hooded-Sweatshirt-Pullover-Tops-Harajuku.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S83366b48b3bb4b338026bfef24add4788.jpg,https://ae04.alicdn.com/kf/S441c3ed6ed9148ed80d0e044bf303f00G.jpg,https://ae04.alicdn.com/kf/Se6eadb00318940768ee0e1419d8fc92bu.jpg,https://ae04.alicdn.com/kf/S5f8de9749410477bb7f8ed7b2deaa06eh.jpg,https://ae04.alicdn.com/kf/S85744830c2d242b4ab244e255631fdfas.jpg,",https://www.aliexpress.com/item/1005003791891356.html,50.27,25.13,40.00%,,50%,https://s.click.aliexpress.com/e/_9i6vyy
Hoodies & Sweatshirts,200000344,2021 Autumn Mens Thick Fleece Hoodies Hip Hop Pure Hoodies Thick Velvet Fabrics Winter Hoodies 167W17,1005003791895441,https://ae01.alicdn.com/kf/S98d0a35873cf4ad789f396e3b370d796b/2021-Autumn-Mens-Thick-Fleece-Hoodies-Hip-Hop-Pure-Hoodies-Thick-Velvet-Fabrics-Winter-Hoodies-167W17.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S98d0a35873cf4ad789f396e3b370d796b.jpg,https://ae04.alicdn.com/kf/Scda8c4f6bf2846e1bb4106805c264a01F.jpg,https://ae04.alicdn.com/kf/Sa6e23866577b4fd7a955642e1d637d25d.jpg,https://ae04.alicdn.com/kf/S6004a65bde554e59be2098698cc0ed23C.jpg,https://ae04.alicdn.com/kf/S7ae93b85b1104c1abd208a69ff7eaa9co.jpg,",https://www.aliexpress.com/item/1005003791895441.html,59.25,29.62,40.00%,,50%,https://s.click.aliexpress.com/e/_Anf2nI
Hoodies & Sweatshirts,200000344,Fashion Brand Men's/Women's Hoodies 2022 Sweatshirts Spring Autumn Male Casual Hoodies Men's Solid Color Hoodies Sweatshirt Tops,1005003791907223,https://ae01.alicdn.com/kf/S29fa8206a27746aaa2f9adc0b9b7dd01t/Fashion-Brand-Men-s-Women-s-Hoodies-2022-Sweatshirts-Spring-Autumn-Male-Casual-Hoodies-Men-s.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S29fa8206a27746aaa2f9adc0b9b7dd01t.jpg,https://ae04.alicdn.com/kf/S68944658205545b7a11d5c4ddbb0ee367.jpg,https://ae04.alicdn.com/kf/Sa164f31c1faa4620873d9ba40674fd2df.jpg,https://ae04.alicdn.com/kf/S6ce242d457c14cc5a9f8e381168ceebe3.jpg,https://ae04.alicdn.com/kf/S09a3a00d065943e7b8717d9b88f1cbe9K.jpg,",https://www.aliexpress.com/item/1005003791907223.html,34.74,17.37,40.00%,,50%,https://s.click.aliexpress.com/e/_A6jY0g
Hoodies & Sweatshirts,200000344,2022 Autumn Winter Casual Zipper Men Jackets  Fleece Coats Bomber Jacket Scarf Collar Fashion Hooded Male Outwear Slim Fit Hoody,1005003619226796,https://ae01.alicdn.com/kf/H28690a060d034a3b9cb97a6c55992cad8/2022-Autumn-Winter-Casual-Zipper-Men-Jackets-Fleece-Coats-Bomber-Jacket-Scarf-Collar-Fashion-Hooded-Male.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H28690a060d034a3b9cb97a6c55992cad8.jpg,https://ae04.alicdn.com/kf/H75ab5576d0ce4bc1bd68c9b588da967aQ.jpg,https://ae04.alicdn.com/kf/H42921c9b07d94ed49e192ddcef2fa0aay.jpg,https://ae04.alicdn.com/kf/H3e470bd18dfa4a06b04e202eb5fae40c5.jpg,https://ae04.alicdn.com/kf/He38ef2194dba4ff795155c535945967cD.jpg,",https://www.aliexpress.com/item/1005003619226796.html,62.50,31.25,9.00%,,50%,https://s.click.aliexpress.com/e/_ADZZCy
Hoodies & Sweatshirts,200000344,Smile Face Zipper Pocket Patchwork Fleece Hoodies Sweatshirts Streetwear Mens Hip Hop Casual Pullover Hooded Male Tops,1005003791838484,https://ae01.alicdn.com/kf/S78591f5613c24bfbb0798572f49d1cc55/Smile-Face-Zipper-Pocket-Patchwork-Fleece-Hoodies-Sweatshirts-Streetwear-Mens-Hip-Hop-Casual-Pullover-Hooded-Male.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S78591f5613c24bfbb0798572f49d1cc55.jpg,https://ae04.alicdn.com/kf/S07ba5d2c0ffc495c8a8268837a8b1f9el.jpg,https://ae04.alicdn.com/kf/S19b82ca3d3134981875db1f8f180537eg.jpg,https://ae04.alicdn.com/kf/S42ec57238fe8400998926e8a410e2069L.jpg,https://ae04.alicdn.com/kf/S877bd143c38340128b8018dde8133870z.jpg,",https://www.aliexpress.com/item/1005003791838484.html,65.07,32.53,40.00%,,50%,https://s.click.aliexpress.com/e/_AN2Ns4
Hoodies & Sweatshirts,200000344,Fashion Brand Solid Color Men's/Women's Hoodies 2021 Spring Autumn Male Casual Hoodies Sweatshirts Men's Hoodies Sweatshirt Tops,1005003791802644,https://ae01.alicdn.com/kf/Sa164f31c1faa4620873d9ba40674fd2df/Fashion-Brand-Solid-Color-Men-s-Women-s-Hoodies-2021-Spring-Autumn-Male-Casual-Hoodies-Sweatshirts.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sa164f31c1faa4620873d9ba40674fd2df.jpg,https://ae04.alicdn.com/kf/S6bf8adb4ceb04d8bbc103965382b4e760.jpg,https://ae04.alicdn.com/kf/S68944658205545b7a11d5c4ddbb0ee367.jpg,https://ae04.alicdn.com/kf/S6ce242d457c14cc5a9f8e381168ceebe3.jpg,https://ae04.alicdn.com/kf/S09a3a00d065943e7b8717d9b88f1cbe9K.jpg,",https://www.aliexpress.com/item/1005003791802644.html,34.98,17.49,40.00%,,50%,https://s.click.aliexpress.com/e/_9jqJL2
