Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Human Hair (For Black),200168146,Curly Human Hair Wigs Brazilian Remy Glueless 13x6 Lace Front Human Hair Wig For Black Women 180desnity Preplucked FlowerSeason,1005002926228519,https://ae01.alicdn.com/kf/H2e0f4f1d12724368af26198b40f20e890/Curly-Human-Hair-Wigs-Brazilian-Remy-Glueless-13x6-Lace-Front-Human-Hair-Wig-For-Black-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2e0f4f1d12724368af26198b40f20e890.jpg,https://ae04.alicdn.com/kf/H73b66a7902df4966a343c5a45c8b6a19L.jpg,https://ae04.alicdn.com/kf/H12850b2ed5db4c51821e81c226dcc1245.jpg,https://ae04.alicdn.com/kf/H7bff0b047f3b44e0baf8b5fd13c7c7e2g.jpg,https://ae04.alicdn.com/kf/Hab17b6848bc24166b34ba402240ad5b3R.jpg,",https://www.aliexpress.com/item/1005002926228519.html,162.48,68.24,9.00%,,58%,https://s.click.aliexpress.com/e/_9QpX7I
Human Hair (For Black),200168146,250 Density Light Yaki Straight 13x6 Lace Front Human Hair Wig Italian Yaki Transparent HD Lace Frontal Wigs Preplucked,1005003297218630,https://ae01.alicdn.com/kf/H60a3d2f5e0bb44d4a83fb0e849c6ff02p/250-Density-Light-Yaki-Straight-13x6-Lace-Front-Human-Hair-Wig-Italian-Yaki-Transparent-HD-Lace.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H60a3d2f5e0bb44d4a83fb0e849c6ff02p.jpg,https://ae04.alicdn.com/kf/H5aaafb2df1a240018e1001fb38c9c842y.jpg,https://ae04.alicdn.com/kf/H65e58791a8c24dc3869e0e70fbd23787U.jpg,https://ae04.alicdn.com/kf/Hd792aa252d454358b46c0f19956c28a93.jpg,https://ae04.alicdn.com/kf/H9844938cdcf94bcb9340a7a9ed0abfa8W.jpg,",https://www.aliexpress.com/item/1005003297218630.html,160.48,64.19,12.50%,,60%,https://s.click.aliexpress.com/e/_9zV6nS
Human Hair (For Black),200168146,30 32 inch 13x6 Body Wave Lace Front Human Hair Wigs Pre Plucked Brazilian Remy 13x4 HD Lace Frontal Wig For Women Human Hair,1005002951054119,https://ae01.alicdn.com/kf/H8b8d920f1b464347b6e42b77c30d4edci/30-32-inch-13x6-Body-Wave-Lace-Front-Human-Hair-Wigs-Pre-Plucked-Brazilian-Remy-13x4.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8b8d920f1b464347b6e42b77c30d4edci.jpg,https://ae04.alicdn.com/kf/H1a55bb7442e34e0d82afaee0ad8e43c2j.jpg,https://ae04.alicdn.com/kf/H8d00cdd86e6446f0bef7079cba7121aar.jpg,https://ae04.alicdn.com/kf/H2a190867641142bb9f95e711e0468a25c.jpg,https://ae04.alicdn.com/kf/H432cb76b52424768b2e428651a52d57fG.jpg,",https://www.aliexpress.com/item/1005002951054119.html,248.00,99.20,8.50%,,60%,https://s.click.aliexpress.com/e/_A3uLxm
Human Hair (For Black),200168146,HIghlight Body Wave Lace Front Wigs 13x4 Lace Frontal Colored Human Hair Wigs For Women Human Hair Preplucked Honey Bloned Wig,1005003223698272,https://ae01.alicdn.com/kf/Ub6018c76f12c40c489efc4812121cac7x/HIghlight-Body-Wave-Lace-Front-Wigs-13x4-Lace-Frontal-Colored-Human-Hair-Wigs-For-Women-Human.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ub6018c76f12c40c489efc4812121cac7x.jpg,https://ae04.alicdn.com/kf/Ub085c62da55b4407a1c24d048bf4f91dh.jpg,https://ae04.alicdn.com/kf/U44ba39a60fe5410383f38a92ee9ccd9dI.jpg,https://ae04.alicdn.com/kf/Uf18d886820d24e5db2cd46174e14fd21s.jpg,https://ae04.alicdn.com/kf/U19100c3270e4408898e75dc0625facabt.jpg,",https://www.aliexpress.com/item/1005003223698272.html,165.20,72.69,11.00%,,56%,https://s.click.aliexpress.com/e/_A0fZXq
Human Hair (For Black),200168146,Highlight Wig Human Hair Curly Lace Front Wig Remy 13x4 Lace Frontal Human Hair Wigs Transparent Lace Wigs Curly Human Hair Wig,1005003086411827,https://ae01.alicdn.com/kf/H9c5d675fc07c46b4802f7b95a4fe0fa7g/Highlight-Wig-Human-Hair-Curly-Lace-Front-Wig-Remy-13x4-Lace-Frontal-Human-Hair-Wigs-Transparent.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9c5d675fc07c46b4802f7b95a4fe0fa7g.jpg,https://ae04.alicdn.com/kf/H412f64afa0f346e5834137a25f63cd4cb.jpg,https://ae04.alicdn.com/kf/H1823e439ce97444bb931c85440ba046dZ.jpg,https://ae04.alicdn.com/kf/H97fed6efd4b644448be127bb29314b5cE.jpg,https://ae04.alicdn.com/kf/Haf50bb49c7244bf6b1f6cfbae61f64a2e.jpg,",https://www.aliexpress.com/item/1005003086411827.html,227.39,63.67,15.00%,,72%,https://s.click.aliexpress.com/e/_9IGd64
Human Hair (For Black),200168146,Black Pearl 613 Honey Blonde Bundles brazilian Straight Hair Weave 100% Remy Human Hair  Extensions 613 Bundles,32969956129,https://ae01.alicdn.com/kf/H1256c1ff374c41cba68a1a7322ead015N/Black-Pearl-613-Honey-Blonde-Bundles-brazilian-Straight-Hair-Weave-100-Remy-Human-Hair-Extensions-613.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H1256c1ff374c41cba68a1a7322ead015N.jpg,https://ae04.alicdn.com/kf/H71890fc14dcc45d4955d70185b068388d.jpg,https://ae04.alicdn.com/kf/H58e9b3cbc8f4422da93f525b13efae61L.jpg,https://ae04.alicdn.com/kf/HTB1_l8gRwDqK1RjSZSyq6yxEVXau.jpg,https://ae04.alicdn.com/kf/HTB1sU8iRrPpK1RjSZFFq6y5PpXaS.jpg,",https://www.aliexpress.com/item/32969956129.html,44.17,30.48,8.50%,,31%,https://s.click.aliexpress.com/e/_A1LXd6
Human Hair (For Black),200168146,Brazilian Straight 13x4 Lace Frontal Wig Human Hair Smooth Natural Hair 360 Lace Frontal Wig Human Hair Pre Plucke BAIHONG,1005003573830941,https://ae01.alicdn.com/kf/H795ecc1e8e334746a754f41c43c2e7076/Brazilian-Straight-13x4-Lace-Frontal-Wig-Human-Hair-Smooth-Natural-Hair-360-Lace-Frontal-Wig-Human.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H795ecc1e8e334746a754f41c43c2e7076.jpg,https://ae04.alicdn.com/kf/H48952d88482442928e8a5afc9e5dd4adY.jpg,https://ae04.alicdn.com/kf/H316080b47ada420bae7e217bbf693ee3W.jpg,https://ae04.alicdn.com/kf/H2e5d601ce1ea4cffa855bca0135db0a5Z.jpg,https://ae04.alicdn.com/kf/H822a171f85c244b797bc43646564c721a.jpg,",https://www.aliexpress.com/item/1005003573830941.html,112.03,47.05,8.00%,,58%,https://s.click.aliexpress.com/e/_AAyimC
Human Hair (For Black),200168146,30 32 In Transparent Hd Lace Wig Body Wave 13x6 13x4 Lace Frontal Body Wave Human Hair Wigs Hd Lace Frontal Wig For Black Women,1005003711028075,https://ae01.alicdn.com/kf/H9648af8e321d42829eba58821583b22f5/30-32-In-Transparent-Hd-Lace-Wig-Body-Wave-13x6-13x4-Lace-Frontal-Body-Wave-Human.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H9648af8e321d42829eba58821583b22f5.jpg,https://ae04.alicdn.com/kf/Hfcf76160ef6e462b999f2eb23590430dr.jpg,https://ae04.alicdn.com/kf/H5ac86477e0284a239600076818788fffC.jpg,https://ae04.alicdn.com/kf/H286fc519ba094c05844d3be879d6a7cfv.jpg,https://ae04.alicdn.com/kf/H9060d42bb6c1485e9bdee2b33ff9bcddJ.jpg,",https://www.aliexpress.com/item/1005003711028075.html,150.00,60.00,8.50%,,60%,https://s.click.aliexpress.com/e/_AX1okU
Human Hair (For Black),200168146,Body Wave Lace Front Human Hair Wigs 13X4 Frontal Lace Wig 8-32 Inch PrePlucked Hairline Wigs For Women Transparent Lace,1005003746575885,https://ae01.alicdn.com/kf/Ha0f74cd2da7c4eb9acd01ca4d83f6a3bm/Body-Wave-Lace-Front-Human-Hair-Wigs-13X4-Frontal-Lace-Wig-8-32-Inch-PrePlucked-Hairline.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha0f74cd2da7c4eb9acd01ca4d83f6a3bm.jpg,https://ae04.alicdn.com/kf/Hee84289f81944da08fd5470a25a0f5b3X.jpg,https://ae04.alicdn.com/kf/Hc7ac00ab34204b3788faa18a7b83fdb1a.jpg,https://ae04.alicdn.com/kf/H48434779899242c588d83b333f38e7bfO.jpg,https://ae04.alicdn.com/kf/Hb239486a6ead4f249f795c5cc1f40881B.png,",https://www.aliexpress.com/item/1005003746575885.html,213.75,109.01,35.00%,,49%,https://s.click.aliexpress.com/e/_A0d8Fa
Human Hair (For Black),200168146,Mongolian Kinky Curly Wig 13x6 HD Transparent Lace Front Human Hair Wig 180% Preplucked With Baby Hair Flowerseason,1005003298005772,https://ae01.alicdn.com/kf/Hf63da28196d54edd90ba73b005da6c461/Mongolian-Kinky-Curly-Wig-13x6-HD-Transparent-Lace-Front-Human-Hair-Wig-180-Preplucked-With-Baby.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf63da28196d54edd90ba73b005da6c461.jpg,https://ae04.alicdn.com/kf/Hc6e3607378484a8b8719a0444ddb67ce0.jpg,https://ae04.alicdn.com/kf/H613dd7018d6142529c17375717057beaJ.jpg,https://ae04.alicdn.com/kf/Ha6feeaedfa1643688b1c3544533afafdk.jpg,https://ae04.alicdn.com/kf/H6aaf9f55d2744fbcad19db3f05d83eebF.jpg,",https://www.aliexpress.com/item/1005003298005772.html,174.98,69.99,9.00%,,60%,https://s.click.aliexpress.com/e/_9IEClQ
