"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005004351645928","https://ae04.alicdn.com/kf/S09511b9863434b3b82aeb9e0ba1fea77I.jpg",,"Summer Breathable Slip on Sneakers Fashion Casual Platform Shoes Men Knitting Loafers Moccasins Slip Flats Non-slip Casual Shoes","USD 9.80","USD 4.90","50%","USD","8.0","USD 0.39","24","90.0%","https://s.click.aliexpress.com/e/_DcJJPs3",,,,,,
"1005004063779953","https://ae04.alicdn.com/kf/S8a4941a2d02f4da9a69c0ea678493f4ey.jpg",,"Shoes For Women 2022 Summer Platform Sport Casual Shoes Lace-up Flats Size 43 Comfort Non Slip Women Loafers Vulcanize Shoes","USD 16.70","USD 9.35","44%","USD","7","USD 0.65","54","91.4%","https://s.click.aliexpress.com/e/_DdzTtcT",,,,,,
"1005001808855322","https://ae04.alicdn.com/kf/H09ecdc67a75e41959593d122cd060cdbi.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/299812887963.mp4","Kids Flat Shoes Children's Casual Sandals School Girls Princess Pu Leather Shoes Non-Slip Kids Retro Hollow Soft Bottom Loafer","USD 19.76","USD 13.63","31%","USD","7","USD 0.95","265","95.1%","https://s.click.aliexpress.com/e/_DFwcc3l",,,,,,
"1005003169303213","https://ae04.alicdn.com/kf/Hc6e1b7c0401940299a6a6b7b6b12b388A.jpg",,"Fashion Split Toe Flats Shoes Women Slip On Casual Loafer Chunky Heel British Oxford Shoes 2021 Autumn Footwear Zapatos De Mujer","USD 41.47","USD 24.88","40%","USD","8.0","USD 1.99","35","86.7%","https://s.click.aliexpress.com/e/_DCEvkLd",,,,,,
"1005001374262050","https://ae04.alicdn.com/kf/Ha9514b157795405bae51c8a7ac6d1089s.jpg",,"2022 Spring Autumn New Men Leather Casual Shoes Man Slip-On Luxury Embroidery Suede Leather Flat Skate Shoes Trend Loafers","USD 36.00","USD 26.28","27%","USD","7","USD 1.84","99","95.7%","https://s.click.aliexpress.com/e/_DFLwJNH",,,,,,
"1005002595236898","https://ae04.alicdn.com/kf/Hda56a4af81074b2f8dba61a572f12234O.jpg",,"2022 Spring Autumn Boys Shoes PU Patent Leather Shoe For Kids Formal Loafers Sneake Print Red Wedding Dress Shoes With Tessals","USD 18.45","USD 14.76","20%","USD","7","USD 1.03","52","84.0%","https://s.click.aliexpress.com/e/_DcuqIt1",,,,,,
"1005004380302042","https://ae04.alicdn.com/kf/S6139f96a4e5b409d8fe6f2cb0a38502ex.jpg",,"Summer Autumn Men Canvas Shoes Breathable Casual Shoes Slip-On Hemp Shoes Graffiti Espadrilles Women Footwear Flats","USD 5.67","USD 5.61","1%","USD","8.0","USD 0.45","476","98.5%","https://s.click.aliexpress.com/e/_DdQagdh",,,,,,
"1005003803916085","https://ae04.alicdn.com/kf/S0434f7f93b0547b0ba82ee7353e41989h.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/345946163803.mp4","New Women Casual Shoes Mesh Women's Sneakers Sweet Cartoon Women Shoes Slip On Nurse Female Ladies Shoes Platform Sneakers Women","USD 11.64","USD 8.15","30%","USD","7","USD 0.57","45","71.4%","https://s.click.aliexpress.com/e/_DekyFux",,,,,,
"1005002616001452","https://ae04.alicdn.com/kf/S008d9b185c664021af089332338ff257A.jpg",,"Damyuan Men Light Running Shoes Jogging Shoes Breathable Women's Sneakers Slip on Loafer Shoe Men's Casual Shoes Size 46 2021","USD 22.46","USD 12.35","45%","USD","8.0","USD 0.99","465","94.8%","https://s.click.aliexpress.com/e/_DB2YdVl",,,,,,
"1005001367226174","https://ae04.alicdn.com/kf/Hca86bbdd765d42d6b836c9f21ac79fe2V.jpg",,"Fashion Shoes Walking Men Shoes Men Casual Shoes 2021 Spring Hot Sale Sweat-Absorbant Breathable Casual Canvas Men Driving Shoes","USD 23.22","USD 13.47","42%","USD","7","USD 0.94","103","83.3%","https://s.click.aliexpress.com/e/_DcQZdx1",,,,,,
