Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Plus Size Clothes,201516501,Plus Size Dress Women Summer Large Size Chinese Style Short Sleeve Loose  Print Mini Dress 2XL-6XL,1005002810448395,https://ae01.alicdn.com/kf/Hb5957705c9f0442da71e4f9d639b47115/Plus-Size-Dress-Women-Summer-Large-Size-Chinese-Style-Short-Sleeve-Loose-Print-Mini-Dress-2XL.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hb5957705c9f0442da71e4f9d639b47115.jpg,https://ae04.alicdn.com/kf/H205035dd5cf94dd1a286242cd1cf932f4.jpg,https://ae04.alicdn.com/kf/Hf3d9b2eb816c4f089bee494be744b0d07.jpg,https://ae04.alicdn.com/kf/Hef55a52ccff14f8f93f47c797a61c280H.jpg,https://ae04.alicdn.com/kf/Hcdb5b193b23b4df1beb305b3b82cd466h.jpg,",https://www.aliexpress.com/item/1005002810448395.html,22.14,12.84,13.00%,,42%,https://s.click.aliexpress.com/e/_AluRNo
Plus Size Clothes,201516501,WOTWOY Back Cross Shoulder Belt Plus Size Bra Women 2022 Summer Large Size High-strength Gathered Shockproof Underwear Female,1005003736156408,https://ae01.alicdn.com/kf/S096bf3a0ecfc40329f7b61e65d460279r/WOTWOY-Back-Cross-Shoulder-Belt-Plus-Size-Bra-Women-2022-Summer-Large-Size-High-strength-Gathered.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S096bf3a0ecfc40329f7b61e65d460279r.jpg,https://ae04.alicdn.com/kf/Sb16f8e9ddf9844e7b086636d4931bd3fM.jpg,https://ae04.alicdn.com/kf/S76a83815de7c4390b6353a33665aceb3Y.jpg,https://ae04.alicdn.com/kf/Sd1e11b80bb4e4f33bf056f8ab05c3d84B.jpg,https://ae04.alicdn.com/kf/Scfc55e3617de4b05a4f7327e72dacdbeu.jpg,",https://www.aliexpress.com/item/1005003736156408.html,25.98,14.29,20.00%,,45%,https://s.click.aliexpress.com/e/_AYzrAE
Plus Size Clothes,201516501,WOTWOY Hollow Out Shockproof Plus Size Bra Women Green Elastic Tight Underwear Female Running Fitness Cross Back Tanks Quick-dry,1005003745710219,https://ae01.alicdn.com/kf/S119d9f4fe56a418db6544af6b5db255eI/WOTWOY-Hollow-Out-Shockproof-Plus-Size-Bra-Women-Green-Elastic-Tight-Underwear-Female-Running-Fitness-Cross.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S119d9f4fe56a418db6544af6b5db255eI.jpg,https://ae04.alicdn.com/kf/S5635232b1d1d44bc9a3fab5634ce9d1fR.jpg,https://ae04.alicdn.com/kf/S5526d9dcaed842a7bbb70224bfbb9aa3H.jpg,https://ae04.alicdn.com/kf/Se7562783a7ad47e3b64cb92d9bbf9692t.jpg,https://ae04.alicdn.com/kf/S7f06465d42024eaa8da469c9a73c7b2d8.jpg,",https://www.aliexpress.com/item/1005003745710219.html,27.65,15.21,20.00%,,45%,https://s.click.aliexpress.com/e/_AeNNL8
Plus Size Clothes,201516501,WOTWOY High Waist Tie-dyed Plus Size Shorts Women Moisture Wicking Fitness Stretch Tight Pants Female Blue Calf-length Leggings,1005003744730813,https://ae01.alicdn.com/kf/S322f8ffa9fbc4cb990a1d0a4a4f9a1e69/WOTWOY-High-Waist-Tie-dyed-Plus-Size-Shorts-Women-Moisture-Wicking-Fitness-Stretch-Tight-Pants-Female.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S322f8ffa9fbc4cb990a1d0a4a4f9a1e69.jpg,https://ae04.alicdn.com/kf/S66c8cd13ec044f779137929b16161fe1h.jpg,https://ae04.alicdn.com/kf/Sb318aacfb2dd4a7399d8de7f5b7ec91da.jpg,https://ae04.alicdn.com/kf/Sf913cdd23dd14cf89ca5b85849fb30e8G.jpg,https://ae04.alicdn.com/kf/S34e6d476b2e640688b260a6cfab155aak.jpg,",https://www.aliexpress.com/item/1005003744730813.html,25.98,14.29,20.00%,,45%,https://s.click.aliexpress.com/e/_9gGZkq
Plus Size Clothes,201516501,WOTWOY 2022 Summer Side Cutout Plus Size Bra Women Quick Drying Fitness Tight Underwear Breathable 4 Way Stretch Grey Crop Tops,1005003743955432,https://ae01.alicdn.com/kf/Sdc07f7a452b541b0abce789c4db8646aZ/WOTWOY-2022-Summer-Side-Cutout-Plus-Size-Bra-Women-Quick-Drying-Fitness-Tight-Underwear-Breathable-4.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sdc07f7a452b541b0abce789c4db8646aZ.jpg,https://ae04.alicdn.com/kf/S788b8a62d7454235a760540952f0314cL.jpg,https://ae04.alicdn.com/kf/S40d83498152c46b0b68dffa123df60eed.jpg,https://ae04.alicdn.com/kf/S783f089878af4cfa92d8abbd15657ef2X.jpg,https://ae04.alicdn.com/kf/Sdbcfc2a33c994ae2bb5e1f9ed23fc6a5P.jpg,",https://www.aliexpress.com/item/1005003743955432.html,27.65,15.21,20.00%,,45%,https://s.click.aliexpress.com/e/_9z7IIO
Plus Size Clothes,201516501,High Waist Single Buckle Jeans Plus Size Women Clothing Turn Over Design Pockets Cowboy High Street Regular Short Pants Solid,1005003764261661,https://ae01.alicdn.com/kf/S857aa0eec888424eaee8b11b824cffadA/High-Waist-Single-Buckle-Jeans-Plus-Size-Women-Clothing-Turn-Over-Design-Pockets-Cowboy-High-Street.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S857aa0eec888424eaee8b11b824cffadA.jpg,https://ae04.alicdn.com/kf/S510210cf66e840d29dcfb58752bfe8ade.jpg,https://ae04.alicdn.com/kf/S186b1363802b4f2a9906ddb66276bd1dM.jpg,https://ae04.alicdn.com/kf/S79b60671d25f49359373866fdfeafa85b.jpg,https://ae04.alicdn.com/kf/S1034ed28b32b43b5965b62770186f6b6H.jpg,",https://www.aliexpress.com/item/1005003764261661.html,26.70,18.69,30.00%,,30%,https://s.click.aliexpress.com/e/_A3QYUE
Plus Size Clothes,201516501,Lantern Sleeve Tops 2022 New Plus Size Women Clothing Regular Peter Pan Collar Summer Single Breasted Shirt Daily Casual Wear,1005003764127960,https://ae01.alicdn.com/kf/S7a82e111a89c4637a4ec1830bea50f97m/Lantern-Sleeve-Tops-2022-New-Plus-Size-Women-Clothing-Regular-Peter-Pan-Collar-Summer-Single-Breasted.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S7a82e111a89c4637a4ec1830bea50f97m.jpg,https://ae04.alicdn.com/kf/Sb034d662633846c590890488915c4821a.jpg,https://ae04.alicdn.com/kf/S20bb505cd93e4a008923eb632c2b6198p.jpg,https://ae04.alicdn.com/kf/S5c9a7789bb934fad8c4a4a539f7583aeA.jpg,https://ae04.alicdn.com/kf/S925222b4ef834a28838c32aea65e5d3cp.jpg,",https://www.aliexpress.com/item/1005003764127960.html,28.27,19.79,30.00%,,30%,https://s.click.aliexpress.com/e/_A11j8W
Plus Size Clothes,201516501,Plus Size Jeans Spring Summer Blue High Waist Denim Shorts 2022 Women's Clothing Stitching Straight Dark Pants Daily Casual Wear,1005003758383047,https://ae01.alicdn.com/kf/S68c1137d54204895baa596f84b8f6975C/Plus-Size-Jeans-Spring-Summer-Blue-High-Waist-Denim-Shorts-2022-Women-s-Clothing-Stitching-Straight.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S68c1137d54204895baa596f84b8f6975C.jpg,https://ae04.alicdn.com/kf/S3d4a3e42556d4695850996b3a1f00a06j.jpg,https://ae04.alicdn.com/kf/Saf6dc44af36e47c69c20a95641b2e50eF.jpg,https://ae04.alicdn.com/kf/Sd51f2f4f2b47446588357e7b7d872f51u.jpg,https://ae04.alicdn.com/kf/S595d17b32f5a4a63a8a1b45421422f7cq.jpg,",https://www.aliexpress.com/item/1005003758383047.html,28.27,18.38,30.00%,,35%,https://s.click.aliexpress.com/e/_ABDKua
Plus Size Clothes,201516501,2022 Summer Color Matching Plus Size Leggings Women Seamless Elastic Tight Fitness Pants Female Moisture Wicking Sweatpants,1005003727159011,https://ae01.alicdn.com/kf/S1f587e98787142b8a002dd332516077fs/2022-Summer-Color-Matching-Plus-Size-Leggings-Women-Seamless-Elastic-Tight-Fitness-Pants-Female-Moisture-Wicking.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S1f587e98787142b8a002dd332516077fs.jpg,https://ae04.alicdn.com/kf/S3188ee9244d6461596a106bebf937257X.jpg,https://ae04.alicdn.com/kf/S0155dc6664a84763b0712692586c3ab6X.jpg,https://ae04.alicdn.com/kf/Sdb63c26bb4a245dfa20f27ea9b683fa8o.jpg,https://ae04.alicdn.com/kf/S7a9abb00691c4251940705b8173e2688x.jpg,",https://www.aliexpress.com/item/1005003727159011.html,27.65,15.21,20.00%,,45%,https://s.click.aliexpress.com/e/_ASlhEw
Plus Size Clothes,201516501,WOTWOY 2022 Summer High-intensity Plus Size Tanks Women Breathable Running Fitness Bra Female Quick Drying Blue Tank Tops L-4XL,1005003755260562,https://ae01.alicdn.com/kf/Sfa32363ea39b460496fcea2f0d2457d7l/WOTWOY-2022-Summer-High-intensity-Plus-Size-Tanks-Women-Breathable-Running-Fitness-Bra-Female-Quick-Drying.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sfa32363ea39b460496fcea2f0d2457d7l.jpg,https://ae04.alicdn.com/kf/S0dd7238fdbf34567a087cd92a0cf9629m.jpg,https://ae04.alicdn.com/kf/Sf901eb7b717a4df38be55592fcc6b35e5.jpg,https://ae04.alicdn.com/kf/S0101a56911514b84946a8b1aee444d4cN.jpg,https://ae04.alicdn.com/kf/Seb24067ed3ac494cb7ab4ddc3a23aaa5Z.jpg,",https://www.aliexpress.com/item/1005003755260562.html,41.65,35.82,20.00%,,14%,https://s.click.aliexpress.com/e/_AKep7c
