"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
932834,"HBX 2098B 1/24 4WD Mini RC Car Climber Crawler Metal Chassis",https://imgaz.staticbg.com/thumb/gallery/upload/2014/02/SKU148570.1.jpg,https://www.banggood.com/HBX-2098B-1-or-24-4WD-Mini-RC-Car-Climber-Crawler-Metal-Chassis-reviews-p932834.html,"99,52€",€7.7,https://www.banggood.com/HBX-2098B-1-or-24-4WD-Mini-RC-Car-Climber-Crawler-Metal-Chassis-p-932834.html?p=4T181370308054202203&custlinkid=1796405
953069,"Feilun FT012 RTR 2.4G Brushless RC Racing Boat 45km/h Fast Models Toys",https://imgaz.staticbg.com/thumb/gallery/2014/xuzijiao/12/SKU179537/SKU179537-0.jpg,https://www.banggood.com/Feilun-FT012-RTR-2_4G-Brushless-RC-Racing-Boat-45km-or-h-Fast-Models-Toys-reviews-p953069.html,"99,52€",€7.7,https://www.banggood.com/Feilun-FT012-RTR-2_4G-Brushless-RC-Racing-Boat-45km-or-h-Fast-Models-Toys-p-953069.html?p=4T181370308054202203&custlinkid=1794924
1251046,"Bang good WPL C14 1/16 2.4G 4WD Off Road RC Military Car Rock Crawler Truck With Front LED RTR Toys",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/08/03/93b5b17d-1e80-4c4c-9129-d3d73056e7ec.jpg,https://www.banggood.com/Bang-good-WPL-C14-1-or-16-2_4G-4WD-Off-Road-RC-Military-Car-Rock-Crawler-Truck-With-Front-LED-RTR-Toys-reviews-p1251046.html,"44,33€",€3.43,https://www.banggood.com/Bang-good-WPL-C14-1-or-16-2_4G-4WD-Off-Road-RC-Military-Car-Rock-Crawler-Truck-With-Front-LED-RTR-Toys-p-1251046.html?p=4T181370308054202203&custlinkid=1796348
1329176,"Xinlehong 9136 1/16 2.4G 4WD 32cm Spirit Rc Car 36km/h Bigfoot Off-road Truck RTR Toy",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/BF/AB/4294c21a-ce09-476f-b2e7-acbc4dcffbba.jpg,https://www.banggood.com/Xinlehong-9136-1-or-16-2_4G-4WD-32cm-Spirit-Rc-Car-36km-or-h-Bigfoot-Off-road-Truck-RTR-Toy-reviews-p1329176.html,"62,42€",€4.83,https://www.banggood.com/Xinlehong-9136-1-or-16-2_4G-4WD-32cm-Spirit-Rc-Car-36km-or-h-Bigfoot-Off-road-Truck-RTR-Toy-p-1329176.html?p=4T181370308054202203&custlinkid=1794925
1347199,"Waterproof Electric 300W Underwater Sea Scooter Dual Speed ​​Propeller Drving Pool Submarine Toy",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/D6/93/fb13a88b-f508-4c51-adf0-2df3eb77a9f5.jpg,https://www.banggood.com/Waterproof-Electric-300W-Underwater-Sea-Scooter-Dual-Speed-Propeller-Drving-Pool-Submarine-Toy-reviews-p1347199.html,"195,42€",€15.12,https://www.banggood.com/Waterproof-Electric-300W-Underwater-Sea-Scooter-Dual-Speed-Propeller-Drving-Pool-Submarine-Toy-p-1347199.html?p=4T181370308054202203&custlinkid=1794926
1375625,"ROFUN for Baja 1/5 2.4G RWD RC Car 80km/h 29cc Gas 2 Stroke Engine RTR Truck",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/98/F2/409f5945-1f2d-4bba-beb4-99578afd1550.jpg,https://www.banggood.com/ROFUN-for-Baja-1-or-5-2_4G-RWD-RC-Car-80km-or-h-29cc-Gas-2-Stroke-Engine-RTR-Truck-reviews-p1375625.html,"440,62€",€34.09,https://www.banggood.com/ROFUN-for-Baja-1-or-5-2_4G-RWD-RC-Car-80km-or-h-29cc-Gas-2-Stroke-Engine-RTR-Truck-p-1375625.html?p=4T181370308054202203&custlinkid=1794928
1417631,"Orlandoo-Hunter OH32A03 1/32 DIY Kit Unpainted RC Car Vehicles with Motor Servo Transmitter",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/85/E9/73383d0f-0b4a-49d4-a487-b4d540af50ed.jpg,https://www.banggood.com/Orlandoo-Hunter-OH32A03-1-or-32-DIY-Kit-Unpainted-RC-Car-Vehicles-with-Motor-Servo-Transmitter-reviews-p1417631.html,"105,85€",€8.19,https://www.banggood.com/Orlandoo-Hunter-OH32A03-1-or-32-DIY-Kit-Unpainted-RC-Car-Vehicles-with-Motor-Servo-Transmitter-p-1417631.html?p=4T181370308054202203&custlinkid=1794991
1435037,"Xinlehong 9125 2.4G 1/10 4WD Off Road RTR Crawler Truck With RC Car",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/D6/AA/219e49b8-6f68-480a-a3c8-b4d05739040f.jpg,https://www.banggood.com/Xinlehong-9125-2_4G-1-or-10-4WD-Off-Road-RTR-Crawler-Truck-With-RC-Car-reviews-p1435037.html,"104,95€",€8.12,https://www.banggood.com/Xinlehong-9125-2_4G-1-or-10-4WD-Off-Road-RTR-Crawler-Truck-With-RC-Car-p-1435037.html?p=4T181370308054202203&custlinkid=1794930
1445869,"Xinlehong Q901 1/16 2.4G 4WD 52km/h Brushless Proportional Control RC Car with LED Light RTR Toys",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/A4/1E/9f07113c-80fc-4733-bc7e-efe96748b454.jpg,https://www.banggood.com/Xinlehong-Q901-1-or-16-2_4G-4WD-52km-or-h-Brushless-Proportional-Control-RC-Car-with-LED-Light-RTR-Toys-reviews-p1445869.html,"91,37€",€7.07,https://www.banggood.com/Xinlehong-Q901-1-or-16-2_4G-4WD-52km-or-h-Brushless-Proportional-Control-RC-Car-with-LED-Light-RTR-Toys-p-1445869.html?p=4T181370308054202203&custlinkid=1794931
1453688,"Xinlehong Q902 1/16 2.4G 4WD 52km/h High Speed Brushless RC car Desert Truck Vehicle Models",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/9D/CE/00990ef6-7bed-4936-a92f-76768678dfd3.jpg,https://www.banggood.com/Xinlehong-Q902-1-or-16-2_4G-4WD-52km-or-h-High-Speed-Brushless-RC-car-Desert-Truck-Vehicle-Models-reviews-p1453688.html,"86,85€",€6.72,https://www.banggood.com/Xinlehong-Q902-1-or-16-2_4G-4WD-52km-or-h-High-Speed-Brushless-RC-car-Desert-Truck-Vehicle-Models-p-1453688.html?p=4T181370308054202203&custlinkid=1794933
