Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
School Bags,380520,2022 Fashion Girls Cute Pink Backpack Astronaut Space Pattern Bookbag For Children Kindergarten Boys Schoolbag Shoulder Bag Suit,1005003792300037,https://ae01.alicdn.com/kf/H472743515b2640c7840e48440e54d7187/2022-Fashion-Girls-Cute-Pink-Backpack-Astronaut-Space-Pattern-Bookbag-For-Children-Kindergarten-Boys-Schoolbag-Shoulder.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H472743515b2640c7840e48440e54d7187.jpg,https://ae04.alicdn.com/kf/H2b287e6bf5584c389ae6fd8bf497b67ez.jpg,https://ae04.alicdn.com/kf/H51371a46d64e4cf5b7178d4073638093v.jpg,https://ae04.alicdn.com/kf/H1f60f89ff78c45f58f7e977f1d93a5aam.jpg,https://ae04.alicdn.com/kf/Hf3675902698a43b68480852928593fae3.jpg,",https://www.aliexpress.com/item/1005003792300037.html,41.41,28.99,9.00%,,30%,https://s.click.aliexpress.com/e/_9gpxQP
School Bags,380520,PRE SALE Moeyu New Anime Vocaloid Cosplay Miku Student School Crossbody Bag Messenger Single Shoulder Men Women Handbag Fashion,1005003737643882,https://ae01.alicdn.com/kf/H7c0e1e700d04421b85107764acf97edeb/PRE-SALE-Moeyu-New-Anime-Vocaloid-Cosplay-Miku-Student-School-Crossbody-Bag-Messenger-Single-Shoulder-Men.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7c0e1e700d04421b85107764acf97edeb.jpg,https://ae04.alicdn.com/kf/H29d5c157e8fd43c48f3e0a4bbbc6b2cfH.jpg,https://ae04.alicdn.com/kf/H8ce3aae2207e40c988fa92304bb7a1f60.jpg,https://ae04.alicdn.com/kf/H5710339c729148f2a16c2d63dd70db0bx.jpg,https://ae04.alicdn.com/kf/Hc5ad332adbbc4789bfd884f4f59263d7S.jpg,",https://www.aliexpress.com/item/1005003737643882.html,58.99,50.14,10.00%,,15%,https://s.click.aliexpress.com/e/_AXA9dz
School Bags,380520,WHEREISART Anime Your Name 3pcs/Set Backpack School Bags For Boys Girls Student Fashionable School Satchels Cartoon Pencil Boxes,1005003800305102,https://ae01.alicdn.com/kf/H850b4c60071c487fb50f2eabb7e41b8fY/WHEREISART-Anime-Your-Name-3pcs-Set-Backpack-School-Bags-For-Boys-Girls-Student-Fashionable-School-Satchels.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H850b4c60071c487fb50f2eabb7e41b8fY.jpg,https://ae04.alicdn.com/kf/H15c4024e2dd648fb8185d167c9b568a9Z.jpg,https://ae04.alicdn.com/kf/H9bbc726241254e748a4194a0d65ba44ay.jpg,https://ae04.alicdn.com/kf/Hd39bbb952d184d2884f896b5b9a180e1s.jpg,https://ae04.alicdn.com/kf/H03cf30a8ecc8448caa2b677d609fa547R.jpg,",https://www.aliexpress.com/item/1005003800305102.html,41.41,28.99,8.00%,,30%,https://s.click.aliexpress.com/e/_AKl1x1
School Bags,380520,Polynesian Tribal Pattern Women's Backpack Samoa Print School Bag For Teenager Student Campus Large Capacity Book Bag 3 Pcs Set,1005003787593644,https://ae01.alicdn.com/kf/H825764465a884202aead29012dfc0ef1A/Polynesian-Tribal-Pattern-Women-s-Backpack-Samoa-Print-School-Bag-For-Teenager-Student-Campus-Large-Capacity.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H825764465a884202aead29012dfc0ef1A.jpg,https://ae04.alicdn.com/kf/H2b287e6bf5584c389ae6fd8bf497b67ez.jpg,https://ae04.alicdn.com/kf/H51371a46d64e4cf5b7178d4073638093v.jpg,https://ae04.alicdn.com/kf/H1f60f89ff78c45f58f7e977f1d93a5aam.jpg,https://ae04.alicdn.com/kf/Hf3675902698a43b68480852928593fae3.jpg,",https://www.aliexpress.com/item/1005003787593644.html,41.41,28.99,9.00%,,30%,https://s.click.aliexpress.com/e/_9zjDCx
School Bags,380520,4 Pcs Set Women Canvas School Bags for Teenage Kawaii College Student Kids Book Bag Rucksack Large Capacity Ins Laptop Backpack,1005003801470677,https://ae01.alicdn.com/kf/S921d3b70b9b54344bf65dc808b7475b1Y/4-Pcs-Set-Women-Canvas-School-Bags-for-Teenage-Kawaii-College-Student-Kids-Book-Bag-Rucksack.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S921d3b70b9b54344bf65dc808b7475b1Y.jpg,https://ae04.alicdn.com/kf/Scfe137ce63a441efa996bce2159ec334R.jpg,https://ae04.alicdn.com/kf/S3838b4231763479a9f16f53be939f213M.jpg,https://ae04.alicdn.com/kf/Sffb2fd7e7c6042ebb2f142090d7a1dd6X.jpg,https://ae04.alicdn.com/kf/S1b3d7d22f0784d88b74c612f720b703cK.jpg,",https://www.aliexpress.com/item/1005003801470677.html,31.46,18.88,8.00%,,40%,https://s.click.aliexpress.com/e/_AA03Zl
School Bags,380520,Out of Stock,1005002615886283,https://ae01.alicdn.com/kf/S62f90869cb6842b7979ced5d0378b13di/Out-of-Stock.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S62f90869cb6842b7979ced5d0378b13di.jpg,https://ae04.alicdn.com/kf/S382ebbdd2e254d4baecda4b73a38a2b6P.jpg,https://ae04.alicdn.com/kf/S56153a557ff74c72b351d2eae9188d9c6.jpg,https://ae04.alicdn.com/kf/S3f97c3d4040d4bea9b22c0c718b7152ce.jpg,https://ae04.alicdn.com/kf/S15f07fe0b92b4675a483a7b7332d2173R.jpg,",https://www.aliexpress.com/item/1005002615886283.html,28.09,17.42,8.00%,,38%,https://s.click.aliexpress.com/e/_9fVQSF
School Bags,380520,EST Casual Large Capacity Shoulders Waterproof Nylon Girls Schoolbag Women Travel Book School Backpack Bag Mochila Mujer Bolsa,1005003803269107,https://ae01.alicdn.com/kf/H42bdc79cb5f649f4af0170f2dacf044fx/EST-Casual-Large-Capacity-Shoulders-Waterproof-Nylon-Girls-Schoolbag-Women-Travel-Book-School-Backpack-Bag-Mochila.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H42bdc79cb5f649f4af0170f2dacf044fx.jpg,https://ae04.alicdn.com/kf/H2ed8dfa9a1364196871fabbbf17e9303U.jpg,https://ae04.alicdn.com/kf/H0c21b88ed8794567817f5821ba29ad2dY.jpg,https://ae04.alicdn.com/kf/H1c8495d4e60542c28e2d399ca3cb611al.jpg,https://ae04.alicdn.com/kf/Hf1d1c6b7d7f64ac0be7ffd10438f175ax.jpg,",https://www.aliexpress.com/item/1005003803269107.html,35.55,18.13,8.00%,,49%,https://s.click.aliexpress.com/e/_9H7XZd
School Bags,380520,School Bags for Teenagers Astronaut Print Schoolbag Large Capacity Students Backpack Set Rucksack Bagpack Kids Cute Book Bags,1005003792061600,https://ae01.alicdn.com/kf/H43f11d0b7e5644de91384d5096993e96v/School-Bags-for-Teenagers-Astronaut-Print-Schoolbag-Large-Capacity-Students-Backpack-Set-Rucksack-Bagpack-Kids-Cute.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H43f11d0b7e5644de91384d5096993e96v.jpg,https://ae04.alicdn.com/kf/H2b287e6bf5584c389ae6fd8bf497b67ez.jpg,https://ae04.alicdn.com/kf/H51371a46d64e4cf5b7178d4073638093v.jpg,https://ae04.alicdn.com/kf/H1f60f89ff78c45f58f7e977f1d93a5aam.jpg,https://ae04.alicdn.com/kf/Hf3675902698a43b68480852928593fae3.jpg,",https://www.aliexpress.com/item/1005003792061600.html,41.41,28.99,9.00%,,30%,https://s.click.aliexpress.com/e/_At1UPl
School Bags,380520,Students School Bag 3 Pcs Set Demon Slayer Design Backpack Suit Large Boys Girls Bookbag Anime Cosplay Travel Bags For Teenagers,1005003783281255,https://ae01.alicdn.com/kf/H74dcdb8cedee46bcb32acd086537c042f/Students-School-Bag-3-Pcs-Set-Demon-Slayer-Design-Backpack-Suit-Large-Boys-Girls-Bookbag-Anime.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H74dcdb8cedee46bcb32acd086537c042f.jpg,https://ae04.alicdn.com/kf/H2b287e6bf5584c389ae6fd8bf497b67ez.jpg,https://ae04.alicdn.com/kf/H51371a46d64e4cf5b7178d4073638093v.jpg,https://ae04.alicdn.com/kf/H1f60f89ff78c45f58f7e977f1d93a5aam.jpg,https://ae04.alicdn.com/kf/Hf3675902698a43b68480852928593fae3.jpg,",https://www.aliexpress.com/item/1005003783281255.html,41.41,28.99,88.00%,,30%,https://s.click.aliexpress.com/e/_9JbST9
School Bags,380520,Women Girls School Backpacks Anti Theft USB Charge Backpack Waterproof Bagpack School Bags Teenage Travel Bag,1005003676096004,https://ae01.alicdn.com/kf/Safcc34fb1bfa4f77bbfbe4742b22537b5/Women-Girls-School-Backpacks-Anti-Theft-USB-Charge-Backpack-Waterproof-Bagpack-School-Bags-Teenage-Travel-Bag.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Safcc34fb1bfa4f77bbfbe4742b22537b5.jpg,https://ae04.alicdn.com/kf/Sabc63a09037e4e9cb4918db57cc3ab56Z.jpg,https://ae04.alicdn.com/kf/Sf076d55cb8dc4b65a8c59aa18701f625v.jpg,https://ae04.alicdn.com/kf/S3ea1fdb10cf141fbb3ba2539871d2deeG.jpg,https://ae04.alicdn.com/kf/Sf65e5a73bcf648f69f2bab41cfc24c07L.jpg,",https://www.aliexpress.com/item/1005003676096004.html,19.07,10.49,10.00%,,45%,https://s.click.aliexpress.com/e/_Ak6qjd
School Bags,380520,Demon Slayer Printed Anime Students Backpack Set Kawaii Kamado Nezuko School Bag For Girls 3 Pcs Child Lunchbox Pencil Case Suit,1005003783071813,https://ae01.alicdn.com/kf/H00014a2a30ef4e4aad18d107eadb48ceQ/Demon-Slayer-Printed-Anime-Students-Backpack-Set-Kawaii-Kamado-Nezuko-School-Bag-For-Girls-3-Pcs.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H00014a2a30ef4e4aad18d107eadb48ceQ.jpg,https://ae04.alicdn.com/kf/H2b287e6bf5584c389ae6fd8bf497b67ez.jpg,https://ae04.alicdn.com/kf/H51371a46d64e4cf5b7178d4073638093v.jpg,https://ae04.alicdn.com/kf/H1f60f89ff78c45f58f7e977f1d93a5aam.jpg,https://ae04.alicdn.com/kf/Hf3675902698a43b68480852928593fae3.jpg,",https://www.aliexpress.com/item/1005003783071813.html,41.41,28.99,8.00%,,30%,https://s.click.aliexpress.com/e/_A0zC0f
School Bags,380520,Contacts family A5 B5 Book Cover Bag Cowhide Leather Notebook Case Handmade Office School Travel Diary Retro book accessories,1005003805919938,https://ae01.alicdn.com/kf/H2e205b5d30c7469e9e7ba0359f689794j/Contacts-family-A5-B5-Book-Cover-Bag-Cowhide-Leather-Notebook-Case-Handmade-Office-School-Travel-Diary.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2e205b5d30c7469e9e7ba0359f689794j.jpg,https://ae04.alicdn.com/kf/H39dbcd9df4ce498e93d5e16f5271aa924.jpg,https://ae04.alicdn.com/kf/H8dceecde09a04c1881ea31b9c1bdda5cq.jpg,https://ae04.alicdn.com/kf/H5eae2fe9317d4ea29637e9bf2b5fc6fdm.jpg,https://ae04.alicdn.com/kf/H52368cc2976641dcaba281dd195d2c37a.jpg,",https://www.aliexpress.com/item/1005003805919938.html,22.99,16.09,8.00%,,30%,https://s.click.aliexpress.com/e/_A3Lxs3
School Bags,380520,FORUDESIGN Attack On Titan Design School Backpack Children's Anime Book Bags Boy Girls 3 Pcs School Bags Suit Bolsa Escolar,1005003783535326,https://ae01.alicdn.com/kf/H20d38cf09b1a49b19193ef95678bb6e4q/FORUDESIGN-Attack-On-Titan-Design-School-Backpack-Children-s-Anime-Book-Bags-Boy-Girls-3-Pcs.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H20d38cf09b1a49b19193ef95678bb6e4q.jpg,https://ae04.alicdn.com/kf/H2b287e6bf5584c389ae6fd8bf497b67ez.jpg,https://ae04.alicdn.com/kf/H51371a46d64e4cf5b7178d4073638093v.jpg,https://ae04.alicdn.com/kf/H1f60f89ff78c45f58f7e977f1d93a5aam.jpg,https://ae04.alicdn.com/kf/Hf3675902698a43b68480852928593fae3.jpg,",https://www.aliexpress.com/item/1005003783535326.html,41.41,28.99,8.00%,,30%,https://s.click.aliexpress.com/e/_AdugnH
School Bags,380520,FORUDESIGN Students Shchool Bags 2022 Cute Cartoon Rocket Pattern Children's Backpack For Kindergarten Teenager Bookbag 3Pcs Set,1005003792605232,https://ae01.alicdn.com/kf/Ha2733db7928448b391a4f9b0bb7a375bu/FORUDESIGN-Students-Shchool-Bags-2022-Cute-Cartoon-Rocket-Pattern-Children-s-Backpack-For-Kindergarten-Teenager-Bookbag.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha2733db7928448b391a4f9b0bb7a375bu.jpg,https://ae04.alicdn.com/kf/H2b287e6bf5584c389ae6fd8bf497b67ez.jpg,https://ae04.alicdn.com/kf/H51371a46d64e4cf5b7178d4073638093v.jpg,https://ae04.alicdn.com/kf/H1f60f89ff78c45f58f7e977f1d93a5aam.jpg,https://ae04.alicdn.com/kf/Hf3675902698a43b68480852928593fae3.jpg,",https://www.aliexpress.com/item/1005003792605232.html,41.41,28.99,9.00%,,30%,https://s.click.aliexpress.com/e/_Admih1
School Bags,380520,Galaxy Print School Backpack For Girls Kids Cartoon Astronaut Design Bookbag And Pencil Case Set Large Teenager Travel Rucksack,1005003792691517,https://ae01.alicdn.com/kf/H14e606688af34b7ea49677db74366c12E/Galaxy-Print-School-Backpack-For-Girls-Kids-Cartoon-Astronaut-Design-Bookbag-And-Pencil-Case-Set-Large.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H14e606688af34b7ea49677db74366c12E.jpg,https://ae04.alicdn.com/kf/H2b287e6bf5584c389ae6fd8bf497b67ez.jpg,https://ae04.alicdn.com/kf/H51371a46d64e4cf5b7178d4073638093v.jpg,https://ae04.alicdn.com/kf/H1f60f89ff78c45f58f7e977f1d93a5aam.jpg,https://ae04.alicdn.com/kf/Hf3675902698a43b68480852928593fae3.jpg,",https://www.aliexpress.com/item/1005003792691517.html,41.41,28.99,9.00%,,30%,https://s.click.aliexpress.com/e/_A9GqkJ
