Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Shirts & Blouses,201303001,Euramerican Stitching Long-Sleeve Shirt New Design Blouses Letter Printed Tops Women 2021 Fashion Loose Black  Blusa,1005003280314572,https://ae01.alicdn.com/kf/H7bb387b5502e4e338ac4d166e686e2576/Euramerican-Stitching-Long-Sleeve-Shirt-New-Design-Blouses-Letter-Printed-Tops-Women-2021-Fashion-Loose-Black.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7bb387b5502e4e338ac4d166e686e2576.jpg,https://ae04.alicdn.com/kf/Hd057826d7cc0402c9caf8b15cd9014ff2.jpg,https://ae04.alicdn.com/kf/H116631e62d31466fa3e7c89289c1ac0er.jpg,https://ae04.alicdn.com/kf/Hb0cb01d7eb4c476e9e8a1a7f61210bdbi.jpg,https://ae04.alicdn.com/kf/Hacb08fe7d01b496193c3abbb33ddb040E.jpg,",https://www.aliexpress.com/item/1005003280314572.html,120.00,90.00,20.00%,,25%,https://s.click.aliexpress.com/e/_9J1LKi
Shirts & Blouses,201303001,Spring Autumn Korean Style Blouse For Women Loose Printing Long Sleeve Shirt Top Elegant Office Lady Shirts Chiffon Blouse,1005003620277698,https://ae01.alicdn.com/kf/Ha77f254272374ebf9b9663cef7c75638E/Spring-Autumn-Korean-Style-Blouse-For-Women-Loose-Printing-Long-Sleeve-Shirt-Top-Elegant-Office-Lady.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha77f254272374ebf9b9663cef7c75638E.jpg,https://ae04.alicdn.com/kf/H4a81598f37584577b7d1d55259c456d4M.jpg,https://ae04.alicdn.com/kf/H2ec0c69fa0cf446a94c5cbf05c22cd939.jpg,https://ae04.alicdn.com/kf/Ha6824a6ae5d84e438a817627bdc939cb9.jpg,https://ae04.alicdn.com/kf/Hb554a2fb81784297ac7e605f4c89ec73W.jpg,",https://www.aliexpress.com/item/1005003620277698.html,125.00,93.75,20.00%,,25%,https://s.click.aliexpress.com/e/_9Q2RQa
Shirts & Blouses,201303001,Green Transparent Long shirt women New Summer Puff Sleeve Gown Top Woman 2021 Black Sexy See-Though Maxi Women's Tunic with Belt,1005002520243645,https://ae01.alicdn.com/kf/H687b8a6f623e42818130715909bc2e18x/Green-Transparent-Long-shirt-women-New-Summer-Puff-Sleeve-Gown-Top-Woman-2021-Black-Sexy-See.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H687b8a6f623e42818130715909bc2e18x.jpg,https://ae04.alicdn.com/kf/H97fa71ef4fce49ca8b7a61248965c45bJ.jpg,https://ae04.alicdn.com/kf/Hd6310fdd0b8c4891bb7ff1ac6a56bb8ch.jpg,https://ae04.alicdn.com/kf/H348931b542ae4cacbc53be665ca42914U.jpg,https://ae04.alicdn.com/kf/H6d9b553a642349098817f35e995a97cbo.jpg,",https://www.aliexpress.com/item/1005002520243645.html,54.97,24.74,15.00%,,55%,https://s.click.aliexpress.com/e/_9zXc18
Shirts & Blouses,201303001,New Chiffon Shirt For Women Bow Tie Temperament Top Long Sleeve Shirt Blouse Women Korean Style Print Female Blusa,1005003588598568,https://ae01.alicdn.com/kf/H10c71bdf9ec647d680a33df65a3ab65fW/New-Chiffon-Shirt-For-Women-Bow-Tie-Temperament-Top-Long-Sleeve-Shirt-Blouse-Women-Korean-Style.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H10c71bdf9ec647d680a33df65a3ab65fW.jpg,https://ae04.alicdn.com/kf/Hf5d414946e4940ca89af064d1485e08c7.jpg,https://ae04.alicdn.com/kf/H6cb6a79cfa904fb595c64b875c08db4bP.jpg,https://ae04.alicdn.com/kf/Hf824273db5cb49118ef68d8881ab81227.jpg,https://ae04.alicdn.com/kf/Hcd21f3a1b2ef4fa18a949f363989907da.jpg,",https://www.aliexpress.com/item/1005003588598568.html,130.00,97.50,20.00%,,25%,https://s.click.aliexpress.com/e/_A3vGns
Shirts & Blouses,201303001,Fashion Women Shirts Long Sleeve Shirt Ink-And-Wash Rendering Design Retro Loose Female Clothing Top  OL Style,1005003297023114,https://ae01.alicdn.com/kf/H6b8d394230344e5080961c2e10396184K/Fashion-Women-Shirts-Long-Sleeve-Shirt-Ink-And-Wash-Rendering-Design-Retro-Loose-Female-Clothing-Top.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6b8d394230344e5080961c2e10396184K.jpg,https://ae04.alicdn.com/kf/H9cb6e7c4478746b288f4bfee6ceb3c4e2.jpg,https://ae04.alicdn.com/kf/H6af05d8455804d02950662e53265923dq.jpg,https://ae04.alicdn.com/kf/Hbb79f795f3d642818837d5650c4b4a97b.jpg,https://ae04.alicdn.com/kf/Hb21e49f7e97843c38d6460013beb0e91W.jpg,",https://www.aliexpress.com/item/1005003297023114.html,121.00,90.75,20.00%,,25%,https://s.click.aliexpress.com/e/_AYmVxc
Shirts & Blouses,201303001,2022 Spring Casual Tops For Women Long Sleeve Shirt Printed Female Chiffon Blous Loose Temperament Turn-down Collar Button Top,1005003586821130,https://ae01.alicdn.com/kf/H183b7f5eebe742d788308a56a620b91dX/2022-Spring-Casual-Tops-For-Women-Long-Sleeve-Shirt-Printed-Female-Chiffon-Blous-Loose-Temperament-Turn.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H183b7f5eebe742d788308a56a620b91dX.jpg,https://ae04.alicdn.com/kf/He7df3934dd1f4b58a4213546a3d52f61a.jpg,https://ae04.alicdn.com/kf/Hf1f999113d0741e9869ba8a8500100a13.jpg,https://ae04.alicdn.com/kf/H01eb6ae89b9e4f67a7386aa246b09192m.jpg,https://ae04.alicdn.com/kf/H7cd8a03e2ca8434c91855bb1f3a9977dc.jpg,",https://www.aliexpress.com/item/1005003586821130.html,120.00,90.00,20.00%,,25%,https://s.click.aliexpress.com/e/_A9YpVY
Shirts & Blouses,201303001,2022 Fashion Woman Shirt Blouses Top New Style Retro Long Sleeve Shirt V Neck Chiffon Blouse Chic Button Top Female,1005003617557342,https://ae01.alicdn.com/kf/H2136e1bd48e74fc9b183724efbdcd1c8N/2022-Fashion-Woman-Shirt-Blouses-Top-New-Style-Retro-Long-Sleeve-Shirt-V-Neck-Chiffon-Blouse.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2136e1bd48e74fc9b183724efbdcd1c8N.jpg,https://ae04.alicdn.com/kf/H22d4d81f4d0e45b1abec26e113142bacj.jpg,https://ae04.alicdn.com/kf/H50e87fb684314690bfcf279242ad105cB.jpg,https://ae04.alicdn.com/kf/H2fba99ec6d7049cfac94d5260ccd0ad6b.jpg,https://ae04.alicdn.com/kf/H83915a5380884338bdb499da9efb7041G.jpg,",https://www.aliexpress.com/item/1005003617557342.html,125.00,93.75,20.00%,,25%,https://s.click.aliexpress.com/e/_Ad87YW
Shirts & Blouses,201303001,Spring Autumn Elegant Tops For Women Print Long-sleeve Shirt Chic Office Wear Women Tops Temperament Chiffon Blouse,1005003620151298,https://ae01.alicdn.com/kf/H93d0fb11dab54bfaa5ca1a1fbcdf4159u/Spring-Autumn-Elegant-Tops-For-Women-Print-Long-sleeve-Shirt-Chic-Office-Wear-Women-Tops-Temperament.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H93d0fb11dab54bfaa5ca1a1fbcdf4159u.jpg,https://ae04.alicdn.com/kf/H27af055a675f41d88116ffe8e4ba1059A.jpg,https://ae04.alicdn.com/kf/H985080172ce3450d83f44cac10df8013V.jpg,https://ae04.alicdn.com/kf/H9e288bca99064ab2ae2e6b5eabcd7ff5f.jpg,https://ae04.alicdn.com/kf/H8dfdfb6054e94a4ea37a330ce9888cf0O.jpg,",https://www.aliexpress.com/item/1005003620151298.html,125.00,93.75,20.00%,,25%,https://s.click.aliexpress.com/e/_A0hbv0
Shirts & Blouses,201303001,Fashion OL Shirts Top Women Long-sleeve Chiffon Blouse Elegant Simple Shirts Blusas Spring Autumn Temperament Female Top,1005003619860164,https://ae01.alicdn.com/kf/H92b25f6808ae470ba7eae5a710bed6a3p/Fashion-OL-Shirts-Top-Women-Long-sleeve-Chiffon-Blouse-Elegant-Simple-Shirts-Blusas-Spring-Autumn-Temperament.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H92b25f6808ae470ba7eae5a710bed6a3p.jpg,https://ae04.alicdn.com/kf/H67288966c3c247809943249d65d078a0i.jpg,https://ae04.alicdn.com/kf/Hf269f9a704f64cc0934bacbc5179ca43T.jpg,https://ae04.alicdn.com/kf/Hc6760d3545824ee19dd6a31949c4a9a1L.jpg,https://ae04.alicdn.com/kf/H8f9052c1767d45be8f1a6468453239a0I.jpg,",https://www.aliexpress.com/item/1005003619860164.html,125.00,93.75,20.00%,,25%,https://s.click.aliexpress.com/e/_9gdJto
Shirts & Blouses,201303001,New Arrival 2022 Spring Autumn Fashion Woman Shirt Long Sleeve Shirts Blouse Top Print Chiffon Blouse Chic Female Clothing,1005003581468000,https://ae01.alicdn.com/kf/Hf1bb72de2a724c7a8e5e182b1c964869c/New-Arrival-2022-Spring-Autumn-Fashion-Woman-Shirt-Long-Sleeve-Shirts-Blouse-Top-Print-Chiffon-Blouse.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf1bb72de2a724c7a8e5e182b1c964869c.jpg,https://ae04.alicdn.com/kf/H97884a933d13448aa5fb222f2723ebc5C.jpg,https://ae04.alicdn.com/kf/H9366d5b92f34450bbf5eed031b4dadd9t.jpg,https://ae04.alicdn.com/kf/Hc3ff4429a722462999f18738c7c754a3y.jpg,https://ae04.alicdn.com/kf/H2292406680ed45fda8c2dd90e05608f4C.jpg,",https://www.aliexpress.com/item/1005003581468000.html,130.00,97.50,20.00%,,25%,https://s.click.aliexpress.com/e/_AlEn6E
