Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Synthetic Hair,200167144,oneNonly Long Ombre Black Brown Blonde Synthetic Wigs with Highlight Natural Wave Middle Part for Women Daily Wig Heat Resistant,1005001552156874,https://ae01.alicdn.com/kf/H7f87f4f577e94691ac84346b236444fbd/oneNonly-Long-Ombre-Black-Brown-Blonde-Synthetic-Wigs-with-Highlight-Natural-Wave-Middle-Part-for-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7f87f4f577e94691ac84346b236444fbd.jpg,https://ae04.alicdn.com/kf/H369510f664e94b45bd4a92f7d2570e2aK.jpg,https://ae04.alicdn.com/kf/H5833853dc53b48a1b77e395b0730ad97S.jpg,https://ae04.alicdn.com/kf/H07fdabc021894f58b201f1e826a61104l.jpg,https://ae04.alicdn.com/kf/Hce24588447c94f39a2e4b7a791bac679L.jpg,",https://www.aliexpress.com/item/1005001552156874.html,38.00,16.72,15.00%,,56%,https://s.click.aliexpress.com/e/_Ap08lQ
Synthetic Hair,200167144,oneNonly Long Straight Ombre Brown Blonde Golden Synthetic Wig with Bangs for Women Cosplay Daily Heat Resistant Hair Wigs,1005002940053622,https://ae01.alicdn.com/kf/He8797ac333204fa09498afbc63c304ccg/oneNonly-Long-Straight-Ombre-Brown-Blonde-Golden-Synthetic-Wig-with-Bangs-for-Women-Cosplay-Daily-Heat.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/He8797ac333204fa09498afbc63c304ccg.jpg,https://ae04.alicdn.com/kf/H07cd7958454744db80f1cb48778f20e8j.jpg,https://ae04.alicdn.com/kf/Had884313a2f44063b7798b940c8c17d5S.jpg,https://ae04.alicdn.com/kf/Hc3fd53011b094877b5501c862f7b5b20V.jpg,https://ae04.alicdn.com/kf/H8360e0835e02484b8983e9bd2b0cd1d1q.jpg,",https://www.aliexpress.com/item/1005002940053622.html,41.00,18.04,30.00%,,56%,https://s.click.aliexpress.com/e/_AVjNv6
Synthetic Hair,200167144,oneNonly Long Brown Body Wave Ombre Synthetic Wigs Dark Roots Middle Part for Women Cosplay Natural Hair Heat Resistant,1005001679235357,https://ae01.alicdn.com/kf/Haba57c8e33d94f76ba0e2ba6c23808c4s/oneNonly-Long-Brown-Body-Wave-Ombre-Synthetic-Wigs-Dark-Roots-Middle-Part-for-Women-Cosplay-Natural.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Haba57c8e33d94f76ba0e2ba6c23808c4s.jpg,https://ae04.alicdn.com/kf/Haeee38890173464e90c318f200b43430R.jpg,https://ae04.alicdn.com/kf/Hbc496483a10b4de0bdbe41a7c15e4456t.jpg,https://ae04.alicdn.com/kf/H1a64779c39f84a989a6ee58460eea881g.jpg,https://ae04.alicdn.com/kf/Hf2f489c13b7847bc94f1b68f38842951b.jpg,",https://www.aliexpress.com/item/1005001679235357.html,38.00,16.72,15.00%,,56%,https://s.click.aliexpress.com/e/_Abz1dS
Synthetic Hair,200167144,oneNonly Long Ombre Brown Blonde Synthetic Wigs Loose Deep Wave with Bangs for Women Cosplay Daily Natural Wig Heat Resistant,1005001658327129,https://ae01.alicdn.com/kf/H59603875d5e14fdcb2408bad32839dbfI/oneNonly-Long-Ombre-Brown-Blonde-Synthetic-Wigs-Loose-Deep-Wave-with-Bangs-for-Women-Cosplay-Daily.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H59603875d5e14fdcb2408bad32839dbfI.jpg,https://ae04.alicdn.com/kf/Hc64158840a6741519e96c36b2d5fd202G.jpg,https://ae04.alicdn.com/kf/H05480ea35bd447aa8e7bb8310bf3920fT.jpg,https://ae04.alicdn.com/kf/H22f5d656209c48d49b54271b875a3a05G.jpg,https://ae04.alicdn.com/kf/Hc64eda466673431dbe6a96f1ed37e38fh.jpg,",https://www.aliexpress.com/item/1005001658327129.html,38.00,16.72,15.00%,,56%,https://s.click.aliexpress.com/e/_As22hm
Synthetic Hair,200167144,"Youthfee 12"" Knotless Braided Wigs With Baby Hair 4X4 Kinky Twist Bob Braid Wig For Black Women Lace Front Synthetic Wig",1005003131458983,https://ae01.alicdn.com/kf/H0540fa82c81b4ab4bc3d720b3a509a890/Youthfee-12-Knotless-Braided-Wigs-With-Baby-Hair-4X4-Kinky-Twist-Bob-Braid-Wig-For-Black.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H0540fa82c81b4ab4bc3d720b3a509a890.jpg,https://ae04.alicdn.com/kf/H89c19ff15e7e4217bb19ffae9abe2d34V.jpg,https://ae04.alicdn.com/kf/H5beed551b80b49c2a267071d6353dcfbY.jpg,https://ae04.alicdn.com/kf/H2f606b996434413d8bef1b86eb4daa86c.jpg,https://ae04.alicdn.com/kf/H035c9aeca84e4b50818ceb45189a625bf.jpg,",https://www.aliexpress.com/item/1005003131458983.html,83.98,60.47,15.00%,,28%,https://s.click.aliexpress.com/e/_AOrvuC
Synthetic Hair,200167144,oneNonly White Gray Wig Long Straight Wigs with Bangs  Party Cosplay for Women Human Hair Heat Resistant,1005003450289471,https://ae01.alicdn.com/kf/H2a7b91f103ea4a53bcdc0d2140ff49b79/oneNonly-White-Gray-Wig-Long-Straight-Wigs-with-Bangs-Party-Cosplay-for-Women-Human-Hair-Heat.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2a7b91f103ea4a53bcdc0d2140ff49b79.jpg,https://ae04.alicdn.com/kf/H5b5f155b737d4ae0b15186f7091850dao.jpg,https://ae04.alicdn.com/kf/H54c311209bfd41ea9d793167c84edc71w.jpg,https://ae04.alicdn.com/kf/Hfb753cb7d7e64fd1bd8fd11fb979bb84n.jpg,https://ae04.alicdn.com/kf/Hb7f7d4a4b3ad4cb68c3d9fb4485e109fr.jpg,",https://www.aliexpress.com/item/1005003450289471.html,36.00,14.40,30.00%,,60%,https://s.click.aliexpress.com/e/_996frI
Synthetic Hair,200167144,Youthfee 36 Inches Dutch Braided Synthetic Wigs With Baby Hair Lace Front Dutch Braids Wig For Black Women Box Braid Wigs,1005003408384447,https://ae01.alicdn.com/kf/H723ee924fe074e68a7aebfc2f91ce0a5p/Youthfee-36-Inches-Dutch-Braided-Synthetic-Wigs-With-Baby-Hair-Lace-Front-Dutch-Braids-Wig-For.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H723ee924fe074e68a7aebfc2f91ce0a5p.jpg,https://ae04.alicdn.com/kf/Hcd5d9bcef4354fc2b985efac37aba9d5S.jpg,https://ae04.alicdn.com/kf/Haec6c3c3d7d14bd292dfd55256200f6eq.jpg,https://ae04.alicdn.com/kf/Hba620e5bcc764a82938be63489a554a1v.jpg,https://ae04.alicdn.com/kf/H8da6497259254f42b9e545b31600616cu.jpg,",https://www.aliexpress.com/item/1005003408384447.html,159.98,57.59,8.00%,,64%,https://s.click.aliexpress.com/e/_AEfBYg
Synthetic Hair,200167144,oneNonly Long Kinky Straight Ombre Black Brown Synthetic Wigs Middle Part for Women Cosplay Daily Natural Wig Heat Resistant,1005001902513532,https://ae01.alicdn.com/kf/H79c3c61584c94f7a879d38eec5bb46f3B/oneNonly-Long-Kinky-Straight-Ombre-Black-Brown-Synthetic-Wigs-Middle-Part-for-Women-Cosplay-Daily-Natural.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H79c3c61584c94f7a879d38eec5bb46f3B.jpg,https://ae04.alicdn.com/kf/H21e7ea14650141ef880bf66b2f641099Z.jpg,https://ae04.alicdn.com/kf/Hceca194d02924c9ca621700673465554T.jpg,https://ae04.alicdn.com/kf/H4f720e2fbf5e4f77bd5e307f8ff5de0by.jpg,https://ae04.alicdn.com/kf/H0fe81b4bb36348f0bcd68f1612d0af93Y.jpg,",https://www.aliexpress.com/item/1005001902513532.html,38.00,16.72,15.00%,,56%,https://s.click.aliexpress.com/e/_A8VcOu
Synthetic Hair,200167144,oneNonly Long Brown Blonde Synthetic Wigs with Bangs Natural Wave Hairstyle for Women Cosplay Party Heat Resistant Fiber,1005003193559811,https://ae01.alicdn.com/kf/H892b663c2f2849099d7cf3353c03c352I/oneNonly-Long-Brown-Blonde-Synthetic-Wigs-with-Bangs-Natural-Wave-Hairstyle-for-Women-Cosplay-Party-Heat.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H892b663c2f2849099d7cf3353c03c352I.jpg,https://ae04.alicdn.com/kf/H68a757342faa411fb27c5426545ac5ccb.jpg,https://ae04.alicdn.com/kf/Hca8ddc188a7041ccb5158daec11f21d3i.jpg,https://ae04.alicdn.com/kf/H24cc25feed3d456b97e9b56aec755a1ds.jpg,https://ae04.alicdn.com/kf/H64afb2c4ccd349449bad63987237b8d0b.jpg,",https://www.aliexpress.com/item/1005003193559811.html,38.00,14.82,15.00%,,61%,https://s.click.aliexpress.com/e/_9Aq8Gk
Synthetic Hair,200167144,oneNonly Long Straight Lace Front Wig White Blonde Wigs for Women Human Hair Cosplay Daily Party High Density Heat Resistant,1005003440095824,https://ae01.alicdn.com/kf/H045bdc19809a4b77843211019b84bef2M/oneNonly-Long-Straight-Lace-Front-Wig-White-Blonde-Wigs-for-Women-Human-Hair-Cosplay-Daily-Party.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H045bdc19809a4b77843211019b84bef2M.jpg,https://ae04.alicdn.com/kf/H213e6c2a0ea54c7c8109d84b4913fb94d.jpg,https://ae04.alicdn.com/kf/H55e0d510c1f24a45a241067a7f726396O.jpg,https://ae04.alicdn.com/kf/H865c714eb82f46dfb3871a98a6abadfcC.jpg,https://ae04.alicdn.com/kf/H8baf1bdc45ba42b1a51e034e71b1cad4t.jpg,",https://www.aliexpress.com/item/1005003440095824.html,78.00,40.56,15.00%,,48%,https://s.click.aliexpress.com/e/_AoEh3q
