Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Tattoo & Body Art,200001976,20m Microblading Mapping String Pre-inked Eyebrow Marker String Semi Permanen Brows White Mapping Beauty Point Tattoo Threa E5q1,1005003766006272,https://ae01.alicdn.com/kf/S9153176d1d944237b74a7a9c4f7e1d3fS/20m-Microblading-Mapping-String-Pre-inked-Eyebrow-Marker-String-Semi-Permanen-Brows-White-Mapping-Beauty-Point.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S9153176d1d944237b74a7a9c4f7e1d3fS.jpg,https://ae04.alicdn.com/kf/S758f7cbf85f743089cbdae9d4644f4a9r.jpg,https://ae04.alicdn.com/kf/S31a7cc9f229543688b792fd7b11099b1k.jpg,https://ae04.alicdn.com/kf/Sa0bb52046dab4e5f9e3864e54f97b4afR.jpg,https://ae04.alicdn.com/kf/Sd8c4b9611a464d5a998e0eac1748a9fdl.jpg,",https://www.aliexpress.com/item/1005003766006272.html,4.25,2.34,8.00%,,45%,https://s.click.aliexpress.com/e/_AqW7WX
Tattoo & Body Art,200001976,Aimoosi Correction Fluid Remove Desalination Tattoo For Eyebrow Lips Eyeliner Tattoo Microblading Semi Permanent Makeup Supplies,32828285651,https://ae01.alicdn.com/kf/Sffa3b25707254a6f93ac72f4612936f9S/Aimoosi-Correction-Fluid-Remove-Desalination-Tattoo-For-Eyebrow-Lips-Eyeliner-Tattoo-Microblading-Semi-Permanent-Makeup-Supplies.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sffa3b25707254a6f93ac72f4612936f9S.jpg,https://ae04.alicdn.com/kf/S62e082446a814276b5a15bd12f03d737E.jpg,https://ae04.alicdn.com/kf/S543c75d58a8947539646e93985f74e29z.jpg,https://ae04.alicdn.com/kf/S06814076ee914ea9ab1d7265923aa53f6.jpg,https://ae04.alicdn.com/kf/S9bff9eb9afd741219d892ca90cfa9eceo.jpg,",https://www.aliexpress.com/item/32828285651.html,17.36,9.55,20.00%,,45%,https://s.click.aliexpress.com/e/_97RElp
Tattoo & Body Art,200001976,INKin Slender Permanent Makeup Pen Machine for Tattoo PMU & SMP Eyebrow Eyeliner Lips Long & Short Version,1005003479292797,https://ae01.alicdn.com/kf/Ha0b10d127f1b495696a5f6fb1885c60cl/INKin-Slender-Permanent-Makeup-Pen-Machine-for-Tattoo-PMU-SMP-Eyebrow-Eyeliner-Lips-Long-Short-Version.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha0b10d127f1b495696a5f6fb1885c60cl.jpg,https://ae04.alicdn.com/kf/H76364feb86694907ad8173e0b9cb6b63R.jpg,https://ae04.alicdn.com/kf/H17d6a7881cc94770b345ce2320fc7a4b9.jpg,https://ae04.alicdn.com/kf/H256300b5a61b4e0bba52b7f136b30335D.jpg,https://ae04.alicdn.com/kf/H62f63683c99a4b17b2a9f1927df656a6Q.jpg,",https://www.aliexpress.com/item/1005003479292797.html,122.90,73.74,20.00%,,40%,https://s.click.aliexpress.com/e/_AnHBbt
Tattoo & Body Art,200001976,Aimoosi Multi-Effect Essence Auxiliary Coloring For Eyebrow Lips Eyeliner Body Art Tattoo Microblading Semi Permanent Makeup Sup,32243225721,https://ae01.alicdn.com/kf/S85ebe8f3e3d6494cabd29bb79f1d5914i/Aimoosi-Multi-Effect-Essence-Auxiliary-Coloring-For-Eyebrow-Lips-Eyeliner-Body-Art-Tattoo-Microblading-Semi-Permanent.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S85ebe8f3e3d6494cabd29bb79f1d5914i.jpg,https://ae04.alicdn.com/kf/Sc1469e68b58c4f93b7f61dd87d8a6333T.jpg,https://ae04.alicdn.com/kf/S671095f7da9f4d8984a5f7a0e483ad8f6.jpg,https://ae04.alicdn.com/kf/S780da355dfc9448a80a5487cfd4b5f93s.jpg,https://ae04.alicdn.com/kf/S189d607c590d452781eb2d00cd78d4edC.jpg,",https://www.aliexpress.com/item/32243225721.html,16.96,9.33,20.00%,,45%,https://s.click.aliexpress.com/e/_Aa3vux
Tattoo & Body Art,200001976,Aimoosi Color Fixing Agent Locking For Eyebrow Lips Eyeliner Professional Tattoo Microblading Semi Permanent Makeup Supplies,32856491238,https://ae01.alicdn.com/kf/S201b542a63ef4f43a4b8b2f88840fc29m/Aimoosi-Color-Fixing-Agent-Locking-For-Eyebrow-Lips-Eyeliner-Professional-Tattoo-Microblading-Semi-Permanent-Makeup-Supplies.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S201b542a63ef4f43a4b8b2f88840fc29m.jpg,https://ae04.alicdn.com/kf/Se678844e3194473ba599e55b636d0cf9z.jpg,https://ae04.alicdn.com/kf/Sbb7adecd5dbb4b84a21a2c2d57ca8809U.jpg,https://ae04.alicdn.com/kf/S13eab7b9c6c7413896ddcec084485c3dI.jpg,https://ae04.alicdn.com/kf/Sc42d17eea3524c1b871b327f715470b1o.jpg,",https://www.aliexpress.com/item/32856491238.html,16.96,9.33,20.00%,,45%,https://s.click.aliexpress.com/e/_9igAgP
Tattoo & Body Art,200001976,Flower Arm Tattoo Sticker Personality Tattoo Tattoo Feather Sticker Tattoo Sticker Flower Half Fashion Arm R2g6,1005003507654146,https://ae01.alicdn.com/kf/H40b15ea1e8af493a8015dbc2a2484db1p/Flower-Arm-Tattoo-Sticker-Personality-Tattoo-Tattoo-Feather-Sticker-Tattoo-Sticker-Flower-Half-Fashion-Arm-R2g6.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H40b15ea1e8af493a8015dbc2a2484db1p.jpg,https://ae04.alicdn.com/kf/H86bb302ee1764ca4b827a19f0155abe9D.jpg,https://ae04.alicdn.com/kf/H0a8a463337954cb29e51cbeab773a74aE.jpg,https://ae04.alicdn.com/kf/H96279a3168af4cfd88418f05a3ae0899T.jpg,https://ae04.alicdn.com/kf/H837eb410813d45288dd5abc007c81219L.jpg,",https://www.aliexpress.com/item/1005003507654146.html,4.43,2.57,12.00%,,42%,https://s.click.aliexpress.com/e/_ADd0OF
Tattoo & Body Art,200001976,6 Images Can Choose Waterproof Decals Temporary Tattoo Sticker Fake Tatoo Art Taty Women's Pistol Pattern,1005003595506379,https://ae01.alicdn.com/kf/H60265387272d42079eec59d54f4868c4V/6-Images-Can-Choose-Waterproof-Decals-Temporary-Tattoo-Sticker-Fake-Tatoo-Art-Taty-Women-s-Pistol.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H60265387272d42079eec59d54f4868c4V.jpg,https://ae04.alicdn.com/kf/H41078c1d87f946c98e7da4a8310887e0h.jpg,https://ae04.alicdn.com/kf/H349368d1648b4489b382892c1b176aaaH.jpg,https://ae04.alicdn.com/kf/H1475b3147af042e99f1fcd2a935fb44cg.jpg,https://ae04.alicdn.com/kf/Hf9c598a8e14f4170a2028154f7eb82fbm.jpg,",https://www.aliexpress.com/item/1005003595506379.html,3.03,2.09,10.00%,,31%,https://s.click.aliexpress.com/e/_9vS559
Tattoo & Body Art,200001976,Makeup Diamond Eyes Face Festival DIY Body Crystal Gems Tattoo Adhesive   Rhinestone Nail Art  Eyeshadow Hair Decoration Sticker,1005003301708122,https://ae01.alicdn.com/kf/H57cdda2b9e4f4d24973cbf5a4cac26c5I/Makeup-Diamond-Eyes-Face-Festival-DIY-Body-Crystal-Gems-Tattoo-Adhesive-Rhinestone-Nail-Art-Eyeshadow-Hair.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H57cdda2b9e4f4d24973cbf5a4cac26c5I.jpg,https://ae04.alicdn.com/kf/Hc596d89af531472099dced808d9bc61fo.jpg,https://ae04.alicdn.com/kf/H7cf154cabdbd4baa8eb1a0482aab95e2w.jpg,https://ae04.alicdn.com/kf/H0f6345c22afc41678208afb6cd6ee305D.jpg,https://ae04.alicdn.com/kf/H98c2a5266b81410c82cfe02781ce9b3fv.jpg,",https://www.aliexpress.com/item/1005003301708122.html,4.43,2.66,10.00%,,40%,https://s.click.aliexpress.com/e/_AUDIfd
Tattoo & Body Art,200001976,3D Glitter Crystal Forehead Headpiece Sticker Hair Jewels Face Body Gem Luminous Festival Shiny Diamond Temporary Tattoo Sticker,1005003339879511,https://ae01.alicdn.com/kf/Hdbf63782b58a4d95a7c5665bd4221b30a/3D-Glitter-Crystal-Forehead-Headpiece-Sticker-Hair-Jewels-Face-Body-Gem-Luminous-Festival-Shiny-Diamond-Temporary.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdbf63782b58a4d95a7c5665bd4221b30a.jpg,https://ae04.alicdn.com/kf/H938cd56a6f214f71b5c917ffa4d8e789r.jpg,https://ae04.alicdn.com/kf/Hc14dd6b29028459e86b487ec922ff1c2q.jpg,https://ae04.alicdn.com/kf/Hdfbeda57f11045bd87c42d59559e1a35U.jpg,https://ae04.alicdn.com/kf/H2f07821f38fe43d08f1e8c24cd5a0504c.jpg,",https://www.aliexpress.com/item/1005003339879511.html,4.43,2.66,20.00%,,40%,https://s.click.aliexpress.com/e/_ANs2FH
Tattoo & Body Art,200001976,POPU Mini HALO LCD Display Tattoo Power Supply with Adaptor for Coil & Rotary Machines,4001308111471,https://ae01.alicdn.com/kf/H6eb436177d9a4a66b8562f4bfecd6d4cP/POPU-Mini-HALO-LCD-Display-Tattoo-Power-Supply-with-Adaptor-for-Coil-Rotary-Machines.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6eb436177d9a4a66b8562f4bfecd6d4cP.jpg,https://ae04.alicdn.com/kf/H54da8dd9221543a39776c9e2d1add9beE.jpg,https://ae04.alicdn.com/kf/He2ac73b9e8bf4c7aab4e7a8ef3a13012E.jpg,https://ae04.alicdn.com/kf/H7c7298f370bf4cb0a6cab808499ed9139.jpg,https://ae04.alicdn.com/kf/H9de481005c05466996130965086d1fa0q.jpg,",https://www.aliexpress.com/item/4001308111471.html,47.99,43.19,8.00%,,10%,https://s.click.aliexpress.com/e/_9yr6jz
