Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Tops & Tees,200000779,Summer 2020 new 3D printed T-shirt animal print men's T-shirt print casual T-shirt O-neck hip hop short sleeve size 110-6XL,1005003795466930,https://ae01.alicdn.com/kf/Hf1ed2f78329f466289bfcb666f48a7e0q/Summer-2020-new-3D-printed-T-shirt-animal-print-men-s-T-shirt-print-casual-T.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf1ed2f78329f466289bfcb666f48a7e0q.jpg,https://ae04.alicdn.com/kf/Hf60e9a9d44534d149b0ba356165b9d72V.jpg,https://ae04.alicdn.com/kf/H98558815f80f460cb9a67250076110632.jpg,https://ae04.alicdn.com/kf/Hcc92f8bb88274a65ad7231e0a9f63047z.jpg,https://ae04.alicdn.com/kf/H341a2fe267534eb4a69a6ce249ad2349a.jpg,",https://www.aliexpress.com/item/1005003795466930.html,11.68,5.84,40.00%,,50%,https://s.click.aliexpress.com/e/_9ALJLw
Tops & Tees,200000779,Pattern 3d Printed T-shirt Fashion Men's Street Casual Sports Shirt Male O-neck Oversized T-shirt,1005003795448945,https://ae01.alicdn.com/kf/H5cdb8fe97a15417295cbfda2db1c2159t/Pattern-3d-Printed-T-shirt-Fashion-Men-s-Street-Casual-Sports-Shirt-Male-O-neck-Oversized.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5cdb8fe97a15417295cbfda2db1c2159t.jpg,https://ae04.alicdn.com/kf/H1004d7e52c3247339107970b06a04d0fS.jpg,https://ae04.alicdn.com/kf/H87d00135919a4950bf590adcba5a455bI.jpg,https://ae04.alicdn.com/kf/H9aea9f5fca5645949d7791bf0d1a469f8.jpg,https://ae04.alicdn.com/kf/H919030bdeb0148c8a875361fc1263f35N.jpg,",https://www.aliexpress.com/item/1005003795448945.html,6.96,3.48,40.00%,,50%,https://s.click.aliexpress.com/e/_AF0n8G
Tops & Tees,200000779,2019 New Summer Cool TShirt Men Short Sleeve Malt Whiskey T-Shirt Funny Alcohol Drunk Mens Tee O-Neck T Shirt Streetwear Tops,1005003795538098,https://ae01.alicdn.com/kf/H052136bbd0044fb7ba8a7fa3ea5a2b20g/2019-New-Summer-Cool-TShirt-Men-Short-Sleeve-Malt-Whiskey-T-Shirt-Funny-Alcohol-Drunk-Mens.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H052136bbd0044fb7ba8a7fa3ea5a2b20g.jpg,https://ae04.alicdn.com/kf/H47cf268f703d4b3e90eaf06540860ad39.jpg,https://ae04.alicdn.com/kf/H869b18d35a4a4d4390ea91c525fc3500m.jpg,https://ae04.alicdn.com/kf/He9974135d3f94fc989a16f50c35f6266l.jpg,https://ae04.alicdn.com/kf/H32c1ed5b5f6f4eb89b82d847c05b19f5f.jpg,",https://www.aliexpress.com/item/1005003795538098.html,8.10,4.05,40.00%,,50%,https://s.click.aliexpress.com/e/_A9qkSy
Tops & Tees,200000779,"New style hot sale in 2021, 3D men's T-shirt, gentleman style design, short sleeves, summer fashion, handsome man",1005003795597366,https://ae01.alicdn.com/kf/Hd5c0d6f1ea69485c80bf588f54b3b5a5G/New-style-hot-sale-in-2021-3D-men-s-T-shirt-gentleman-style-design-short-sleeves.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hd5c0d6f1ea69485c80bf588f54b3b5a5G.jpg,https://ae04.alicdn.com/kf/He0a7fa57baa04a5a83e1b2a88b7cba94U.jpg,https://ae04.alicdn.com/kf/H11cb45d3a9c2401699066307577d0ae1O.jpg,https://ae04.alicdn.com/kf/Hf5dc207a478f49e199fe031fc51d3bebY.jpg,https://ae04.alicdn.com/kf/Hdca4dc7f930142d1b32f6bb9cebceebfv.jpg,",https://www.aliexpress.com/item/1005003795597366.html,6.67,3.33,40.00%,,50%,https://s.click.aliexpress.com/e/_9G10SG
Tops & Tees,200000779,Hot Sale Clown T Shirt Men/Women Joker Face 3D Printed Terror Short Sleeves Fashion Round Neck T-shirts Size XXS-6XL,1005003795459765,https://ae01.alicdn.com/kf/H5892b91cc8ce4a3c9f6bc4939c1e2b07G/Hot-Sale-Clown-T-Shirt-Men-Women-Joker-Face-3D-Printed-Terror-Short-Sleeves-Fashion-Round.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5892b91cc8ce4a3c9f6bc4939c1e2b07G.jpg,https://ae04.alicdn.com/kf/Hc027274c634b4a39a5e64d6b0ab46f7c5.jpg,https://ae04.alicdn.com/kf/Hc63876c788304eae87d41d2510cb3266Q.jpg,https://ae04.alicdn.com/kf/H10597cbb8fe848d5afafe880fa8d3cc0w.jpg,https://ae04.alicdn.com/kf/H5a08e67513fc4a49be1474265fb75478D.jpg,",https://www.aliexpress.com/item/1005003795459765.html,8.58,4.29,40.00%,,50%,https://s.click.aliexpress.com/e/_APDbyk
Tops & Tees,200000779,"Men's 3D Skull Print Shirt, Hawaiian Casual Style loose Shirt, Men's Short Sleeved Shirt, Summer Beach loose Top",1005003769014059,https://ae01.alicdn.com/kf/H10f9413db83b492682c78d1f5b9846f4e/Men-s-3D-Skull-Print-Shirt-Hawaiian-Casual-Style-loose-Shirt-Men-s-Short-Sleeved-Shirt.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H10f9413db83b492682c78d1f5b9846f4e.jpg,https://ae04.alicdn.com/kf/H8c3445f575584323bb2f6ae38a6582e44.jpg,https://ae04.alicdn.com/kf/Hc98d9fa6f477444c945bd900b92b68c91.jpg,https://ae04.alicdn.com/kf/He199d81678c34210b36a37f84b5e855fe.jpg,https://ae04.alicdn.com/kf/H2f643f28efa44dc58fce5396638a9a80A.jpg,",https://www.aliexpress.com/item/1005003769014059.html,19.80,9.90,12.00%,,50%,https://s.click.aliexpress.com/e/_9xzcUs
Tops & Tees,200000779,Fashion Summer T-Shirt Men 2021 3D Skull Printing Men's T-Shirt Breathable Streetwear Splicing Printing T Shirt Men Size XXS-6XL,1005003795622259,https://ae01.alicdn.com/kf/H9041ca11a4de488e8f41181502141757f/Fashion-Summer-T-Shirt-Men-2021-3D-Skull-Printing-Men-s-T-Shirt-Breathable-Streetwear-Splicing.png_220x220.png,"https://ae04.alicdn.com/kf/H9041ca11a4de488e8f41181502141757f.png,https://ae04.alicdn.com/kf/Hdba796e70f7b44929de2e66dd1bf5648c.jpg,https://ae04.alicdn.com/kf/Headf3a46c9634bc396470e56adf25bbem.jpg,https://ae04.alicdn.com/kf/H2c8bc2cd08af42ed977825596162295a7.jpg,https://ae04.alicdn.com/kf/H2d5dd03008564ea98cb7de7214c89c17y.jpg,",https://www.aliexpress.com/item/1005003795622259.html,7.15,3.57,40.00%,,50%,https://s.click.aliexpress.com/e/_9vxklK
Tops & Tees,200000779,2021 Beer 3d Print T Shirt It 'S Time Letter Women Men Funny Novelty T -Shirt Short Sleeve Tops Unisex Outfit Clothing,1005003795606204,https://ae01.alicdn.com/kf/Ha741291a2e184305bbd82e1d3aca4dd5p/2021-Beer-3d-Print-T-Shirt-It-S-Time-Letter-Women-Men-Funny-Novelty-T-Shirt.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Ha741291a2e184305bbd82e1d3aca4dd5p.jpg,https://ae04.alicdn.com/kf/H3c82bbcdf30e4bfea2ac332d9c52dbf9r.jpg,https://ae04.alicdn.com/kf/Ha5ffe9635320421b9ce5f532d30ae113h.jpg,https://ae04.alicdn.com/kf/H4774a44c59a848f296a7b77299fbec75h.jpg,https://ae04.alicdn.com/kf/H6505f924f8af4f8f97aa56aa2b85340d8.jpg,",https://www.aliexpress.com/item/1005003795606204.html,7.91,3.95,40.00%,,50%,https://s.click.aliexpress.com/e/_Aonxve
Tops & Tees,200000779,Electronic Chip Hip Hop T Shirt Harajuku Style Summer Short Sleeve Tee Tops Men Women 3D Machine Printed Oversized T-shirt,1005003741048824,https://ae01.alicdn.com/kf/S87c4c1abde434d3faf4c5df7c1798064U/Electronic-Chip-Hip-Hop-T-Shirt-Harajuku-Style-Summer-Short-Sleeve-Tee-Tops-Men-Women-3D.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S87c4c1abde434d3faf4c5df7c1798064U.jpg,https://ae04.alicdn.com/kf/S1a70fac926d6405c91b5d5dcd7682299t.jpg,https://ae04.alicdn.com/kf/Sc070b6dd74474c3ba0f3e07387ad5145v.jpg,https://ae04.alicdn.com/kf/S20703ed5ee0f4179b362c31ae899362bN.jpg,https://ae04.alicdn.com/kf/S3588259cf4014fe2a20b6ea5db4fc83cD.jpg,",https://www.aliexpress.com/item/1005003741048824.html,30.98,15.49,9.00%,,50%,https://s.click.aliexpress.com/e/_AEE4ik
Tops & Tees,200000779,"New Hawaiian Men's T-shirt, 2022, Single Button Shirt, Wild Shirt, Printed Short Sleeve Shirt, Men's",1005003793083856,https://ae01.alicdn.com/kf/H99805c52656548ce95abc20a16e1e2b7t/New-Hawaiian-Men-s-T-shirt-2022-Single-Button-Shirt-Wild-Shirt-Printed-Short-Sleeve-Shirt.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H99805c52656548ce95abc20a16e1e2b7t.jpg,https://ae04.alicdn.com/kf/H79c53624d44b43c6a18e5f62366abf15V.jpg,https://ae04.alicdn.com/kf/Hd92bb3762c694355b6983b74eb362b19D.jpg,https://ae04.alicdn.com/kf/H5839939c03424a5db152ba3d514c3ec3x.jpg,https://ae04.alicdn.com/kf/He0272b44fcff472d908dbff9dda377d7L.jpg,",https://www.aliexpress.com/item/1005003793083856.html,19.80,9.90,12.00%,,50%,https://s.click.aliexpress.com/e/_AVm7de
