"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005004467819012","https://ae04.alicdn.com/kf/Sd633a45cafcd454b94d47579f351e11b9.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100057934295.mp4","2022 Women's New Sandals Women's PU Leather Low-heeled Shoes Popular Solid Color Outdoor Fashion Shoes Trendy Sandals Women","USD 16.61","USD 8.47","49%","USD","7","USD 0.59","0","null%","https://s.click.aliexpress.com/e/_DkjD0JN",,,,,,
"1005004131237117","https://ae04.alicdn.com/kf/Sa02ca61f13694b9aa861b52bba6540d0Q.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100008335055.mp4","Rhinestone Flowers Flip Flops Women's Summer Luxury Sandals 2022 Women Flat Slides Slipper Shoes zapatillas divertidas slippers","USD 24.86","USD 11.19","55%","USD","15.0","USD 1.68","0","null%","https://s.click.aliexpress.com/e/_DcQBwiF",,,,,,
"1005005013017292","https://ae04.alicdn.com/kf/Sde95439a53aa45999e977e97b9db9f849.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100106035697.mp4","Women'S Pointy High Heels Shoes Ladies Stiletto Lace Up Sandals Woman Elegant Fashion Non-Slip Shoes Female Party Modern Shoes","USD 61.48","USD 23.98","61%","USD","7","USD 1.68","6","null%","https://s.click.aliexpress.com/e/_Dk4GFXv",,,,,,
"1005004284803879","https://ae04.alicdn.com/kf/S7ba810e76d7c486abb03c98e99ca52d7d.jpg",,"Women's Slippers Summer Folding Travel Portable Slippers Home Flip-Flops Beach Flat bottomed light Female Sandals flip flop","USD 13.62","USD 6.95","49%","USD","7","USD 0.49","0","null%","https://s.click.aliexpress.com/e/_DdJSsBV",,,,,,
"1005004342543635","https://ae04.alicdn.com/kf/Sa261eedac27b454a91e7c183538250bbf.jpg",,"2022 New Summer New Women's Casual Fashion Rhinestone Decorative Flat Sandals Comfortable Soft Sole Women's Breathable Sandals","USD 21.05","USD 14.95","29%","USD","8.0","USD 1.20","0","null%","https://s.click.aliexpress.com/e/_DmMVFoj",,,,,,
"1005004132524375","https://ae04.alicdn.com/kf/Sc397072d00f649b4992c646e4d9087290.jpg",,"2022 Summer Fashion Women's Transparent Double Strap Cork Slippers Multicolor Bottom Sandals Candy Color Transparent Slippers","USD 14.44","USD 7.36","49%","USD","7","USD 0.52","0","null%","https://s.click.aliexpress.com/e/_DeiQphd",,,,,,
"1005004394507830","https://ae04.alicdn.com/kf/S398c2eb5befd473abdbdd146da35eccas.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100048102531.mp4","Summer New Fashion Women's Shoes Patent Leather Rhinestone Open-toe High-heeled Sandals Women's Popular Crystal Shoes Women","USD 15.88","USD 8.10","49%","USD","7","USD 0.57","0","null%","https://s.click.aliexpress.com/e/_DnMBn7D",,,,,,
"1005004732246284","https://ae04.alicdn.com/kf/S07a932afc9804f1d97b8cb49c8a5318fo.jpg",,"2022 Women's Slippers Summer Folding Travel Portable Slippers Home Flip-Flops Beach Flat Bottomed Light Female Sandals Flip Flop","USD 9.37","USD 5.53","41%","USD","7","USD 0.39","0","null%","https://s.click.aliexpress.com/e/_DdeJ1rt",,,,,,
"1005004216583886","https://ae04.alicdn.com/kf/Sb78b732569a945118893d5731fbc14f8p.jpg",,"Rhinestone Slippers Women's Summer Outer Wear 2022 New Fashion Casual Women's Shoes Open-toe Flat-bottomed Sandals Trend","USD 9.75","USD 4.97","49%","USD","7","USD 0.35","0","null%","https://s.click.aliexpress.com/e/_DekTLbZ",,,,,,
"1005004238714043","https://ae04.alicdn.com/kf/Sf9a3894990c6459792f714241069d138u.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100022152515.mp4","2022 Summer Fashion Sexy Sandals Women's Stiletto Heel Hollow Rhinestone Ladies Sandals Buckle Strap Open Toe Ladies Shoes","USD 20.22","USD 10.31","49%","USD","7","USD 0.72","0","null%","https://s.click.aliexpress.com/e/_DejNYi3",,,,,,
