"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"4000803517914","https://ae04.alicdn.com/kf/S98d7c7c5c34246e6b26d7c608cfd69132.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/342803025009.mp4","Women's Casual Fashion Air Cushion Lightweight Training Shoes Mesh Breathable Sneakers","USD 17.90","USD 17.90","0%","USD","8.0","USD 1.43","159","93.8%","https://s.click.aliexpress.com/e/_DEeeEyJ",,,,,,
"1005004548104860","https://ae04.alicdn.com/kf/Sb88c4fb6f0944e6694520e7a70c0c8d0W.jpg",,"2022 Spring Summer New  Women's Single Shoes Fashion Saturn PVC Jelly Shoes Ladies Soft Sole Beach Shoes with Fragrant","USD 16.46","USD 11.52","30%","USD","8.0","USD 0.92","68","90.0%","https://s.click.aliexpress.com/e/_Dnr355H",,,,,,
"1005004715515740","https://ae04.alicdn.com/kf/Sd2d6f2d7ef914e1380cebf22386b8bcaV.jpg",,"2022 New Snow Women's Boots Keep Warm Fur Ankle Boots Comfortable Winter Women Shoes Outdoor Botas Plus Size 35-45","USD 19.96","USD 9.98","50%","USD","8.0","USD 0.80","46","97.1%","https://s.click.aliexpress.com/e/_DdcvLCT",,,,,,
"1005003320145064","https://ae04.alicdn.com/kf/S44ed5461bfc14565baacd47db21962f9F.jpg",,"2022 Winter Boots Women Low Heel Ankle Boot Skull Flower Printing Punk Goth Fashion Lace-up Warm Women's Shoes Botas De Mujer","USD 22.59","USD 13.10","42%","USD","7","USD 0.92","53","93.3%","https://s.click.aliexpress.com/e/_DcuuLTh",,,,,,
"1005004043363791","https://ae04.alicdn.com/kf/S62a0b5e61857463eba061785a02d5f13Z.jpg",,"Thick-soled Biscuit Shoes Women's 2022 New Low-top Canvas Shoes Women's Platform Small White Shoes Casual Student Sneakers","USD 22.80","USD 11.40","50%","USD","8.0","USD 0.91","47","92.9%","https://s.click.aliexpress.com/e/_DFWuXdd",,,,,,
"1005001802647275","https://ae04.alicdn.com/kf/Sba05655ce9674526a59b27f7d33566b7b.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/297907183568.mp4","Spring Women Thick Sole Ankle Boots Autumn Luxury Platform Casual Boots Women's 8cm High Heels Wedge Boots Shoes Woman Sneakers","USD 38.88","USD 27.22","30%","USD","8.0","USD 2.18","124","99.3%","https://s.click.aliexpress.com/e/_DCFwCWT",,,,,,
"32970839073","https://ae04.alicdn.com/kf/Sa74882deb2d24588b5541ba906f6d47bt.jpg",,"STRONGSHEN New Spring Flat Women's Shoes Suede Leather Casual Shoes Low Heel Black Women's Shoes Flat Loafers Jazz Oxford","USD 25.68","USD 21.83","15%","USD","10.0","USD 2.18","41","100.0%","https://s.click.aliexpress.com/e/_DDpWa2j",,,,,,
"1005003744981868","https://ae04.alicdn.com/kf/S6bfa85c303464ff580f595f0a9095302e.jpg",,"Women Mary Janes Shoes Plus Velvet Warm Cotton Shoes Ladies Girls Students Casual Hook&loop Flat Shoes Woman Shearling Loafers","USD 28.78","USD 13.81","52%","USD","8.0","USD 1.10","44","100.0%","https://s.click.aliexpress.com/e/_DmMhf7v",,,,,,
"1005002458733142","https://ae04.alicdn.com/kf/S1b5f6c9278d84356bd4b58ec6c565640E.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/305603858075.mp4","Rhinestone Square-head Transparent Jelly Flip-flop Platform Women's Sandles Summer 2021 PVC Beach Open-toed Outdoor Slides Women","USD 27.57","USD 12.41","55%","USD","7","USD 0.87","50","97.6%","https://s.click.aliexpress.com/e/_DE12v1H",,,,,,
"1005003230204565","https://ae04.alicdn.com/kf/H61dad7668df74de083eced937af9fdc0p.jpg",,"2021 Winter Plush Slippers Fashion Open Toe Solid Color Women's Sandals Metal Chain Outdoor Casual Women's Shoes  Fashion Shoes","USD 5.64","USD 3.95","30%","USD","14.5","USD 0.57","647","90.4%","https://s.click.aliexpress.com/e/_DlUHXVl",,,,,,
