Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Women's Shoes,200133142,TOPHQWS Retro Women Loafers 2022 Spring  Flat Shoes Female High Quality Leather Platform Shoes Retro Mary Jane Lolita Shoes,1005003842779073,https://ae01.alicdn.com/kf/Sbaffb4e9f08e4be5aff5517a285b1699O/TOPHQWS-Retro-Women-Loafers-2022-Spring-Flat-Shoes-Female-High-Quality-Leather-Platform-Shoes-Retro-Mary.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sbaffb4e9f08e4be5aff5517a285b1699O.jpg,https://ae04.alicdn.com/kf/S4b5960865adf4e7a9f6f015b20c9f6771.jpg,https://ae04.alicdn.com/kf/S9a5637a4feee4e7fba98ccb05b793699l.jpg,https://ae04.alicdn.com/kf/S49bc64d93dcc4589949bd1a2f39a1777R.jpg,https://ae04.alicdn.com/kf/S2c25d7e70d354f33b0d09419649e0889w.jpg,",https://www.aliexpress.com/item/1005003842779073.html,49.08,23.56,20.00%,,52%,https://s.click.aliexpress.com/e/_ACfdsP
Women's Shoes,200133142,2021 New Designer Leather Flat Loafers Non Slip Platform Low Heel Women's Shoes Thick Heeled Comfortable Fashion Leather Shoes,1005003183244727,https://ae01.alicdn.com/kf/Hae44ff6879064a42ac23256240b7b4cbI/2021-New-Designer-Leather-Flat-Loafers-Non-Slip-Platform-Low-Heel-Women-s-Shoes-Thick-Heeled.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hae44ff6879064a42ac23256240b7b4cbI.jpg,https://ae04.alicdn.com/kf/H778dcc164ac54bebbd93dd7243c0bb27a.jpg,https://ae04.alicdn.com/kf/H3f5cf363a7ca40108bc2cdfa35dde45bU.jpg,https://ae04.alicdn.com/kf/Hcbe5f6f811ad4328973174f83cae7eebO.jpg,https://ae04.alicdn.com/kf/Hd634f23d6fbd47478e9e455139f864cf1.jpg,",https://www.aliexpress.com/item/1005003183244727.html,27.89,18.97,10.00%,,32%,https://s.click.aliexpress.com/e/_ATjLZt
Women's Shoes,200133142,Winter Warm Plush Fur Slides Women Alloy Demon Eye Decor Furry Platform Home Slippers Non-slip Flip Flops Outdoor Indoor Shoes,1005003843052892,https://ae01.alicdn.com/kf/S6ca67d6b6307492bac4dcc3efe78f38d0/Winter-Warm-Plush-Fur-Slides-Women-Alloy-Demon-Eye-Decor-Furry-Platform-Home-Slippers-Non-slip.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S6ca67d6b6307492bac4dcc3efe78f38d0.jpg,https://ae04.alicdn.com/kf/Sf958729df9694d0ebf30bf4730766ad5T.jpg,https://ae04.alicdn.com/kf/Sdf29fe7277ef4fcba501905528255025O.jpg,https://ae04.alicdn.com/kf/S6dca6a4f6a52402586b9773e9af58678h.jpg,https://ae04.alicdn.com/kf/S48f1c087b1ff4722a91fda0a975448bdu.jpg,",https://www.aliexpress.com/item/1005003843052892.html,46.92,23.46,20.00%,,50%,https://s.click.aliexpress.com/e/_ABQvhD
Women's Shoes,200133142,Ladies Female Flip Flops Rhinestone Heart Devil Eye Women Fashion Warm Fluffy Slippers Cozy Faux Fur Indoor Home Furry Slides,1005003843113502,https://ae01.alicdn.com/kf/S391e907fdce74893a275383a805d5ef3G/Ladies-Female-Flip-Flops-Rhinestone-Heart-Devil-Eye-Women-Fashion-Warm-Fluffy-Slippers-Cozy-Faux-Fur.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S391e907fdce74893a275383a805d5ef3G.jpg,https://ae04.alicdn.com/kf/Sb7924fd010344f3fa2fc94a661f1b3ccQ.jpg,https://ae04.alicdn.com/kf/S2f887820c12e4743807ef44292e63aeek.jpg,https://ae04.alicdn.com/kf/S620e5ca5c7be4c33a71592fb636cdd6cY.jpg,https://ae04.alicdn.com/kf/S3a6c6f1b8cf8419991597b20acf8a9dfw.jpg,",https://www.aliexpress.com/item/1005003843113502.html,46.92,23.46,20.00%,,50%,https://s.click.aliexpress.com/e/_AM37Oj
Women's Shoes,200133142,Women Home Rhinestone Crown Cloth Indoor Home Slippers Ladies Soft Warm Fur Slides Flip Flop Stylish Winter Sandals Flat Shoes,1005003843069904,https://ae01.alicdn.com/kf/S267e5bda990b40e8b9bb73fd52572c90y/Women-Home-Rhinestone-Crown-Cloth-Indoor-Home-Slippers-Ladies-Soft-Warm-Fur-Slides-Flip-Flop-Stylish.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S267e5bda990b40e8b9bb73fd52572c90y.jpg,https://ae04.alicdn.com/kf/S17f82d4a02ca4cb4a503128d7b34a9a74.jpg,https://ae04.alicdn.com/kf/S337490d3efcd478294d7c91f30dae9572.jpg,https://ae04.alicdn.com/kf/Sff219ceac01d406ab380aa2ec2731683M.jpg,https://ae04.alicdn.com/kf/Sd11a4b2b59b242e29748094cd8c39dfb9.jpg,",https://www.aliexpress.com/item/1005003843069904.html,46.92,23.46,20.00%,,50%,https://s.click.aliexpress.com/e/_9769BV
Women's Shoes,200133142,TOPHQWS Retro Women Ballet Flat Shoes 2022 Spring Slip On Women Loafers Elegant Shallow Slip On Mary Jane Shoes Female Loafers,1005003842781262,https://ae01.alicdn.com/kf/Sa25188c34c554cfe965a3576790099f1o/TOPHQWS-Retro-Women-Ballet-Flat-Shoes-2022-Spring-Slip-On-Women-Loafers-Elegant-Shallow-Slip-On.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sa25188c34c554cfe965a3576790099f1o.jpg,https://ae04.alicdn.com/kf/S653ee995424149998d9e37b61103da5bp.jpg,https://ae04.alicdn.com/kf/S9969fe005b9c4e5590817e791e8eb6c79.jpg,https://ae04.alicdn.com/kf/S8368f985aa844f828a9108435d8845acK.jpg,https://ae04.alicdn.com/kf/S40435014bfd7437e8ae055da2ab7d916v.jpg,",https://www.aliexpress.com/item/1005003842781262.html,44.18,21.21,20.00%,,52%,https://s.click.aliexpress.com/e/_Amg0qr
Women's Shoes,200133142,Italian Shoe and Bag Set for Party In Women Matching Elegant Nigerian Yellow Color  Rhinestone Wedding Pumps Ladies Shoes,1005003835017622,https://ae01.alicdn.com/kf/Sc2be476df81a4ecc87bab1618b24fdf9A/Italian-Shoe-and-Bag-Set-for-Party-In-Women-Matching-Elegant-Nigerian-Yellow-Color-Rhinestone-Wedding.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sc2be476df81a4ecc87bab1618b24fdf9A.jpg,https://ae04.alicdn.com/kf/H25341e8d0b3045618776b72e5ef4a140S.jpg,https://ae04.alicdn.com/kf/H4a66e7d9099c4a4a8b14c89a311bc6adR.jpg,https://ae04.alicdn.com/kf/H96cdaeaf6b9647d99ffa30161c0f205bN.jpg,https://ae04.alicdn.com/kf/H9c2b2c7861d74a459e2f40a104136433P.jpg,",https://www.aliexpress.com/item/1005003835017622.html,199.00,63.68,10.00%,,68%,https://s.click.aliexpress.com/e/_ATd2cb
Women's Shoes,200133142,2022 Best Quality Fashion Lady Shoes Factory Wholesale Price Summer Shoes Everyday Casual Flats Crystal Floral Sandals 43,1005003842890760,https://ae01.alicdn.com/kf/Saf5cafb5ab9e4aa6bb395f0a9872ede2S/2022-Best-Quality-Fashion-Lady-Shoes-Factory-Wholesale-Price-Summer-Shoes-Everyday-Casual-Flats-Crystal-Floral.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Saf5cafb5ab9e4aa6bb395f0a9872ede2S.jpg,https://ae04.alicdn.com/kf/Sce23782ab3c7446a863724771c76f5b3g.jpg,https://ae04.alicdn.com/kf/S1d7381c10f0c42448ed6fdff3d647b8fk.jpg,https://ae04.alicdn.com/kf/S79aa3db19df140d895f12a3acafe6165Y.jpg,https://ae04.alicdn.com/kf/Scd78d48bacb54c00a5f486a9f4d5750bP.jpg,",https://www.aliexpress.com/item/1005003842890760.html,119.00,61.88,8.00%,,48%,https://s.click.aliexpress.com/e/_9iM36j
Women's Shoes,200133142,Luxury Rhinestones Dragon Chain Decor Winter Shoes for Women Fluffy Slippers Furry Indoor Slides Open Toe House Sandals Shoes,1005003843175498,https://ae01.alicdn.com/kf/Sa8ee5aab8608465fa235eecd2ceac631l/Luxury-Rhinestones-Dragon-Chain-Decor-Winter-Shoes-for-Women-Fluffy-Slippers-Furry-Indoor-Slides-Open-Toe.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sa8ee5aab8608465fa235eecd2ceac631l.jpg,https://ae04.alicdn.com/kf/S14cb4b245fdd47b8bc5765f2465419330.jpg,https://ae04.alicdn.com/kf/S6fe20e8adea74f1b82dad31fe799c44aX.jpg,https://ae04.alicdn.com/kf/S5fc0766ebf9a41f2b012d6130df86083y.jpg,https://ae04.alicdn.com/kf/Sc60ad12b4ae44dd9a0e1ba1d506cc524f.jpg,",https://www.aliexpress.com/item/1005003843175498.html,46.92,23.46,20.00%,,50%,https://s.click.aliexpress.com/e/_An0Zx9
Women's Shoes,200133142,TOPHQWS 2022 Spring Women Flat Shoes Korean Fashion Elegant Shallow Women Loafers Soft Leather Slip On Female Platform Shoes,1005003842928660,https://ae01.alicdn.com/kf/Sf54d4ae86d4848cbb84032d576b2d89cq/TOPHQWS-2022-Spring-Women-Flat-Shoes-Korean-Fashion-Elegant-Shallow-Women-Loafers-Soft-Leather-Slip-On.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sf54d4ae86d4848cbb84032d576b2d89cq.jpg,https://ae04.alicdn.com/kf/Sbccd05bed9c149419f0cf69ce32d5a39K.jpg,https://ae04.alicdn.com/kf/S63dfd70be6034da9b3d632ab1b7ecb35w.jpg,https://ae04.alicdn.com/kf/Sd1404538841e4fed8892b86da4bac269M.jpg,https://ae04.alicdn.com/kf/S0ce92f9a646944298c83b010f981fbd8F.jpg,",https://www.aliexpress.com/item/1005003842928660.html,44.69,21.45,20.00%,,52%,https://s.click.aliexpress.com/e/_A6VamX
