"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005003078597942","https://ae04.alicdn.com/kf/H904d1cd1d9c9479bb20e4998cf7feb46b.jpg",,"2022 Winter Long Brand Women's Boots Knee High Luxury Chelsea Chunky Platform Shoes Ytmtloy Zipper Round Toe Botines De Mujer","USD 11.41","USD 7.99","30%","USD","7","USD 0.56","56","86.7%","https://s.click.aliexpress.com/e/_DcgnqvZ",,,,,,
"1005004682612368","https://ae04.alicdn.com/kf/S46cece151db84a85a246b3de54a92ea57.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100085381162.mp4","Women's Thicken Plush Waterproof Snow Boots Platform Warm Fur Ankle Boots Woman Winter 2022 Casual Non Slip Cotton Padded Shoes","USD 38.04","USD 20.92","45%","USD","7","USD 1.46","220","95.8%","https://s.click.aliexpress.com/e/_DmRhaRV",,,,,,
"1005004713309477","https://ae04.alicdn.com/kf/Sa2ee45309328473daa1748e381652941A.jpg",,"Autumn Winter Breathable Knitting Sock Boots Women Thigh High Boot Knee High Boots Stretch High Heel Boots 2022 Plus Size Boots","USD 28.88","USD 14.44","50%","USD","10.0","USD 1.44","44","91.4%","https://s.click.aliexpress.com/e/_DexVE2F",,,,,,
"1005004715515740","https://ae04.alicdn.com/kf/Sd2d6f2d7ef914e1380cebf22386b8bcaV.jpg",,"2022 New Snow Women's Boots Keep Warm Fur Ankle Boots Comfortable Winter Women Shoes Outdoor Botas Plus Size 35-45","USD 19.96","USD 9.98","50%","USD","8.0","USD 0.80","46","97.1%","https://s.click.aliexpress.com/e/_DCNhHdd",,,,,,
"1005004680020735","https://ae04.alicdn.com/kf/S4829abd729f146249c79b0bde026ea67K.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100083589010.mp4","Large Size Winter 2022 New Printed Cat Head Fashion European American Warm Snow Boots Women's Platform  Ankle Boots for Women","USD 49.67","USD 24.84","50%","USD","7","USD 1.74","41","81.5%","https://s.click.aliexpress.com/e/_DkJWMPV",,,,,,
"1005004678463892","https://ae04.alicdn.com/kf/Sc7c0afe4021c45969d30d0de6a90ca783.jpg",,"Snow Boots Women's Non-slip Flat-bottom Flock Winter Plus Velvet Thickening Warmth Shoes Inner-increasing Cotton Shoes Women","USD 11.10","USD 7.21","35%","USD","7","USD 0.50","34","88.6%","https://s.click.aliexpress.com/e/_DncynIB",,,,,,
"1005004706334276","https://ae04.alicdn.com/kf/Sce338b52186942c0bf6ad4f1a7f9e31cG.jpg",,"Large Size Women's Boots 2022 Autumn and Winter New Warm Cotton Boots Round Head Rhinestone Fashion Boots Fashion Short Boots","USD 21.98","USD 9.89","55%","USD","7","USD 0.69","23","100.0%","https://s.click.aliexpress.com/e/_DdqYf2R",,,,,,
"4000149480086","https://ae04.alicdn.com/kf/H23df2804d63440be870a394a7a299493f.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/241946775497.mp4","Best Genuine Sheepskin Leather Woman Snow Boots 100% Natural Fur Snow Boots Warm Wool Women's Winter Boots","USD 64.14","USD 44.90","30%","USD","7","USD 3.14","108","98.8%","https://s.click.aliexpress.com/e/_DEZDYLV",,,,,,
"1005003252017812","https://ae04.alicdn.com/kf/Hec6ed838d5fb44aeaa4636a6f1aa6c6fD.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/325575125083.mp4","2022 Warm Plush Cotton Shoes Size 43 Snow Boots Women's High Tube Waterproof Women's Boots Non-slip Winter Boots Botas De Mujer","USD 16.99","USD 9.17","46%","USD","7","USD 0.64","23","86.0%","https://s.click.aliexpress.com/e/_DmvDGAL",,,,,,
"1005004743873602","https://ae04.alicdn.com/kf/S8a5031b589ac4bcca38c06e405b6d6c5R.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100087723313.mp4","Women's Shoes Female Booties Winter 2022 Flat Heeled Keep Warm Plush Cotton Ladies Footwear Outdoor Non-slip Soft Snow Boots","USD 20.50","USD 14.56","29%","USD","8.0","USD 1.16","102","94.7%","https://s.click.aliexpress.com/e/_DktyY7N",,,,,,
"1005004912028996","https://ae04.alicdn.com/kf/S26a8c210cfe2491280c498c1869127f5l.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100096965452.mp4","7.5cm Elevator Shoes Genuine Leather Women Ankle Booties Platform Wedge Hidden Heels Warm Women Autumn Spring Casual Boots Shoes","USD 70.98","USD 35.49","50%","USD","8.0","USD 2.84","29","100.0%","https://s.click.aliexpress.com/e/_DeM4Yzp",,,,,,
"1005004472727132","https://ae04.alicdn.com/kf/Se453d5437a304ca2bd697fe17b259b51m.jpg",,"New Autumn Women's Ankle Boots Female Sexy Pu High Heels Platform Shoes Solid Thick Bottom Ladies Zipper Fashion Short Boot 2022","USD 72.50","USD 31.17","57%","USD","7","USD 2.18","107","94.0%","https://s.click.aliexpress.com/e/_DB1QSZ1",,,,,,
"1005002353360001","https://ae04.alicdn.com/kf/Sad1703c8dbbd424e8b693093a3099e03z.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/346987931581.mp4","2022 Women's Snow Boots Genuine Leather Autumn Winter Flat Heel Daily Shoes Ankle Boots Plus Fur Platform Ladies British Girls","USD 64.10","USD 36.53","43%","USD","7","USD 2.56","951","96.9%","https://s.click.aliexpress.com/e/_De20nHV",,,,,,
"1005004705803064","https://ae04.alicdn.com/kf/Scb89824a6cb54dfd9ede9f7701986a1dJ.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100085282080.mp4","Woman Booties Winter 2022 Female Cotton Shoes Platform Concise Design Non-slip Outside Warm Fluffy Women's Ankle Boots Pink Boot","USD 17.18","USD 12.20","29%","USD","8.0","USD 0.98","118","100.0%","https://s.click.aliexpress.com/e/_DEfHaHh",,,,,,
"1005001696028367","https://ae04.alicdn.com/kf/Hf56de9c35b9a424a9f24ff7b68dd2840k.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/285874138078.mp4","Winter Women's Fluffy Faux Fox Fur Snow Boots Ladies Plush Boots Female Warm Luxury Footwear Girl's Furry Cotton Shoes 2020","USD 16.99","USD 11.38","33%","USD","8.0","USD 0.91","120","94.4%","https://s.click.aliexpress.com/e/_Ddy6HFD",,,,,,
"1005004754336123","https://ae04.alicdn.com/kf/Scb0cb79c96814df897e5caf818c8ea35J.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100088233340.mp4","Rimocy 2022 New Warm Snow Boots for Women Waterproof Women's Winter Boots Thick Bottom Plush Lining Cotton Padded Shoes Woman","USD 28.03","USD 15.42","45%","USD","7","USD 1.08","50","100.0%","https://s.click.aliexpress.com/e/_DlwF5Or",,,,,,
"1005004634802779","https://ae04.alicdn.com/kf/S77878b03c327495992c6dacf45dc46b9j.jpg",,"Women's boots autumn winter high Combat boots women Platform women Lace Up Woman Shoes Winter Biker Ankle Women's military Boots","USD 13.00","USD 6.63","49%","USD","7","USD 0.46","40","95.0%","https://s.click.aliexpress.com/e/_DFH0wSb",,,,,,
"1005004701697956","https://ae04.alicdn.com/kf/S7ff1c160764043fabb455bfa1c0d9192f.jpg",,"Winter Boots for women Warm Botas Mujer leather Fur Snow boots women Top High quality Australia Boots Large size snow boots","USD 15.88","USD 7.94","50%","USD","10.0","USD 0.79","43","86.0%","https://s.click.aliexpress.com/e/_DnF9GL5",,,,,,
"32952874992","https://ae04.alicdn.com/kf/HTB1CMkXaInrK1RkHFrdq6xCoFXax.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/218628087291.mp4","NIUFUNI Over The Knee Women's Boots Autumn And Winter Boots Knit Socks Boots Pointed Flat Shoes Stretch High Boots Size 34-40","USD 45.53","USD 30.51","33%","USD","8.0","USD 2.44","77","94.3%","https://s.click.aliexpress.com/e/_DEZlGUX",,,,,,
"1005004735881879","https://ae04.alicdn.com/kf/S9559b3579f7e4d718bfccc4204df96fdp.jpg",,"Luxury Brand 2023 New Women Thick-soled Thick-heeled Warm Boots Women's Towel Cotton Boots Motorcycle Boots 36-43 Boots Women","USD 11.62","USD 7.32","37%","USD","9.0","USD 0.66","1954","90.9%","https://s.click.aliexpress.com/e/_DeTenSP",,,,,,
"1005003909026027","https://ae04.alicdn.com/kf/S845e9f31986e4293865a781366744aa5i.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100092085615.mp4","AIYUQI  Marton Boots Women Genuine Leather 2023 Autumn Winter New Women Boots Thick-soled Student Casual women's boots","USD 67.80","USD 42.04","38%","USD","8.0","USD 3.36","103","96.0%","https://s.click.aliexpress.com/e/_DnCSXUj",,,,,,
"1005004421426844","https://ae04.alicdn.com/kf/S27e1212aeecb4968844eb1c4dc663df2F.jpg",,"Retro Ankle Boots Square Heel Round Head Zipper Large Size Spring Autumn Women's Roman Fashion  Boots Botas De Mujer","USD 34.65","USD 17.33","50%","USD","7","USD 1.21","37","94.3%","https://s.click.aliexpress.com/e/_DmRHnEX",,,,,,
"1005004806270097","https://ae04.alicdn.com/kf/Sbd04b2a1e7db49869e6cbfdaff2200c4b.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100091053023.mp4","Genuine Leather Woven Ankle Boots Women's Winter Fur Shoes Big Size 42 Designer Plait Chelsea Boots Woman Winter Plush Booties","USD 31.77","USD 15.25","52%","USD","8.0","USD 1.22","23","96.5%","https://s.click.aliexpress.com/e/_DczgScB",,,,,,
"1005004703716215","https://ae04.alicdn.com/kf/S09ca117fabb74d27803315f98195dd5ao.jpg",,"High-top Women's Cotton Shoes 2022 Winter Warm Furry Female Ankle Boots Simple Couple Outdoor Solid Color Platform Snow Boot","USD 24.55","USD 17.43","29%","USD","7","USD 1.22","132","97.5%","https://s.click.aliexpress.com/e/_DePva7z",,,,,,
"1005003443465234","https://ae04.alicdn.com/kf/S1836dbf9875248dfa13b461469bf4006g.jpg",,"Autumn and Winter New Women's Ankle Boots PU Thick-soled Fashion Women's Boots Patent Leather Zipper Casual Women's Short Boots","USD 16.93","USD 11.85","30%","USD","9.5","USD 1.13","24","85.7%","https://s.click.aliexpress.com/e/_DBOJ1yb",,,,,,
"1005004845456929","https://ae04.alicdn.com/kf/Scf1a2f34fab44e9091ae2b9b91755e58h.jpg",,"Baasploa Women's Boots Non-Slip Comfortable Winter Shoes Waterproof Fashion Outdoor Sneakers Keep Warm Female Hiking Shoes","USD 60.66","USD 35.79","41%","USD","7","USD 2.51","53","100.0%","https://s.click.aliexpress.com/e/_Dd3VwAT",,,,,,
"1005003713508854","https://ae04.alicdn.com/kf/Hf64f1004d524411780e0d79679af3b7a0.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/341542528212.mp4","2022 Winter Boots Women Multi-color Snow Boots Thickened Warm And Anti-skid Couple's Boots Plush Waterproof Casual Winter Shoes","USD 47.63","USD 28.58","40%","USD","7","USD 2.00","633","97.5%","https://s.click.aliexpress.com/e/_DBOxABd",,,,,,
"1005004705678555","https://ae04.alicdn.com/kf/Seeb03d36b8d34af39d5cbeb5dcf5ba6bC.jpg",,"Women's Cotton Shoes 2022 Winter Trendy Furry Ankle Boots Non-slip Warm Plush Thick Bottom Platform Chunky Fur Female Snow Boot","USD 20.65","USD 14.66","29%","USD","7","USD 1.03","175","99.0%","https://s.click.aliexpress.com/e/_DCoineJ",,,,,,
"1005004611876352","https://ae04.alicdn.com/kf/S78b93e1b868d462080265aed9990b32bk.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/341542528212.mp4","2023 Winter Boots Women Multi-color Snow Boots Thickened Warm And Anti-skid Couple's Boots Plush Waterproof Casual Winter Shoes","USD 45.61","USD 27.37","40%","USD","7","USD 1.92","68","98.3%","https://s.click.aliexpress.com/e/_DEfvmQj",,,,,,
"1005004809116353","https://ae04.alicdn.com/kf/S167ddd38221c4e008439b9fd4e890787c.jpg",,"Women's Over Knee High Boots Winter 2022 New Thigh Socks Boots Knit Heels Warm Sexy Stilettos Autumn Square Toe Over Knee Boots","USD 32.57","USD 14.98","54%","USD","8.0","USD 1.20","18","100.0%","https://s.click.aliexpress.com/e/_DEfzLDH",,,,,,
"1005003355727777","https://ae04.alicdn.com/kf/Sfd893ec17510412283d54fb13fd27317T.jpg",,"Brand Design Plus Size 43 Black Gothic Cool Punk Motorcycle Boots Women's Platform Boots Wedge High Heels Calf Boots Women Boots","USD 26.47","USD 18.53","30%","USD","9.5","USD 1.76","35","80.0%","https://s.click.aliexpress.com/e/_DC7oGcP",,,,,,
"1005004503085634","https://ae04.alicdn.com/kf/Sa5fd40af873a4ed7acbc1efb295ce515e.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100063313632.mp4","AIYUQI Women's Chelsea Boots Genuine Leather Fashion Fur Winter Boots Women Front Zipper British Style Women's Short Boots","USD 84.19","USD 42.93","49%","USD","8.0","USD 3.43","591","95.8%","https://s.click.aliexpress.com/e/_DcilbDV",,,,,,
"1005002341890480","https://ae04.alicdn.com/kf/H7cc67d3ad0b047ec91a5bcb032286cabg.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/302790178436.mp4","Spring 2021 New cotton socks tube hundreds of high heel boots 16cm hate sky high heel thin over knee-length women's boots","USD 30.00","USD 30.00","0%","USD","11.0","USD 3.30","24","90.0%","https://s.click.aliexpress.com/e/_DmDY4Nh",,,,,,
"1005001835128475","https://ae04.alicdn.com/kf/Hbbfb9c4194354ec68ee604542e38dfc4G.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/341959507607.mp4","New 2022 women winter boots thicken fur snow boots women's leather shoes soft high top winter shoes ladies non-slip boots","USD 49.65","USD 36.24","27%","USD","7","USD 2.54","49","95.7%","https://s.click.aliexpress.com/e/_Dd0Q9Ux",,,,,,
"1005004553371098","https://ae04.alicdn.com/kf/Sc836f296593640fc95a4ed9f8155686fs.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100069321534.mp4","MORAZORA Genuine Leather Boots Women Dubble Zip Ankle Boots Lace Up Autumn Winter Brown Black Women's Boots Size 35-41","USD 76.60","USD 40.60","47%","USD","7","USD 2.84","66","100.0%","https://s.click.aliexpress.com/e/_DmawwbV",,,,,,
"4000262845995","https://ae04.alicdn.com/kf/H84bc7f2b5d1843bfa4255cfc2e7271c4O.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/285708001942.mp4","JIANBUDAN/ Genuine Leather Plush women's short Boots Retro Casual Autumn Winter Women's Boots Waterproof leather warm Snow boots","USD 51.99","USD 25.48","51%","USD","7","USD 1.78","405","97.0%","https://s.click.aliexpress.com/e/_DCdmAkr",,,,,,
