"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005004559748353","https://ae04.alicdn.com/kf/S21f24dec46104630acaf93e3b3476d52l.jpg",,"2022  New Autumn Punk Style High Heels Shoes  Fashion Comfortable Platform Women's Shoes  Kawaii Cute Cosplay Mary Janes","USD 31.77","USD 19.06","40%","USD","7","USD 1.33","1","20.0%","https://s.click.aliexpress.com/e/_DF7Pwzp",,,,,,
"1005004262899420","https://ae04.alicdn.com/kf/S125c0f5a06ad40d5a949f7cbecb05ae4u.jpg",,"Thick-soled 2022 Summer New Women's Casual Shoes High Heel Pumps Non-slip Fashionable Breathable Outsole Round Toe Platform","USD 22.79","USD 15.95","30%","USD","10.0","USD 1.60","0","null%","https://s.click.aliexpress.com/e/_DEP1jAR",,,,,,
"1005004144480588","https://ae04.alicdn.com/kf/S9123423a5d1945ee924c30f31269521bl.jpg",,"Free Shipping Women's Shoes Footwear All-Match British Style Shallow Mouth Beaded Loafers With Black Flats Round Toe Oxfords","USD 39.42","USD 39.42","0%","USD","20.0","USD 7.88","0","null%","https://s.click.aliexpress.com/e/_DdoDx3v",,,,,,
"1005002773372037","https://ae04.alicdn.com/kf/Hf82d4b69dd09482db47b0314dd22ee42e.jpg",,"ROYYNA 2021 New Designers Women's Pointed Toe Sexy Thin High Heels Shoes Ladies Elegant Pump Woman Office Dress Work Footwear","USD 48.07","USD 28.84","40%","USD","8.0","USD 2.31","2","100.0%","https://s.click.aliexpress.com/e/_DBLLS1t",,,,,,
"1005005071952259","https://ae04.alicdn.com/kf/S855cff7a3dcd45c9af5a2a8262362cbcC.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100110402005.mp4","2023 New Solid Color Women's Shoes Pointed Toe Shallow High Heels Women Bow Female Sandals Fashion Mary Jane Shoes Zapatos Mujer","USD 26.00","USD 13.00","50%","USD","7","USD 0.91","0","null%","https://s.click.aliexpress.com/e/_DEfsdHN",,,,,,
"1005005055115522","https://ae04.alicdn.com/kf/S689d92e42db349dba7fa11639924576bE.jpg",,"Elegant Office Shoe Woman 2023 Spring High Heels Pumps Red Pink White Women's Heels Party Office Wedding Shoes Female Large Size","USD 47.65","USD 24.78","48%","USD","7","USD 1.73","0","null%","https://s.click.aliexpress.com/e/_DlgT0hh",,,,,,
"1005004311847119","https://ae04.alicdn.com/kf/S85ae3b5c273f4c9389b9b38105b9cdb1y.jpg",,"Bow Women's shoes on Heels Patent Leather Women Platform Pumps Spring Shallow Mouth Shoe Round Toe Shoes for Women high heels","USD 40.28","USD 25.38","37%","USD","7","USD 1.78","2","null%","https://s.click.aliexpress.com/e/_Dm6ZvT1",,,,,,
"1005004704791532","https://ae04.alicdn.com/kf/S986294d83b4443e9b07c72025cf2f02aD.jpg",,"2023 New Office Women's Pumps Pointed Toe Slip-On Thin High Heels Brightness Patent Leather Party Wedding Heels Women Shoes 45","USD 12.62","USD 8.83","30%","USD","7","USD 0.62","0","null%","https://s.click.aliexpress.com/e/_DC1nGP9",,,,,,
"1005004955635813","https://ae04.alicdn.com/kf/S7703753f0841475d8965c111c423adcbj.jpg",,"Women's High Heels Shoes Solid Silk Design Pointed Toe Pumps Women Super High Heel Ladies Shoes New Arrival Womens Shoes","USD 22.02","USD 15.41","30%","USD","8.0","USD 1.23","0","null%","https://s.click.aliexpress.com/e/_DeMVLTt",,,,,,
"1005003983357866","https://ae04.alicdn.com/kf/See5d469b2d244cd490598a725e2bbc3di.jpg",,"Women's High Heels Multicolor Pointed Sandals 2022 Spring Daily Commuter Banquet PU Leather Pumps Women Pure Color Fashion Shoes","USD 38.37","USD 17.27","55%","USD","13.0","USD 2.25","4","70.0%","https://s.click.aliexpress.com/e/_DenVjVl",,,,,,
"1005003965545540","https://ae04.alicdn.com/kf/S13d2a45a1a8f452cb5a684ead52b2b692.jpg",,"2021 New Women's Shoes Pointed Toe Shallow Nude Pink Diamond Shoes Low Heel Back Strappy Shoes Women Mujer Bombas","USD 11.98","USD 8.39","30%","USD","10.0","USD 0.84","0","null%","https://s.click.aliexpress.com/e/_DkJxLmf",,,,,,
"1005005096610909","https://ae04.alicdn.com/kf/Sd7090b3c8e674f40b34682bfeb3de437v.jpg",,"Sexy Stiletto High Heels 2023 Summer New Rhinestone Pointed Toe Dress Banquet Mules Fashion Black Comfort Wedding Women's Pumps","USD 19.80","USD 10.10","49%","USD","7","USD 0.71","0","null%","https://s.click.aliexpress.com/e/_DdqzAaF",,,,,,
"1005005064426054","https://ae04.alicdn.com/kf/S87bb95dacb3c4a9c85ad2c581d24e305Z.jpg",,"Gladiator Women's Sandals Buckle Strap Woman Chunky Heels Peep Toe Ladies Casual Shoes Female Summer Autumn Fashion Sandals 43","USD 8.33","USD 5.83","30%","USD","7","USD 0.41","0","null%","https://s.click.aliexpress.com/e/_DkWd8gn",,,,,,
"1005004392444372","https://ae04.alicdn.com/kf/S287d70b7c8e546f6b4b1dd08388c7a446.jpg",,"2022 New Brand Women Platform Wedges Lolita Shoes Cosplay Lolita Japanese Women's Pumps Kawaii Angel Bat Pumps Student Shoes","USD 22.80","USD 11.63","49%","USD","7","USD 0.81","16","85.0%","https://s.click.aliexpress.com/e/_DdqH5AB",,,,,,
"1005004542871069","https://ae04.alicdn.com/kf/S90d93957e08846fba88ab121f74818d1d.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100068070083.mp4","QSGFC 2022 Latest Colorful Glitter and Diamond Butterfly Design Accessories Women's Shoes and Bags Set Pink Color","USD 90.99","USD 60.96","33%","USD","7","USD 4.27","12","100.0%","https://s.click.aliexpress.com/e/_DEj3a2L",,,,,,
"1005004716804025","https://ae04.alicdn.com/kf/Sd07bb96f7bd94de0bf398cfc666a1d59T.jpg",,"Women's Vulcanized Shoes 2022 Motorcycle Boots Black Mesh Buckle Wedges Platform Boots Punk Goth Casual Big Size 43 Women Shoes","USD 33.30","USD 14.98","55%","USD","7","USD 1.05","1","null%","https://s.click.aliexpress.com/e/_DkQYjYx",,,,,,
"1005004568454097","https://ae04.alicdn.com/kf/Sa348b6bce2a54a398fc98982bbf510c3i.jpg",,"2022 Spring New Gentle Lady Style Single Shoes Mary Jane Shallow Mouth Platform High Heels Fairy Style Thick Heel Women's Shoes","USD 31.34","USD 31.34","0%","USD","7","USD 2.19","0","null%","https://s.click.aliexpress.com/e/_DnFQWRN",,,,,,
"1005004173586141","https://ae04.alicdn.com/kf/Sc474366de9f145c19db9b58d33a934b6Y.jpg",,"2022 Genuine Leather V Brand Willow Nail Fashion Classics Pumps Stilettos Point Toes women's Party  Wedding High Heels Shoes","USD 109.00","USD 109.00","0%","USD","8.0","USD 8.72","120","95.0%","https://s.click.aliexpress.com/e/_DE1PPyx",,,,,,
"1005003509665134","https://ae04.alicdn.com/kf/Hdf9098d4a96c4c02855d15294341b318i.jpg",,"Italian Design Mature Women's Shoes And Bags Matching Comfortable Low-Heel Mother Type Shoes Wedding Banquet Shoes And Bags Set","USD 82.99","USD 58.09","30%","USD","7","USD 4.07","6","100.0%","https://s.click.aliexpress.com/e/_Ddo70OF",,,,,,
"1005005088358233","https://ae04.alicdn.com/kf/S8839ca272b44406e931a76bfc8717f31h.jpg",,"2022 Spring and Autumn New Women Shoe Pumps High Heels Women's Fashion Metal Pointed Toe Stiletto Sexy Girls Banquet Shoes Women","USD 20.40","USD 10.40","49%","USD","7","USD 0.73","0","null%","https://s.click.aliexpress.com/e/_Dk8H35N",,,,,,
"1005004671247420","https://ae04.alicdn.com/kf/S92f3984164234fc39a059e4b10facbf0m.jpg",,"2022 New Women's Pumps Spring Autumn Casual High Heels PU Shoes Party Sexy Ladies Thick Heels Platform Nightclub Pumps Plus Size","USD 27.29","USD 27.29","0%","USD","8.0","USD 2.18","0","null%","https://s.click.aliexpress.com/e/_DDGs9Ft",,,,,,
"1005005101489923","https://ae04.alicdn.com/kf/Se6c3379b70754fab94ce29c375ce7a42n.jpg",,"Lace Up Small Leather Shoes Women's Spring and Autumn 2022 New Versatile Retro British Style Thick Soled Thick Heel Single Shoes","USD 21.20","USD 10.81","49%","USD","7","USD 0.76","0","null%","https://s.click.aliexpress.com/e/_DeWl6oJ",,,,,,
"1005004231269856","https://ae04.alicdn.com/kf/Sbb05c843f7ae4b0fb625380c87738d37B.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100020271708.mp4","V Brand Women Pumps Pointed Toe Party High Heels For Women Sexy Ladies Pumps Shoes Dress Party Wedding Shoes Women Pumps Summer","USD 49.45","USD 26.71","46%","USD","7","USD 1.87","19","80.0%","https://s.click.aliexpress.com/e/_DDGMv4L",,,,,,
"1005004218876771","https://ae04.alicdn.com/kf/Sb2987fa573664a18a0acf55517c02aa3v.jpg",,"Square Head Metal Chain Candy Color Women's Shoes 2022 Spring and Autumn Shallow Mouth Thick High-heeled Women's Shoes Baotou","USD 28.80","USD 14.40","50%","USD","8.0","USD 1.15","2","null%","https://s.click.aliexpress.com/e/_DlBKKmF",,,,,,
