Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Women's Sleep & Lounge,200001894,Velvet Nightgown Robe Pajama Set Woman 3 Pieces Women's Nightwear Sexy Lace Patchwork Suits With Shorts Knitting Sleepwear Women,1005003058581511,https://ae01.alicdn.com/kf/H6fd1da802a60426389b40729b7cf1f72r/Velvet-Nightgown-Robe-Pajama-Set-Woman-3-Pieces-Women-s-Nightwear-Sexy-Lace-Patchwork-Suits-With.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H6fd1da802a60426389b40729b7cf1f72r.jpg,https://ae04.alicdn.com/kf/Hcbeef3cd095f4b13a276dd478aa116eeh.jpg,https://ae04.alicdn.com/kf/H771456d205414c97abbffbe687818bed9.jpg,https://ae04.alicdn.com/kf/H7dd79ca11f2e43f2a84967bc550f1a30G.jpg,https://ae04.alicdn.com/kf/H3fa3712b1f22462097af7f75ddc8deef7.jpg,",https://www.aliexpress.com/item/1005003058581511.html,42.80,24.40,10.00%,,43%,https://s.click.aliexpress.com/e/_9hmQaA
Women's Sleep & Lounge,200001894,2021 New Fashion Polyester Cotton Long-sleeve Trousers Ladies Long Pajamas Suit Simple Style Women's Home Service Pyjamas Set,1005003765323623,https://ae01.alicdn.com/kf/H088f4eb4a9974221aa3b9cd5e409699ar/2021-New-Fashion-Polyester-Cotton-Long-sleeve-Trousers-Ladies-Long-Pajamas-Suit-Simple-Style-Women-s.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H088f4eb4a9974221aa3b9cd5e409699ar.jpg,https://ae04.alicdn.com/kf/Ha796b0e98c314a2590aba5e54904fe58z.jpg,https://ae04.alicdn.com/kf/Hc9ee095c09bd447fad00991749cf66f0w.jpg,https://ae04.alicdn.com/kf/H1bb5546bdbfe45189c1cf897f5d706d6j.jpg,https://ae04.alicdn.com/kf/Hde29a9350df1466685c182485814013b9.jpg,",https://www.aliexpress.com/item/1005003765323623.html,43.00,22.36,9.00%,,48%,https://s.click.aliexpress.com/e/_A1wESQ
Women's Sleep & Lounge,200001894,Animal Print Trouser Suits/Suits With Shorts Turn Down Collar Pajama Feminino Summer Nightwear Set Woman 2 Pieces Nightie Pajama,1005002871252010,https://ae01.alicdn.com/kf/H703302baa05a407599a25ca9f47e534dw/Animal-Print-Trouser-Suits-Suits-With-Shorts-Turn-Down-Collar-Pajama-Feminino-Summer-Nightwear-Set-Woman.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H703302baa05a407599a25ca9f47e534dw.jpg,https://ae04.alicdn.com/kf/H84fff11db1414c89bb14994309773cb4L.jpg,https://ae04.alicdn.com/kf/Hd0bdd6554fe1431b93ca246edbc2fdeaY.jpg,https://ae04.alicdn.com/kf/H19708d716a6c44f9849b47a18a4ee909k.jpg,https://ae04.alicdn.com/kf/H907a398e32d542b292fe72998cf7261bh.jpg,",https://www.aliexpress.com/item/1005002871252010.html,29.50,16.81,10.00%,,43%,https://s.click.aliexpress.com/e/_9JQUVy
Women's Sleep & Lounge,200001894,Vintage Royal Delicate female's Long Sleepwear Long Sleeve Elegant Generous Princess Gauze Modal Loose Nightgowns Holiday Dress,1005003594637962,https://ae01.alicdn.com/kf/H99f190c06322488f9b320b693c3e9775B/Vintage-Royal-Delicate-female-s-Long-Sleepwear-Long-Sleeve-Elegant-Generous-Princess-Gauze-Modal-Loose-Nightgowns.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H99f190c06322488f9b320b693c3e9775B.jpg,https://ae04.alicdn.com/kf/Hcef7c4d1501549a98da040c387e6cdf0Q.jpg,https://ae04.alicdn.com/kf/H295383f9b6a54a5caf556cc9785b1c4ca.jpg,https://ae04.alicdn.com/kf/H1498b5bc7f0f4334b28aef699ba5af2f0.jpg,https://ae04.alicdn.com/kf/Hb8b8921390f74d1699a0c986ca2cfeb8x.jpg,",https://www.aliexpress.com/item/1005003594637962.html,99.00,49.50,8.00%,,50%,https://s.click.aliexpress.com/e/_AeHi2e
Women's Sleep & Lounge,200001894,Women's Pajamas He Sui Same lLarge V Jacquard Lace Up Imitation Ice Silk Pajamas Long Sleeve Trousers Set Home Clothes Set,1005003765647167,https://ae01.alicdn.com/kf/Hed7abc6608444d2c955956a5854b622c6/Women-s-Pajamas-He-Sui-Same-lLarge-V-Jacquard-Lace-Up-Imitation-Ice-Silk-Pajamas-Long.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hed7abc6608444d2c955956a5854b622c6.jpg,https://ae04.alicdn.com/kf/H6ac3a011283142e69e963921c959d948A.jpg,https://ae04.alicdn.com/kf/H9c3e5b2b029748009ecfaa90330c4684o.jpg,https://ae04.alicdn.com/kf/Hbcc48e1afdf341c383dcc5fd30d78944m.jpg,https://ae04.alicdn.com/kf/Hf62d081b2cc2499db900eeac087788f4c.jpg,",https://www.aliexpress.com/item/1005003765647167.html,38.00,23.18,20.00%,,39%,https://s.click.aliexpress.com/e/_AY7fCm
Women's Sleep & Lounge,200001894,Restve Loose Sleepwear Female 2 Piece Set Satin Turn Down Collar Long Sleeve Tops Solid Casual Women Sets With Pants Autumn 2021,1005003435221198,https://ae01.alicdn.com/kf/Hc1d54ad744164f3db906e53af8614156r/Restve-Loose-Sleepwear-Female-2-Piece-Set-Satin-Turn-Down-Collar-Long-Sleeve-Tops-Solid-Casual.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc1d54ad744164f3db906e53af8614156r.jpg,https://ae04.alicdn.com/kf/H8f277e42e52e4bfda25420063db75fd6i.jpg,https://ae04.alicdn.com/kf/H36c842afe0b243bca367221277c6fd60i.jpg,https://ae04.alicdn.com/kf/H93ac70d53b6b4bd2a2002c937ba33cc4X.jpg,https://ae04.alicdn.com/kf/H3685a5970f694ab2ae199b65c06b02d4V.jpg,",https://www.aliexpress.com/item/1005003435221198.html,41.26,16.50,8.00%,,60%,https://s.click.aliexpress.com/e/_9QgFFk
Women's Sleep & Lounge,200001894,100% Viscose Long Sleeve Turn-down Collar Blue Dot White female's Pajama Sets Long Pants Loose Sleepwear Spring Autumn Pyjamas,1005003594653889,https://ae01.alicdn.com/kf/Hf0f2a19525384f17b110ac7c9f9e1784V/100-Viscose-Long-Sleeve-Turn-down-Collar-Blue-Dot-White-female-s-Pajama-Sets-Long-Pants.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf0f2a19525384f17b110ac7c9f9e1784V.jpg,https://ae04.alicdn.com/kf/H19560c4943cd421da78f66b57ca2c0a9a.jpg,https://ae04.alicdn.com/kf/H89df727e9b5d4693a25d0b7e87e7c12cm.jpg,https://ae04.alicdn.com/kf/H3181c0c901034aaaac1ef05a26be7903r.jpg,https://ae04.alicdn.com/kf/H8018d341a6a74b9bae499de665dbb421h.jpg,",https://www.aliexpress.com/item/1005003594653889.html,67.00,33.50,8.00%,,50%,https://s.click.aliexpress.com/e/_A1ole6
Women's Sleep & Lounge,200001894,Winter Coral Velvet Thickened Pajamas Womens Autumn Velvet Long Robe Cute Cartoon Facecloth Can Be Worn Outside The Home Clothes,1005003760847785,https://ae01.alicdn.com/kf/Sa9a49293783c45ac9f4649636fa35151m/Winter-Coral-Velvet-Thickened-Pajamas-Womens-Autumn-Velvet-Long-Robe-Cute-Cartoon-Facecloth-Can-Be-Worn.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sa9a49293783c45ac9f4649636fa35151m.jpg,https://ae04.alicdn.com/kf/Sea862c68bd8d4b18a88c726e822365f6O.jpg,https://ae04.alicdn.com/kf/S00c6f47d1e52478c834ad23fcb4dc2b84.jpg,https://ae04.alicdn.com/kf/S6b8a7e5f8a7a4547a04a6883cbe1c295z.jpg,https://ae04.alicdn.com/kf/S49bf07a7d23a42a099d3c76ae993048bC.jpg,",https://www.aliexpress.com/item/1005003760847785.html,57.56,34.54,8.00%,,40%,https://s.click.aliexpress.com/e/_9fJdCe
Women's Sleep & Lounge,200001894,Fashion Soft Viscose female's Long Sleeve Pajama Sets Vintage Print V-neck Sleepwear Spring Autumn Loose Casual Pajamas,1005003594714752,https://ae01.alicdn.com/kf/Hacc970fc7b074459bad1e5a1f3647c9f6/Fashion-Soft-Viscose-female-s-Long-Sleeve-Pajama-Sets-Vintage-Print-V-neck-Sleepwear-Spring-Autumn.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hacc970fc7b074459bad1e5a1f3647c9f6.jpg,https://ae04.alicdn.com/kf/Ha130dc5ff9de4244adfdbfac2a157fffy.jpg,https://ae04.alicdn.com/kf/H76bbed23597f4796a9a4e24c73927a60P.jpg,https://ae04.alicdn.com/kf/Hefb688f0852143248b7bef25e4753ef5V.jpg,https://ae04.alicdn.com/kf/Hdf60d3fa55a248ad83793b241f05e5c2F.jpg,",https://www.aliexpress.com/item/1005003594714752.html,68.80,34.40,8.00%,,50%,https://s.click.aliexpress.com/e/_9zKooS
Women's Sleep & Lounge,200001894,New Sleepwear Cartoon Cotton Pajamas for Women Long Pants  Long Sleeve Spring Autumn Loungewear Fashion Home Clothing Homewear,1005003765364776,https://ae01.alicdn.com/kf/H4df12b1a33174df29b2d0c7c9bd5010do/New-Sleepwear-Cartoon-Cotton-Pajamas-for-Women-Long-Pants-Long-Sleeve-Spring-Autumn-Loungewear-Fashion-Home.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H4df12b1a33174df29b2d0c7c9bd5010do.jpg,https://ae04.alicdn.com/kf/H79498c29d54d4249bbdf19077ce7915dF.jpg,https://ae04.alicdn.com/kf/H9cc55f5e727a4f409e05eeb7e16e3759X.jpg,https://ae04.alicdn.com/kf/Hfac1bfe4d31c48649d8298666bc71883L.jpg,https://ae04.alicdn.com/kf/H7d9a1e3ab10a470880b4b383103b2e7aU.jpg,",https://www.aliexpress.com/item/1005003765364776.html,43.00,22.36,9.00%,,48%,https://s.click.aliexpress.com/e/_A4szKS
Women's Sleep & Lounge,200001894,Long Section Warm Facecloth Large Size Pajamas Thickened Padded Nightgown Female Autumn and Winter Sleepwear Women Sleep Dress,1005003760862572,https://ae01.alicdn.com/kf/S72834e7984a740e9ac1f010dfce150736/Long-Section-Warm-Facecloth-Large-Size-Pajamas-Thickened-Padded-Nightgown-Female-Autumn-and-Winter-Sleepwear-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S72834e7984a740e9ac1f010dfce150736.jpg,https://ae04.alicdn.com/kf/Sae6860d5671f4f908e42e4ed8d0e75a8C.jpg,https://ae04.alicdn.com/kf/S01defe63f90140cea15fff112ef294283.jpg,https://ae04.alicdn.com/kf/S6d50633d562d4d42a8b8b22e284c058aW.jpg,https://ae04.alicdn.com/kf/Sda23706c9227489cbae499408af7a0701.jpg,",https://www.aliexpress.com/item/1005003760862572.html,30.09,18.05,8.00%,,40%,https://s.click.aliexpress.com/e/_AfN57M
Women's Sleep & Lounge,200001894,Vintage White Cotton female's Long Nightgowns  Long Sleeve Loose Sleepwear Elegant Female Night Dress Home Wear,1005003594724932,https://ae01.alicdn.com/kf/Hdd5f1b832a814a2bb2f32dc7ff7e13b7l/Vintage-White-Cotton-female-s-Long-Nightgowns-Long-Sleeve-Loose-Sleepwear-Elegant-Female-Night-Dress-Home.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hdd5f1b832a814a2bb2f32dc7ff7e13b7l.jpg,https://ae04.alicdn.com/kf/H4efd532a5deb4278a84568d552b5934bo.jpg,https://ae04.alicdn.com/kf/H58d6db79e427410d83b043a419878ebc6.jpg,https://ae04.alicdn.com/kf/H53b2d4bac9b241a9a4f3a61a0bee679cH.jpg,https://ae04.alicdn.com/kf/H8eaea558d1fb4835b7ace3cfa2f2dd42T.jpg,",https://www.aliexpress.com/item/1005003594724932.html,99.00,49.50,8.00%,,50%,https://s.click.aliexpress.com/e/_9J4XDY
