"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1119011,"Women Casual Loose Bowknot Long Sleeve Solid Color Shirt Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/C2/9C/84297e42-ed56-4257-8fbe-0bf89a3db395.jpg,https://www.banggood.com/Women-Casual-Loose-Bowknot-Long-Sleeve-Solid-Color-Shirt-Dress-reviews-p1119011.html,US$27.59,US$1.1,https://www.banggood.com/Women-Casual-Loose-Bowknot-Long-Sleeve-Solid-Color-Shirt-Dress-p-1119011.html?p=4T181370308054202203&custlinkid=1798493
1206619,"Women Sleeveless Strappy Casual Loose Pure Color Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/91/01/55eb1298-8ae9-4dba-ab65-dd3e93dc24f3.jpeg,https://www.banggood.com/Women-Sleeveless-Strappy-Casual-Loose-Pure-Color-Dress-reviews-p1206619.html,US$20.78,US$0.83,https://www.banggood.com/Women-Sleeveless-Strappy-Casual-Loose-Pure-Color-Dress-p-1206619.html?p=4T181370308054202203&custlinkid=1798494
1213032,"White Lace Hollow Out Design High Neck Off Shoulder Sleeveless Dress",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/06/FC/d9f9776a-5fe0-4576-8dfd-50276f3646b2.jpg,https://www.banggood.com/White-Lace-Hollow-Out-Design-High-Neck-Off-Shoulder-Sleeveless-Dress-reviews-p1213032.html,US$32.33,US$1.29,https://www.banggood.com/White-Lace-Hollow-Out-Design-High-Neck-Off-Shoulder-Sleeveless-Dress-p-1213032.html?p=4T181370308054202203&custlinkid=1798495
1294710,"Women Vintage Retro Short Sleeve Cotton Floral Maxi Dress",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/C2/0D/2e93ae15-f7a6-45d6-bd16-95ddf61c8bb2.jpg,https://www.banggood.com/Women-Vintage-Retro-Short-Sleeve-Cotton-Floral-Maxi-Dress-reviews-p1294710.html,US$20.78,US$0.83,https://www.banggood.com/Women-Vintage-Retro-Short-Sleeve-Cotton-Floral-Maxi-Dress-p-1294710.html?p=4T181370308054202203&custlinkid=1798496
1294711,"Women Vintage V Neck Short Sleeve Cotton Maxi Dress",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/1C/55/4530fb26-cdc5-4f2a-8528-d4c84e7d3ccd.jpg,https://www.banggood.com/Women-Vintage-V-Neck-Short-Sleeve-Cotton-Maxi-Dress-reviews-p1294711.html,US$28.74,US$1.15,https://www.banggood.com/Women-Vintage-V-Neck-Short-Sleeve-Cotton-Maxi-Dress-p-1294711.html?p=4T181370308054202203&custlinkid=1798497
1498429,"Half Sleeve O-neck Pleated Floral Print Vintage Maxi Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/CE/A9/8d4a1128-7cf8-4e57-837e-35f9f1015499.jpg,https://www.banggood.com/Half-Sleeve-O-neck-Pleated-Floral-Print-Vintage-Maxi-Dress-reviews-p1498429.html,US$28.86,US$1.15,https://www.banggood.com/Half-Sleeve-O-neck-Pleated-Floral-Print-Vintage-Maxi-Dress-p-1498429.html?p=4T181370308054202203&custlinkid=1798498
1563476,"High Low Split Casual Midi Dress",https://imgaz2.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/DD/55/5f686d89-149c-4e6e-9d15-c88fc453bae5.jpg,https://www.banggood.com/High-Low-Split-Casual-Midi-Dress-reviews-p1563476.html,"US$26.99 ~ US$28.99",US$1.11,https://www.banggood.com/Women-Long-Sleeve-High-Low-Split-Casual-Midi-Print-Dress-p-1563476.html?p=4T181370308054202203&custlinkid=1798499
1694856,"Casual Solid Color Sling Sleeveless Denim Maxi Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/6E/1E/2b3689b3-0c66-4914-84fa-5f3ed87ddc5c.jpg,https://www.banggood.com/Casual-Solid-Color-Sling-Sleeveless-Denim-Maxi-Dress-reviews-p1694856.html,US$7.99,US$0.32,https://www.banggood.com/Casual-Solid-Color-Sling-Sleeveless-Denim-Maxi-Dress-p-1694856.html?p=4T181370308054202203&custlinkid=1798500
1707173,"Solid Color Irregular Hem Strap Design Casual Loose Dress",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/93/5E/0c426c21-09fa-4864-8d84-154d664fd67c.jpg,https://www.banggood.com/Solid-Color-Irregular-Hem-Strap-Design-Casual-Loose-Dress-reviews-p1707173.html,US$23.09,US$0.92,https://www.banggood.com/Solid-Color-Irregular-Hem-Strap-Design-Casual-Loose-Dress-p-1707173.html?p=4T181370308054202203&custlinkid=1798501
1795865,"Women Ethnic Abstract Print Long Sleeve Bohemian Maxi Dress",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/64/63/9d52ff44-c2e2-4565-9e54-d0187be61a2f.jpg,https://www.banggood.com/Women-Ethnic-Abstract-Print-Long-Sleeve-Bohemian-Maxi-Dress-reviews-p1795865.html,US$28.86,US$1.15,https://www.banggood.com/Women-Ethnic-Abstract-Print-Long-Sleeve-Bohemian-Maxi-Dress-p-1795865.html?p=4T181370308054202203&custlinkid=1798502
