Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
Jeans,200000361,Women Jeans 2022 Autumn Winter Fashion Streetwear Denim Casual Low Waist Loose Straight Pants White Vintage Baggy Jeans,1005003784054337,https://ae01.alicdn.com/kf/S9fe4b987943e4f7f9a23a00294578b55y/Women-Jeans-2022-Autumn-Winter-Fashion-Streetwear-Denim-Casual-Low-Waist-Loose-Straight-Pants-White-Vintage.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S9fe4b987943e4f7f9a23a00294578b55y.jpg,https://ae04.alicdn.com/kf/Sd991922f06ed4e87be7f305b262d0142Z.jpg,https://ae04.alicdn.com/kf/S9317bd9f2ce346eebe0787c3b68f44eaf.jpg,https://ae04.alicdn.com/kf/Sed8ad69d9dc943f1ba01b4d2d82f7229U.jpg,https://ae04.alicdn.com/kf/S0618125772ee46a78053479307003d96H.jpg,",https://www.aliexpress.com/item/1005003784054337.html,297.85,297.85,10.00%,,0%,https://s.click.aliexpress.com/e/_98gfuB
Jeans,200000361,2021 New Spring Summer Women Jeans Fashion Casual Straight Hihg street Loose Oversize female trousers Long pants Denim jeans,1005002129614692,https://ae01.alicdn.com/kf/Hf23a9d60710244be86da959931335511b/2021-New-Spring-Summer-Women-Jeans-Fashion-Casual-Straight-Hihg-street-Loose-Oversize-female-trousers-Long.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hf23a9d60710244be86da959931335511b.jpg,https://ae04.alicdn.com/kf/Hd6d9d9e3c15d4dae9f9f6e1bc13018092.jpg,https://ae04.alicdn.com/kf/Hdba0a64250b64de4947503aab79d4bf4M.jpg,https://ae04.alicdn.com/kf/Ha652253ecc574b7aac097a045c4bceb5z.jpg,https://ae04.alicdn.com/kf/Hcb7fe6ff665c46afbd9ac2f3eec6a3fbX.jpg,",https://www.aliexpress.com/item/1005002129614692.html,273.92,126.00,9.00%,,54%,https://s.click.aliexpress.com/e/_9vXzUn
Jeans,200000361,Woman Jeans Pants 2022 Spring Elastic Waist Jeans Women High Waist Ankle Length Jogger Pants Women Casual Jeans,1005003776986667,https://ae01.alicdn.com/kf/S49a6ed2d18424b3db2aad0a9bed1ff19H/Woman-Jeans-Pants-2022-Spring-Elastic-Waist-Jeans-Women-High-Waist-Ankle-Length-Jogger-Pants-Women.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/S49a6ed2d18424b3db2aad0a9bed1ff19H.jpg,https://ae04.alicdn.com/kf/S2d7a8bd2befd4bb7a1709872d6c11f4es.jpg,https://ae04.alicdn.com/kf/Sded4b2460e2a40f4b6a63d46ef14d1c6C.jpg,https://ae04.alicdn.com/kf/Sa6663ddd8bb54585865d3c5f0f624a11B.jpg,https://ae04.alicdn.com/kf/S4c1a1a1e06614e1ea4b421319af6ad07Y.jpg,",https://www.aliexpress.com/item/1005003776986667.html,226.55,135.93,10.00%,,40%,https://s.click.aliexpress.com/e/_ANNwKr
Jeans,200000361,2022 Spring New Casual Blue Jeans Women Slim Jeans 5 Colors Pencil Pants Women Sexy Solid All-match Jeans,1005003777075244,https://ae01.alicdn.com/kf/Sc8c7cdbf1624456ba86ad81665d11a17c/2022-Spring-New-Casual-Blue-Jeans-Women-Slim-Jeans-5-Colors-Pencil-Pants-Women-Sexy-Solid.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sc8c7cdbf1624456ba86ad81665d11a17c.jpg,https://ae04.alicdn.com/kf/S711fadc049d445f9b57828142894e2a9J.jpg,https://ae04.alicdn.com/kf/S3eea97c79edd426b8b29b2814197eff0v.jpg,https://ae04.alicdn.com/kf/S0b3bb99be828453385a1b04f6642e9acp.jpg,https://ae04.alicdn.com/kf/Sbf56fc39283842478559785ee0ae6f75q.jpg,",https://www.aliexpress.com/item/1005003777075244.html,323.15,193.89,10.00%,,40%,https://s.click.aliexpress.com/e/_98eiLh
Jeans,200000361,Shrink Resistant  Fashion Retro Straight Denim Pants Winter Denim Pants High Waist   for Dating,1005003194659300,https://ae01.alicdn.com/kf/H255c96356dc846c1ad1c1264bc3eab67E/Shrink-Resistant-Fashion-Retro-Straight-Denim-Pants-Winter-Denim-Pants-High-Waist-for-Dating.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H255c96356dc846c1ad1c1264bc3eab67E.jpg,https://ae04.alicdn.com/kf/Hadad312dc54249d3994687b98884fff9Q.jpg,https://ae04.alicdn.com/kf/Hc1bc8b2b6fb642dfbb3279d7157d57a3W.jpg,https://ae04.alicdn.com/kf/Hc3f8e816ece8420c8ddc0140fa91ff36M.jpg,https://ae04.alicdn.com/kf/H628589289f4c4f76a343c10afdceee1ce.jpg,",https://www.aliexpress.com/item/1005003194659300.html,15.04,8.42,9.00%,,44%,https://s.click.aliexpress.com/e/_Anwfpv
Jeans,200000361,2021 Spring New Women Jeans Harajuku High waist Loose Straight Casual female Gradient denim pants Fashion High quality,1005002008083199,https://ae01.alicdn.com/kf/Hbb4582f994544b17846d17d2205d4985p/2021-Spring-New-Women-Jeans-Harajuku-High-waist-Loose-Straight-Casual-female-Gradient-denim-pants-Fashion.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hbb4582f994544b17846d17d2205d4985p.jpg,https://ae04.alicdn.com/kf/Hd91fd6b365e242419a3b89685740ae8cZ.jpg,https://ae04.alicdn.com/kf/H386a3d2ac2d344e1a232be5cb2fb795av.jpg,https://ae04.alicdn.com/kf/Hb5c1f97174ee4ffab6aa9b06d79d9253P.jpg,https://ae04.alicdn.com/kf/He54496470dcd4f269381d106247e92fa4.jpg,",https://www.aliexpress.com/item/1005002008083199.html,225.15,96.81,9.00%,,57%,https://s.click.aliexpress.com/e/_A6RBSj
Jeans,200000361,Korean Fashion style Chic Women jeans with strap Straight Wide leg denim 100% cotton Loose Long white jeans female jeans,1005001873761068,https://ae01.alicdn.com/kf/H7a508667e1cd4cf589f4529648d9cff1O/Korean-Fashion-style-Chic-Women-jeans-with-strap-Straight-Wide-leg-denim-100-cotton-Loose-Long.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H7a508667e1cd4cf589f4529648d9cff1O.jpg,https://ae04.alicdn.com/kf/Hab7fad633e344d5a8dbd833d1febb923i.jpg,https://ae04.alicdn.com/kf/H423d7c55e47e441bb8754c30711121405.jpg,https://ae04.alicdn.com/kf/H45b3f049af7b45dd8cb48ebb96136100G.jpg,https://ae04.alicdn.com/kf/H99fc9b14d66747e2b4618e6950bac002M.jpg,",https://www.aliexpress.com/item/1005001873761068.html,326.40,120.77,9.00%,,63%,https://s.click.aliexpress.com/e/_ACPlor
Jeans,200000361,Korean Fashion style Women jeans 100% Cotton Straight Wide leg pants Oversize Loose Long jeans Casual female jean high quality,1005001873011750,https://ae01.alicdn.com/kf/Hff8ee0e7d1a741248d54b830d4722b608/Korean-Fashion-style-Women-jeans-100-Cotton-Straight-Wide-leg-pants-Oversize-Loose-Long-jeans-Casual.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hff8ee0e7d1a741248d54b830d4722b608.jpg,https://ae04.alicdn.com/kf/H6d217f6a55ae41ec9982fa276568d2081.jpg,https://ae04.alicdn.com/kf/H88f4f64e93be48f288e1e12e742ee779U.jpg,https://ae04.alicdn.com/kf/Hd7aeeb7b09904dd48831567e06876236f.jpg,https://ae04.alicdn.com/kf/H28a2471c7a204338b4ae43074170887aG.jpg,",https://www.aliexpress.com/item/1005001873011750.html,320.00,150.40,9.00%,,53%,https://s.click.aliexpress.com/e/_ASjtvv
Jeans,200000361,Y2K Casual Khaki Jeans Women Cotton High Waist Solid Straight Denim Trousers Fashion Pocket Long Flared Khaki Pants Women Femme,1005002989252905,https://ae01.alicdn.com/kf/Hcf1a13d4b11a4c6eae28de6531221b52y/Y2K-Casual-Khaki-Jeans-Women-Cotton-High-Waist-Solid-Straight-Denim-Trousers-Fashion-Pocket-Long-Flared.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hcf1a13d4b11a4c6eae28de6531221b52y.jpg,https://ae04.alicdn.com/kf/He117ead5d56d406c8284e67af699302bn.jpg,https://ae04.alicdn.com/kf/H6580cd097ed04a5e8f8ce442924ceb96w.jpg,https://ae04.alicdn.com/kf/H4a3ec488b32344cbb462ce5addf381fal.jpg,https://ae04.alicdn.com/kf/Hd68de52314004c03ad2a8b886e0d1ebft.jpg,",https://www.aliexpress.com/item/1005002989252905.html,13.25,7.02,11.50%,,47%,https://s.click.aliexpress.com/e/_AgqVcr
Jeans,200000361,Black High Waist Zipper Wide Leg Jeans Woman Simple Plus Size Straight Trousers Women Fashion Harajuku Solid Jeans Woman 2022,1005003776958808,https://ae01.alicdn.com/kf/Sf8b1a9e142ef4dd28d71b56355af9d92c/Black-High-Waist-Zipper-Wide-Leg-Jeans-Woman-Simple-Plus-Size-Straight-Trousers-Women-Fashion-Harajuku.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Sf8b1a9e142ef4dd28d71b56355af9d92c.jpg,https://ae04.alicdn.com/kf/S70ba73424e0241e5b9712a5379b5d6dcV.jpg,https://ae04.alicdn.com/kf/S88169c7365684f3b9c18ec7cac86a358J.jpg,https://ae04.alicdn.com/kf/S58fb3d742b3f4273a529b015c260c2d5r.jpg,https://ae04.alicdn.com/kf/Sf2812d7d1ee94799b9755d71c505bf8dU.jpg,",https://www.aliexpress.com/item/1005003776958808.html,256.45,153.87,10.00%,,40%,https://s.click.aliexpress.com/e/_Aq85HD
