"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005004593855448","https://ae04.alicdn.com/kf/Sd3f08bfebd9b443cbdf67fc242a4ff2dU.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100079407160.mp4","Yhpup Minimalist Gold Color Tarnish Free Fashion Stainless Steel Bangle Bracelet Metal Texture Simple Open Charm Wrist Jewelry","USD 5.60","USD 4.20","25%","USD","7","USD 0.29","69","100.0%","https://s.click.aliexpress.com/e/_DEzg9nh",,,,,,
"1005003205184770","https://ae04.alicdn.com/kf/S6a17a01c85b14818ab6fe214c9cdf5baW.jpg",,"3pcs/lot 316 Stainless Steel Heart  Sun Star Moon Pendant DIY Jewelry Charm Wholesale Top Quality Never Fade Factory Price","USD 6.43","USD 2.89","55%","USD","7","USD 0.20","103","100.0%","https://s.click.aliexpress.com/e/_DCLjdlV",,,,,,
"1005003913543625","https://ae04.alicdn.com/kf/S6229ab6c40fc4bd48fb93437ce90e1edQ.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100052822453.mp4","ROXI 925 Sterling Silver Pearls Earrings For Women Wedding Fine Jewelry Piercing Earrings Hoops Bohemia Pendientes Plata Earings","USD 8.29","USD 3.32","60%","USD","8.5","USD 0.28","2196","92.2%","https://s.click.aliexpress.com/e/_DCYDDAr",,,,,,
"1005004592309170","https://ae04.alicdn.com/kf/Aaa8604ab3e71478699eae0acf675ee6fY.png",,"Custom Family Tree Name Bracelet For Women Personalized Tree Of Life Stainless Steel Adjustable Rope Round Bracelet Gift Jewelry","USD 4.99","USD 2.49","50%","USD","8.0","USD 0.20","511","97.5%","https://s.click.aliexpress.com/e/_DCg9WmT",,,,,,
"1005004587521445","https://ae04.alicdn.com/kf/S26c0e8e9ac494898a266b38ec159c027E.jpg",,"2022 Fashion Square Love Heart Hoop Earrings For Women Simple Minimalist Geometric Buckle Boucle Oreille Fine Jewelry Bijoux","USD 3.49","USD 2.79","20%","USD","7","USD 0.20","42","100.0%","https://s.click.aliexpress.com/e/_DCWHKyf",,,,,,
"1005004661377181","https://ae04.alicdn.com/kf/S4e2d4baa991c4b2ca7c576de2dc2d31bj.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100082168836.mp4","Wholesale Natural Stone Beads Pink Rose Quartz Crystal  Various Shape  Loose Beads For Jewelry Making DIY Necklace Accessories","USD 3.80","USD 2.32","39%","USD","9.5","USD 0.22","35","95.0%","https://s.click.aliexpress.com/e/_DCJPkhh",,,,,,
"1005001470546662","https://ae04.alicdn.com/kf/H4ecd9033bd324f6f83eca9ca8fc0d0c0e.jpg",,"Natural Stone Tricolor Tiger Eye Agates Loose Round Beads DIY Charms Bracelet Necklace for Jewelry Making 15"" Strand 6 8 10 12MM","USD 3.69","USD 2.03","45%","USD","7","USD 0.14","270","99.6%","https://s.click.aliexpress.com/e/_DDaYcOb",,,,,,
"1005003165106020","https://ae04.alicdn.com/kf/Hdc7321e98bba4123b23a172f62792effE.jpg",,"Man Tassel Chain Lapel Pin Suit Shirt Collar Brooch Dragon Deer Leopard Badge Retro Pins Wedding Party Dance Jewelry Accessories","USD 2.65","USD 1.85","30%","USD","7","USD 0.13","52","97.3%","https://s.click.aliexpress.com/e/_DmLLFEX",,,,,,
"1005004359846425","https://ae04.alicdn.com/kf/Sc4538149f0bd4fb7855fefc07b04ba27f.jpg",,"Fashion 1Pair 304 Stainless Steel Hoops Earrings Color Round Hollow Net Circle Ring Earrings For Women Man Jewelry Exquisite Ear","USD 3.33","USD 1.66","50%","USD","7","USD 0.12","35","100.0%","https://s.click.aliexpress.com/e/_Dc9hYbH",,,,,,
"1005003417998271","https://ae04.alicdn.com/kf/Sb0b9ac2fb53943988b9aa32f975caf6fG.jpg",,"Gold Plated Heart Stud Earrings, Shiny Zircon Earrings, Metal Elegant Fashion Heart Jewelry, Romantic Female Couple Earrings","USD 4.31","USD 2.15","50%","USD","8.0","USD 0.17","682","96.0%","https://s.click.aliexpress.com/e/_DdG6Y5h",,,,,,
"1005003142106127","https://ae04.alicdn.com/kf/H8dcd44d9ab3b4efa840ca4fef8f44916v.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/321637868465.mp4","White AB Color Crystal Beads Flower Star Butterfly Round Square Heart Shape Faceted Glass Beads For Jewelry Making Accessories","USD 4.38","USD 2.15","51%","USD","15.0","USD 0.32","449","97.5%","https://s.click.aliexpress.com/e/_Dm4bj2B",,,,,,
"1005003370334970","https://ae04.alicdn.com/kf/H214b0f7d319a4c21b03746869de09c43L.jpg",,"FOXANRY Minimalist Silver Color Bracelets for Women New Trendy Elegant Charming Vintage Design Bangles Party Jewelry Gift","USD 6.15","USD 3.69","40%","USD","7","USD 0.26","395","97.5%","https://s.click.aliexpress.com/e/_DeZaiA7",,,,,,
"1005002240785360","https://ae04.alicdn.com/kf/Hcb419618d33a42228562d3563856cc49a.jpg",,"Crystal Patch Silicone Mold Heart Water Drop Shape Patch Resin Mold For DIY Epoxy UV Resin Cabochon Jewelry Making Accessories","USD 5.65","USD 3.50","38%","USD","7","USD 0.24","47","100.0%","https://s.click.aliexpress.com/e/_DCBUvZH",,,,,,
"1005003076576624","https://ae04.alicdn.com/kf/Hf644b905f4274b3cafebf007f20632dfZ.jpg",,"6 Colors Oval Lady Queen Cameo Stud Earrings For Women Gold Color Pink Blue Gray Earring Fashion Jewelry","USD 3.99","USD 2.59","35%","USD","7","USD 0.18","127","97.3%","https://s.click.aliexpress.com/e/_DEaGeq7",,,,,,
"1005003393808217","https://ae04.alicdn.com/kf/S12b13b121ef2460d802e3b22466e76b5C.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/329511617893.mp4","Natural Shell Stone Freeform Spacer Beads for DIY Accessories Women Men Necklace Bracelet  Earring Jewelry Making 14"" Wholesale","USD 4.97","USD 1.49","70%","USD","8.0","USD 0.12","57","98.3%","https://s.click.aliexpress.com/e/_DDmNvxh",,,,,,
"1005004674651955","https://ae04.alicdn.com/kf/S3b5082d0c5a84d0ea3b67dde05f72caew.jpg",,"HECHENG, Lovely Gold color Heart Enamel Ring for women Dripping Oil Heart women Ring Fashion opening rings Jewelry Wholesale","USD 2.50","USD 2.50","0%","USD","8.5","USD 0.21","45","100.0%","https://s.click.aliexpress.com/e/_DFS2XSn",,,,,,
"1005001785689212","https://ae04.alicdn.com/kf/H41bac64531cd4280aaf1c4bb9ad484e18.jpg",,"Cute Octopus Sausage Brooches For Kids Cartoon Acrylic Custom Pin Vintage Badges Jewelry Wholesale Backpacks Accessories","USD 1.82","USD 1.64","10%","USD","8.0","USD 0.13","59","95.4%","https://s.click.aliexpress.com/e/_DD5n00R",,,,,,
"4000490331635","https://ae04.alicdn.com/kf/H596ed48085794ba5a347034dfc494826u.jpg",,"Pearl Earrings Genuine Natural Freshwater Pearl 925 Sterling Silver Earrings Pearl Jewelry For Wemon Wedding Gift","USD 6.02","USD 3.07","49%","USD","7","USD 0.21","467","90.9%","https://s.click.aliexpress.com/e/_DBC6WSj",,,,,,
"1005004379025172","https://ae04.alicdn.com/kf/S9957b8750792445cb33935b1a5278ddcn.jpg",,"Personality Green Frog Ear Cuffs Clip Earrings for Women Girls Cute Cartoon Animal No Piercing Aesthetic Earring Jewelry Gifts","USD 3.17","USD 2.06","35%","USD","10.0","USD 0.21","3263","95.3%","https://s.click.aliexpress.com/e/_DDLRBen",,,,,,
"1005003363659243","https://ae04.alicdn.com/kf/H6aa111ec88084cc187daef41e03cb89bq.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/328881152903.mp4","20 Pcs Heart Gummy Bear Charms Flatback Resin Cabochons Jelly Pendant Crafts Cartoon Animal Jewelry Findings for Earrings  Diy","USD 4.00","USD 2.08","48%","USD","12.0","USD 0.25","91","100.0%","https://s.click.aliexpress.com/e/_Dmgtu4X",,,,,,
"1005004858864266","https://ae04.alicdn.com/kf/S215e418cc1da4bdca87521d94ea3bafdi.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100093945514.mp4","DIY 6-Cavity Epoxy Sphere Charm Mold 15/16mm Big Hole Ball Beads Bracelet Pendant Resin Silicone Mould  for Jewelry Making","USD 4.76","USD 3.05","36%","USD","7","USD 0.21","28","100.0%","https://s.click.aliexpress.com/e/_DE0NuEj",,,,,,
"1005003217655198","https://ae04.alicdn.com/kf/H05637a02bc0549b39a64166a7a74bbf2v.jpg",,"Popular 925 Sterling Silver Sparkling Clavicle Chain Choker Necklace For Women Fine Jewelry Wedding Party Birthday Gift","USD 5.60","USD 2.91","48%","USD","7","USD 0.20","62","100.0%","https://s.click.aliexpress.com/e/_DepAQW7",,,,,,
"1005002811818224","https://ae04.alicdn.com/kf/H1c273ad21d7546819652d27610a50ec7R.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/313990681562.mp4","20Pcs 14*14MM Multicolor Acrylic Butterfly Pendant Cute Animal Charm DIY Butterfly Earring Jewelry Making Supplies Wholesale","USD 5.00","USD 2.75","45%","USD","8.0","USD 0.22","222","98.0%","https://s.click.aliexpress.com/e/_DdbOYMn",,,,,,
"1005004195117286","https://ae04.alicdn.com/kf/S5b75902900894f9d9aa9cfa2c0cc6b2af.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/352218992799.mp4","WOSTU 925 Sterling Silver Egypt Culture Flower Charms Pendants Eye of Horus Beads fit for DIY Making Bracelet & Bangle Jewelry","USD 11.97","USD 7.78","35%","USD","10.5","USD 0.82","37","100.0%","https://s.click.aliexpress.com/e/_DC405OR",,,,,,
"1005003174997972","https://ae04.alicdn.com/kf/Hdcd662fb41024be29d53e334e347eeedV.jpg",,"CAOSHI Aesthetic Women Stud Earrings with Charming Red Zirconia Delicate Luxury Party Accessories Chic Anniversary Gift Jewelry","USD 6.75","USD 3.58","47%","USD","7","USD 0.25","43","93.3%","https://s.click.aliexpress.com/e/_Ddakv6X",,,,,,
"1005003004242109","https://ae04.alicdn.com/kf/Hc4bf4150cc5d411585e708b18450f38cm.jpg",,"925 Sterling Silver Crystal Heart Charm Stud Earrings For Women Girl Elegant Party Jewelry Prevent Allergy Wedding Gift","USD 6.68","USD 3.41","49%","USD","7","USD 0.24","205","97.0%","https://s.click.aliexpress.com/e/_DEfmFux",,,,,,
"1005003343691747","https://ae04.alicdn.com/kf/H2f0753ca0d3f45e4886388870792b431A.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/325026201780.mp4","High Quality Opal Loose Beads Opalite Round 4/6/8/10/12mm fit DIY Make Up Charms Beading Beads For Jewelry Making Accessories","USD 3.71","USD 1.82","51%","USD","8.0","USD 0.15","110","98.6%","https://s.click.aliexpress.com/e/_DD0xjAP",,,,,,
"1005003363356504","https://ae04.alicdn.com/kf/H57d63cc32a5a439caac55cbdf078df1eg.jpg",,"Stainless Steel Earrings Lightning Fashion Stud Earrings Classic Simple Earrings For Women 2022 Jewelry Wedding Party Gifts NEW","USD 1.30","USD 0.71","45%","USD","7","USD 0.05","585","92.1%","https://s.click.aliexpress.com/e/_Dmz54Dh",,,,,,
"1005004848258138","https://ae04.alicdn.com/kf/Sf2b419118f9144af896cf8cdfc0b3e5dD.jpg",,"Amethys Necklace Witchy Chain Choker Cute Hands Model Jewelry Magical Fashion Crystal Pendant for Women Men Anniversary Gift New","USD 2.57","USD 1.93","25%","USD","8.0","USD 0.15","22","100.0%","https://s.click.aliexpress.com/e/_DdL3V9V",,,,,,
"1005002548012735","https://ae04.alicdn.com/kf/S24968e708a494cc88793fc1184b433c5q.jpg",,"Fashion Hanging earrings Zircon Lightning Short Pendant Drop Ear Ring Ear Bone Sweet Trend Female Jewelry Hoop Earring for Women","USD 6.62","USD 1.99","70%","USD","10.0","USD 0.20","280","96.8%","https://s.click.aliexpress.com/e/_DBobSKL",,,,,,
"1005003179699623","https://ae04.alicdn.com/kf/Sca5080a4681949159c0e33280d380076B.jpg",,"ANDYWEN 925 Sterling Silver Gold Leafs Champagne Zircon CZ Stud Earring Piercing 2021 Women Wedding Jewelry Clips Pendientes","USD 8.31","USD 4.90","41%","USD","7","USD 0.34","27","100.0%","https://s.click.aliexpress.com/e/_DlIr77v",,,,,,
