"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005003031755292","https://ae04.alicdn.com/kf/H17161994734c4cde9cfccebc9e9eb289G.jpg",,"ZOREYA Black Makeup Brushes Set Natural Hair Brushes Foundation Powder Eyebrow Contour Eyeshadow Make Up Brushes maquiage","USD 13.94","USD 9.76","30%","USD","7","USD 0.68","700","94.6%","https://s.click.aliexpress.com/e/_DFDxhEn",,,,,,
"1005003109248536","https://ae04.alicdn.com/kf/S17d96ad8ba264e8dadabc25a51c6a321u.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/345006051762.mp4","Perfect Contour Curve Stencil Makeup Tools Eyebrow Shaper Eyeliner Card Face Cheek Nose Makeup Model Beauty Make Up Accessories","USD 1.75","USD 0.61","65%","USD","8.0","USD 0.05","261","97.0%","https://s.click.aliexpress.com/e/_Dls2kwF",,,,,,
"4000814623522","https://ae04.alicdn.com/kf/H303db933eb0949ab8d13d48d6cf67a76b.jpg",,"18 color eye shadow plate sequins pearl no dizzy makeup mercury makeup Waterproof Eyeshadow Palette Cosmetic","USD 13.27","USD 9.29","30%","USD","10.5","USD 0.98","105","95.6%","https://s.click.aliexpress.com/e/_DmKzOkR",,,,,,
"32860597001","https://ae04.alicdn.com/kf/He40403871bde49539d9d6db96bc498cfm.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/274376938840.mp4","WG MAKEUP BRUSHES Foundation Powder Eye Shadow Crease Blending Precision Detail Soft Cosmetics Brush 01/02/03/04/05/06/07/08","USD 5.59","USD 5.25","6%","USD","7","USD 0.37","49","100.0%","https://s.click.aliexpress.com/e/_Deu7AMf",,,,,,
"1005001807667163","https://ae04.alicdn.com/kf/H781d59d6120d4210ac1a8072f0bb29e3c.jpg",,"Portable Eyelash Tweezer Storage Box Lash Tweezer Case Makeup Bag Protective Brushes Pencil Eyeliner Case Organizer Eyelash Tool","USD 4.75","USD 2.85","40%","USD","7","USD 0.20","290","98.5%","https://s.click.aliexpress.com/e/_DcRDNt9",,,,,,
"1005003684536440","https://ae04.alicdn.com/kf/Sb29fe7f9869e4df0a2b9b87154a6fb11a.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/323451869639.mp4","1/3pcs Makeup Remover Pads Cosmetics Reusable Face Towel Make-up Wipes Cloth Washable Cotton Pads Skin Care Cleansing Puff Tool","USD 4.16","USD 4.16","0%","USD","9.0","USD 0.37","1015","95.9%","https://s.click.aliexpress.com/e/_DC2FEMP",,,,,,
"1005001709687904","https://ae04.alicdn.com/kf/H3e58b58b4be04ad5bf84de6440c11fc9t.jpg",,"Waterproof Long-lasting Mascara Professional Fast Dry Eyelashes Curling Lengthening Makeup Eye Lashes Blue Purple Mascara TSLM1","USD 2.51","USD 1.76","30%","USD","7","USD 0.12","87","86.2%","https://s.click.aliexpress.com/e/_DdbU0YJ",,,,,,
"1005002063485510","https://ae04.alicdn.com/kf/H7e852284085b4e5bb6e8481feb84446eR.jpg",,"FLD Coffee 2Pcs Makeup Brushes Set Powder Foundation Eyeshadow Eyelash Eyebrow Brush for Cometics Brochas De Maquillaje","USD 6.45","USD 6.45","0%","USD","7","USD 0.45","26","100.0%","https://s.click.aliexpress.com/e/_DDtcUf5",,,,,,
"4000414399088","https://ae04.alicdn.com/kf/H5b4e3eca055e4ee0be395b164ab689e7M.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/256750567848.mp4","Makeup Sponge, Foundation Cosmetic Puff Powder Smooth Beauty Marbling Blender Water-Drop Shape Tool","USD 5.09","USD 3.10","39%","USD","8.0","USD 0.25","72","96.8%","https://s.click.aliexpress.com/e/_DEvJaH1",,,,,,
"33024724927","https://ae04.alicdn.com/kf/H9762cdd1db2c42c192e3a1b2b61e4748U.jpg",,"4Color Face Highlighter Palette Bronzer Contouring Highlight Powder Makeup Face Shimmer Shine High Lighter Iluminador Maquillaje","USD 8.45","USD 5.91","30%","USD","7","USD 0.41","237","87.1%","https://s.click.aliexpress.com/e/_DDPGF4T",,,,,,
