"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
1900001,"Plus Size One Shoulder Drawstring Tie-up Design Long Sleeves Tee",https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/32/A9/4d416fd3-fa3e-4d66-ad7c-7244925c73d5.jpg,https://www.banggood.com/Plus-Size-One-Shoulder-Drawstring-Tie-up-Design-Long-Sleeves-Tee-reviews-p1900001.html,"19,90€",€0.88,https://www.banggood.com/Plus-Size-One-Shoulder-Drawstring-Tie-up-Design-Long-Sleeves-Tee-p-1900001.html?p=4T181370308054202203&custlinkid=1798954
1901249,"Plus Size Square Neck Floral Print Shirring Backless Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/9C/5F/fb2a7ed3-e8c4-404d-8c82-d47c5ee73243.jpg,https://www.banggood.com/Plus-Size-Square-Neck-Floral-Print-Shirring-Backless-Dress-reviews-p1901249.html,"29,85€",€1.32,https://www.banggood.com/Plus-Size-Square-Neck-Floral-Print-Shirring-Backless-Dress-p-1901249.html?p=4T181370308054202203&custlinkid=1807894
1901928,"Plus Size Hooded Striped Hooded Design Dress",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/EE/BA/ea0d2cb8-1bd1-4f8c-9d55-84632f72e2f5.jpg,https://www.banggood.com/Plus-Size-Hooded-Striped-Hooded-Design-Dress-reviews-p1901928.html,"27,13€",€1.2,https://www.banggood.com/Plus-Size-Hooded-Striped-Hooded-Design-Dress-p-1901928.html?p=4T181370308054202203&custlinkid=1807895
1902164,"Plus Size V-neck Polka Dot Belt Design Dress",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/25/8A/a22cc3a0-a774-4fa3-b97c-4518262254bc.jpg,https://www.banggood.com/Plus-Size-V-neck-Polka-Dot-Belt-Design-Dress-reviews-p1902164.html,"27,13€",€1.2,https://www.banggood.com/Plus-Size-V-neck-Polka-Dot-Belt-Design-Dress-p-1902164.html?p=4T181370308054202203&custlinkid=1807896
1902794,"Plus Size Floral Print Belt Design Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/24/5C/9b88bce1-5612-4185-9702-ea4aa022338a.jpg,https://www.banggood.com/Plus-Size-Floral-Print-Belt-Design-Dress-reviews-p1902794.html,"21,71€",€0.96,https://www.banggood.com/Plus-Size-Floral-Print-Belt-Design-Dress-p-1902794.html?p=4T181370308054202203&custlinkid=1807897
1902842,"Plus Size Round Neck Cut Out Long Sleeves Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/CC/3A/0b760f11-219a-4cac-8115-d049a882f0dd.jpg,https://www.banggood.com/Plus-Size-Round-Neck-Cut-Out-Long-Sleeves-Dress-reviews-p1902842.html,"26,23€",€1.16,https://www.banggood.com/Plus-Size-Round-Neck-Cut-Out-Long-Sleeves-Dress-p-1902842.html?p=4T181370308054202203&custlinkid=1807898
1902855,"Plus Size V-neck Belt Design Crossed Front Design Long Sleeves Dress",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/B4/E4/ed5b55ce-fc90-46cb-bd69-f532af4adceb.jpg,https://www.banggood.com/Plus-Size-V-neck-Belt-Design-Crossed-Front-Design-Long-Sleeves-Dress-reviews-p1902855.html,"25,32€",€1.12,https://www.banggood.com/Plus-Size-V-neck-Belt-Design-Crossed-Front-Design-Long-Sleeves-Dress-p-1902855.html?p=4T181370308054202203&custlinkid=1807899
1902857,"Plus Size Crew Neck Cut Out Zip Back Fastening Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/BB/EA/bd3d73aa-d59c-4755-a05f-55d42f70b4d6.jpg,https://www.banggood.com/Plus-Size-Crew-Neck-Cut-Out-Zip-Back-Fastening-Dress-reviews-p1902857.html,"26,23€",€1.16,https://www.banggood.com/Plus-Size-Crew-Neck-Cut-Out-Zip-Back-Fastening-Dress-p-1902857.html?p=4T181370308054202203&custlinkid=1807900
1903871,"Plus Size V-neck Elastic Waist Long Sleeves Dress",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/6D/B9/6d2dc29f-97fd-449f-8bf3-a9fe710da5e7.jpg,https://www.banggood.com/Plus-Size-V-neck-Elastic-Waist-Long-Sleeves-Dress-reviews-p1903871.html,"26,23€",€1.16,https://www.banggood.com/Plus-Size-V-neck-Elastic-Waist-Long-Sleeves-Dress-p-1903871.html?p=4T181370308054202203&custlinkid=1798904
1904561,"Plus Size Floral Print Lettuce-Edge Tie-up Design Dress",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/58/7C/07037bdc-55d2-4ef3-8b7d-49faf6912877.jpg,https://www.banggood.com/Plus-Size-Floral-Print-Lettuce-Edge-Tie-up-Design-Dress-reviews-p1904561.html,"27,13€",€1.2,https://www.banggood.com/Plus-Size-Floral-Print-Lettuce-Edge-Tie-up-Design-Dress-p-1904561.html?p=4T181370308054202203&custlinkid=1799007
1905079,"Plus Size V-neck Polka Dot Belt Design Dress",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/75/63/0cf7bdfe-a510-43e6-b436-838913fef8aa.jpg,https://www.banggood.com/Plus-Size-V-neck-Polka-Dot-Belt-Design-Dress-reviews-p1905079.html,"26,23€",€1.16,https://www.banggood.com/Plus-Size-V-neck-Polka-Dot-Belt-Design-Dress-p-1905079.html?p=4T181370308054202203&custlinkid=1799010
1905090,"Plus Size Graphic Christmas Hooded Design Long Sleeves Sweatshirt",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/5E/82/97f74908-85f7-4fb0-b482-666f6a146f88.jpg,https://www.banggood.com/Plus-Size-Graphic-Christmas-Hooded-Design-Long-Sleeves-Sweatshirt-reviews-p1905090.html,"26,23€",€1.16,https://www.banggood.com/Plus-Size-Graphic-Christmas-Hooded-Design-Long-Sleeves-Sweatshirt-p-1905090.html?p=4T181370308054202203&custlinkid=1799012
1905091,"Plus Size Crew Neck Letter Plaid Graphic Patchwork Sweatshirt",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/35/EC/ae8cdce7-6098-4760-83cf-e97eb5f9a11a.jpg,https://www.banggood.com/Plus-Size-Crew-Neck-Letter-Plaid-Graphic-Patchwork-Sweatshirt-reviews-p1905091.html,"25,32€",€1.12,https://www.banggood.com/Plus-Size-Crew-Neck-Letter-Plaid-Graphic-Patchwork-Sweatshirt-p-1905091.html?p=4T181370308054202203&custlinkid=1799013
