"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005002844164620","https://ae04.alicdn.com/kf/H4f11eb19ea654db39ef0c1b675694ac1O.jpg",,"Plus Size 3xl Women Casual Halter Shirt Leopard Print Blouse Summer Chiffon Shirt Sleeveless Basic Tops Femme Clothing  2021","USD 18.58","USD 10.96","41%","USD","9.0","USD 0.99","0","null%","https://s.click.aliexpress.com/e/_Ddpu4Ij",,,,,,
"1005004939595303","https://ae04.alicdn.com/kf/Se696836a43314699b3984ab37af8e772t.jpg",,"Trendy Spring Blouse  Ruffle Loose Lady Spring Shirt  Plus Size Women Shirt","USD 11.42","USD 6.28","45%","USD","9","USD 0.57","0","null%","https://s.click.aliexpress.com/e/_DB74ISb",,,,,,
"1005003251189317","https://ae04.alicdn.com/kf/H08966fc3ec98473b92536394f466e6507.jpg",,"Plus Size Women Clothing T Shirt Vintage Flower Printed Tops Pullovers Harajuku Shirts Casual Loose O-Neck Tops Women Blouses","USD 19.98","USD 9.99","50%","USD","9.0","USD 0.90","0","0.0%","https://s.click.aliexpress.com/e/_DB3nC6T",,,,,,
"1005003320289510","https://ae04.alicdn.com/kf/H316e26d2bf22411590c44df32e17e1ffj.jpg",,"Sexy V Neck Button Chiffon Shirt Autumn Spring Vintage Printed Shirts Blouses Women Plus Size 5XL Tops Sweet Long Sleeve Blouse","USD 17.12","USD 10.44","39%","USD","9","USD 0.94","0","null%","https://s.click.aliexpress.com/e/_DEUoj95",,,,,,
"1005004165064706","https://ae04.alicdn.com/kf/Sbcc3dc6b7afc48f2bdf496db90a22c33G.jpg",,"Fashion Off Shoulder Tops Sexy Lace Sleeve Patchwork Loose Blouses Tops Casual Plus Size Zipper V Neck Female Tunic Tops T-shirt","USD 5.99","USD 5.33","11%","USD","9","USD 0.48","0","null%","https://s.click.aliexpress.com/e/_DEjd9Xt",,,,,,
"1005003421013101","https://ae04.alicdn.com/kf/H03ff466b13a64562a64a9f98d243ed6ay.jpg",,"Women Plus Size Tie-dye Printed Gradient Pullover Long Sleeve Sweatshirt Top Fashion Casual Sweatshirt Top Female Outwear","USD 17.23","USD 10.51","39%","USD","9","USD 0.95","0","null%","https://s.click.aliexpress.com/e/_DEHbtH5",,,,,,
"1005004947052187","https://ae04.alicdn.com/kf/S129692e1218f4e4ca92a384ea16a36ddm.jpg",,"Trendy Women Shirt Flower Print Casual Plus Size Long Sleeves Lady Spring Shirt  Oversized Autumn Blouse Female Clothes","USD 10.22","USD 6.64","35%","USD","9","USD 0.60","0","null%","https://s.click.aliexpress.com/e/_DF9hJ8L",,,,,,
"1005004481978595","https://ae04.alicdn.com/kf/S35f76eb6ff094f168273d2dd8faa285fw.jpg",,"Fashion Women Summer Elegant V Neck Oversized Plus Size Top Lady Casual Solid Long Sleeve Loose Fit Blouse 2022 New","USD 17.35","USD 10.06","42%","USD","9","USD 0.91","0","null%","https://s.click.aliexpress.com/e/_DFJNuSb",,,,,,
"10000279840118","https://ae04.alicdn.com/kf/H5f9f7090d83144cf990f577c47540682L.jpg",,"Women'S Shirt New Layered Trumpet Plus Size Women V Neck Polka Dot Shirt Tops Long Sleeve Loose Blouse Ladies Tops","USD 10.45","USD 5.85","44%","USD","9","USD 0.53","0","0.0%","https://s.click.aliexpress.com/e/_DEAJUVt",,,,,,
"1005004817978283","https://ae04.alicdn.com/kf/S37de2d9706c94aac9b595665a05e0daci.jpg",,"Fashion Women's Blouse Tops Summer Sleeveless Chiffon Shirt Solid Casual Button-embellished Crew Neck Plus Size Tank Top","USD 18.74","USD 9.37","50%","USD","9","USD 0.84","0","null%","https://s.click.aliexpress.com/e/_DDwwRdV",,,,,,
"1005002632540334","https://ae04.alicdn.com/kf/S2920cc51e3434cfdbfb18ae3051a40e5L.jpg",,"Autumn Slash Neck Blouse Plus Size Long Blouses Shirt 2023 Off Shoulder Tops For Women Irregular Kimono Hem Cape Korean Clothing","USD 10.49","USD 6.29","40%","USD","9","USD 0.57","0","null%","https://s.click.aliexpress.com/e/_DBuIb6P",,,,,,
"1005001860194296","https://ae04.alicdn.com/kf/H6baf7398e00d449f988d2a6b29fb475aA.jpg",,"Women Sexy Solid Color Lace Patchwork Deep V Neck Short Sleeve Blouse Shirt Top Plus Size Basic Tops Blouse All-match Tops","USD 6.04","USD 4.77","21%","USD","9","USD 0.43","17","88.0%","https://s.click.aliexpress.com/e/_Dnt4POJ",,,,,,
"1005004547818825","https://ae04.alicdn.com/kf/H0aff3ed750504f4ebab94686bea5b058V.jpg",,"Off Shoulder Blouses Women Plus Size Printed Women Top Fashion Women Button Puff Short Sleeve Shirt Chemise Femme","USD 6.19","USD 4.15","33%","USD","9","USD 0.37","0","null%","https://s.click.aliexpress.com/e/_DmMvLgb",,,,,,
"1005004017334639","https://ae04.alicdn.com/kf/Sc454019033ed4b04a501154ff980f674F.jpg",,"Casual Long Sleeve Birds Print Loose Shirts Women Cotton And Linen Blouses 2022 Female Vintage Streetwear Plus Size Tops Blusa","USD 13.07","USD 7.84","40%","USD","9","USD 0.71","0","0.0%","https://s.click.aliexpress.com/e/_DkceZKB",,,,,,
"1005002762892912","https://ae04.alicdn.com/kf/H0591658d65fc48bca0e65229df59f8ecX.jpg",,"Women Polka Dot Blusas Shirts  Spring Fashion O Neck Long Sleeve Blouse Femininas Casual Tops Plus Size 4XL 5XL Shirt","USD 8.12","USD 5.28","35%","USD","9","USD 0.48","0","null%","https://s.click.aliexpress.com/e/_DeuCMXV",,,,,,
"1005005074722343","https://ae04.alicdn.com/kf/S9f8351037ce8425980b60584aa14f62cl.jpg",,"Fashion Women's Blouse Tops Summer Sleeveless Chiffon Shirt Solid Casual Button-embellished Crew Neck Plus Size Tank Top","USD 18.74","USD 9.93","47%","USD","9","USD 0.89","0","null%","https://s.click.aliexpress.com/e/_Dcf7d1N",,,,,,
"1005003193261509","https://ae04.alicdn.com/kf/H44b22b3cfc4e4bd5af4987fe114d0ee08.jpg",,"Women Casual Shirt Summer Plus Size Short Ruffles Sleeves Bow Neck Polka Dot Female Loose Shirt Streetwear Fashion","USD 8.94","USD 5.36","40%","USD","9","USD 0.48","0","null%","https://s.click.aliexpress.com/e/_DEd6pIf",,,,,,
"1005004571833104","https://ae04.alicdn.com/kf/Sdbff44ab39094cb181b7432e7aa99224c.jpg",,"Fashion Women's Blouse Tops Summer Sleeveless Chiffon Shirt Solid Casual Button-embellished Crew Neck Plus Size Tank Top","USD 18.74","USD 10.12","46%","USD","9","USD 0.91","0","null%","https://s.click.aliexpress.com/e/_Dkpadnp",,,,,,
"1005003983792930","https://ae04.alicdn.com/kf/S2fc75e490a594a55aae09f770ca7853dz.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/349117008175.mp4","Color Block Hot Drill Letters Printed Summer Woman Blouses 2022 Retro Patchwork Fashion Plus-size 3XL Short Sleeve Women's Shirt","USD 16.60","USD 11.62","30%","USD","9","USD 1.05","0","null%","https://s.click.aliexpress.com/e/_DCQWDPh",,,,,,
"1005004724835405","https://ae04.alicdn.com/kf/S88b9dc2ba7954934a45b3417f174bdb1B.jpg",,"Women's shirt spring and summer Irregular Hem Plus Size Women Shirt Waist Tight Adjustable Belt Pullover Shirt Top Female","USD 6.34","USD 6.34","0%","USD","9","USD 0.57","0","null%","https://s.click.aliexpress.com/e/_DkpXGST",,,,,,
"1005001855947533","https://ae04.alicdn.com/kf/H2f7b30f4ba804788a697fcf22b69bec3G.jpg",,"Women Autumn Long Sleeve O Neck Solid Color Ripped Hole Loose Blouse T-shirt Plus Size Female Top Pullover","USD 2.53","USD 1.49","41%","USD","9","USD 0.13","0","null%","https://s.click.aliexpress.com/e/_DFypiJ5",,,,,,
"1005003606522148","https://ae04.alicdn.com/kf/H8cded3d73304490cb54234898095a765J.jpg",,"Women Blouses Office Lady Oversize Plus Size Tops Lace Transparent Long Sleeve 2022 Spring Summer Korean Fashion Office Shirts","USD 8.09","USD 6.31","22%","USD","9","USD 0.57","0","null%","https://s.click.aliexpress.com/e/_DlSxL2r",,,,,,
"1005004133964213","https://ae04.alicdn.com/kf/Se14b3bdf892a4f4cbfbb88e81aa05b1fF.jpg",,"Plus Size Women's Chiffon Blouses Shirt Women's Spring Autumn Style Knitted Button Long Sleeve Solid Color Lace Patchwork Tops","USD 24.67","USD 12.58","49%","USD","10.0","USD 1.26","0","null%","https://s.click.aliexpress.com/e/_DEzrPg3",,,,,,
"1005002970331996","https://ae04.alicdn.com/kf/H73e62032607748ae8590a49c97fb089fw.jpg",,"Women Polka Dot Blusas Shirts Spring Fashion O Neck Long Sleeve Blouse Femininas Casual Tops Plus Size Shirt 2021 New","USD 9.52","USD 9.52","0%","USD","9","USD 0.86","0","null%","https://s.click.aliexpress.com/e/_DDEyBh9",,,,,,
"1005003986352886","https://ae04.alicdn.com/kf/S37344507da6d43719ee84d6aca1bbc9de.jpg",,"Plus Size 3xl Ladies Elegant Fashion Plaid Shirt Blusas Sexy Women's Tops Pullovers 2022 Summer New Casual Loose Vintage Blouse","USD 20.40","USD 11.01","46%","USD","9","USD 0.99","0","null%","https://s.click.aliexpress.com/e/_DCagy9p",,,,,,
"1005002679725844","https://ae04.alicdn.com/kf/H5bc6edd31c344c7996db1ad867bb609dZ.jpg",,"Plus Size Turtleneck Cotton Women V Neck Chiffon Blouses 2021 Casual Blouse Top Solid Color Top Short Sleeve Women's Pullover","USD 5.38","USD 2.64","51%","USD","9","USD 0.24","2","92.0%","https://s.click.aliexpress.com/e/_DBp5YVZ",,,,,,
"1005001899817234","https://ae04.alicdn.com/kf/H3f92c0814e774ea59dc899975c914918W.jpg",,"OL Work Wear White Blue Blouse Plus Size Long Sleeve Turn-down Collar Formal Elegant Ladies Female Shirt Ladies Tops School","USD 9.70","USD 7.37","24%","USD","9","USD 0.66","0","null%","https://s.click.aliexpress.com/e/_DFeDe51",,,,,,
"1005004004597840","https://ae04.alicdn.com/kf/Scf6582db69374245b325d1e657b0783af.jpg",,"New Chic Shirts 2022 New Summer Women Blouses And Tops Elegant V-Neck Short Sleeve Loose Plus Size O-Neck Casual Ladies Blouse","USD 19.58","USD 11.75","40%","USD","9","USD 1.06","0","0.0%","https://s.click.aliexpress.com/e/_DmuCk4R",,,,,,
"4001066162858","https://ae04.alicdn.com/kf/Hd1584dff47864b2691bc6ea187b125c9q.jpg",,"Fashion Women'S Flare Sleeve Loose Polka Dot Shirt Ladies Casual Blouse Tops Office Ladies Shirt Blouse Plus Size","USD 14.00","USD 8.40","40%","USD","9","USD 0.76","0","null%","https://s.click.aliexpress.com/e/_DlVwb7h",,,,,,
"1005004296780926","https://ae04.alicdn.com/kf/Sb571c65175ec4f09913a163736be6343b.jpg",,"Summer Boho Lace Blouse Women Sleeveless Tank Tops Plus Size Beachwear Holiday Loose Ladies Backless Shirts Casual Camis Blusa","USD 8.51","USD 4.94","42%","USD","9","USD 0.44","0","null%","https://s.click.aliexpress.com/e/_DmOW5tH",,,,,,
