"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
974731,"XK K124 6CH Brushless EC145 3D6G System RC Helicopter RTF",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/84/04/5a93c196-1f5b-4ffe-85a3-57ab635acd59.jpg,https://usa.banggood.com/XK-K124-6CH-Brushless-EC145-3D6G-System-RC-Helicopter-RTF-reviews-p974731.html,"131,18€",€10.15,https://usa.banggood.com/XK-K124-6CH-Brushless-EC145-3D6G-System-RC-Helicopter-RTF-p-974731.html?p=4T181370308054202203&custlinkid=1800686
976344,"XK K124 6CH Brushless EC145 3D6G System RC Helicopter BNF",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/F6/23/8bc5df61-b3ab-44d3-9ba2-ed0301acedb2.jpg,https://usa.banggood.com/XK-K124-6CH-Brushless-EC145-3D6G-System-RC-Helicopter-BNF-reviews-p976344.html,"104,95€",€8.12,https://usa.banggood.com/XK-K124-6CH-Brushless-EC145-3D6G-System-RC-Helicopter-BNF-p-976344.html?p=4T181370308054202203&custlinkid=1800687
1212232,"Eachine E58 WIFI FPV With 720P/1080P HD Wide Angle Camera High Hold Mode Foldable RC Drone Quadcopter RTF",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/C1/F9/ec788d98-454a-46ad-b074-b1c6c5c204b3.jpg,https://usa.banggood.com/Eachine-E58-WIFI-FPV-With-720P-or-1080P-HD-Wide-Angle-Camera-High-Hold-Mode-Foldable-RC-Drone-Quadcopter-RTF-reviews-p1212232.html,"44,33€ ~ 76,90€",€3.43,https://usa.banggood.com/Eachine-E58-WIFI-FPV-With-720P-or-1080P-HD-Wide-Angle-Camera-High-Hold-Mode-Foldable-RC-Drone-Quadcopter-RTF-p-1212232.html?p=4T181370308054202203&custlinkid=1800688
1398963,"Eachine Tyro79 140mm 3 Inch DIY Version FPV Racing RC Drone F4 OSD 20A BLHeli_S 40CH 200mW 700TVL FPV Camera",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/00/F3/cb31e85b-a219-4e25-87a0-a00b1fe25600.png,https://usa.banggood.com/Eachine-Tyro79-140mm-3-Inch-DIY-Version-FPV-Racing-RC-Drone-F4-OSD-20A-BLHeli_S-40CH-200mW-700TVL-FPV-Camera-reviews-p1398963.html,"103,14€",€7.98,https://usa.banggood.com/Eachine-Tyro79-140mm-3-Inch-DIY-Version-FPV-Racing-RC-Drone-F4-OSD-20A-BLHeli_S-40CH-200mW-700TVL-FPV-Camera-p-1398963.html?p=4T181370308054202203&custlinkid=1800689
1473627,"Volantex RC 768-1 Mustang P-51D 750mm Wingspan EPO Warbird RC Airplane RTF",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/04/61/50baa0c3-3780-4b72-9981-ed31fd92e2db.png,https://usa.banggood.com/Volantex-RC-768-1-Mustang-P-51D-750mm-Wingspan-EPO-Warbird-RC-Airplane-RTF-reviews-p1473627.html,"199,95€",€15.47,https://usa.banggood.com/Volantex-RC-768-1-Mustang-P-51D-750mm-Wingspan-EPO-Warbird-RC-Airplane-RTF-p-1473627.html?p=4T181370308054202203&custlinkid=1800690
1509165,"WLtoys V950 2.4G 6CH 3D6G System Brushless Flybarless RC Helicopter RTF With 4PCS 11.1V 1500MAH Lipo Battery",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/8D/B0/c5652eab-77a2-4fbb-8c61-7a6748e3b9b8.jpg,https://usa.banggood.com/WLtoys-V950-2_4G-6CH-3D6G-System-Brushless-Flybarless-RC-Helicopter-RTF-With-4PCS-11_1V-1500MAH-Lipo-Battery-reviews-p1509165.html,"156,52€",€12.11,https://usa.banggood.com/WLtoys-V950-2_4G-6CH-3D6G-System-Brushless-Flybarless-RC-Helicopter-RTF-With-4PCS-11_1V-1500MAH-Lipo-Battery-p-1509165.html?p=4T181370308054202203&custlinkid=1800691
1577924,"ZOHD Dart250G 570mm Wingspan Sub-250 grams Sweep Forward Wing AIO EPP FPV RC Airplane PNP/FPV Ready Version",https://imgaz3.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/2E/38/f8944917-e68b-40d8-a88a-c895f9eb9001.jpg,https://usa.banggood.com/ZOHD-Dart250G-570mm-Wingspan-Sub-250-grams-Sweep-Forward-Wing-AIO-EPP-FPV-RC-Airplane-PNP-or-FPV-Ready-Version-reviews-p1577924.html,"95,90€ ~ 136,61€",€7.42,https://usa.banggood.com/ZOHD-Dart250G-570mm-Wingspan-Sub-250-grams-Sweep-Forward-Wing-AIO-EPP-FPV-RC-Airplane-PNP-or-FPV-Ready-Version-p-1577924.html?p=4T181370308054202203&custlinkid=1800692
1615887,"EMAX Tinyhawk II 75mm 1-2S Whoop FPV Racing Drone BNF FrSky D8 Runcam Nano2 Cam 25/100/200mw VTX 5A Blheli_S ESC",https://imgaz3.staticbg.com/thumb/gallery/oaupload/ser1/banggood/images/18/00/7b115cc6-e88b-402e-9d26-ce561c29a435.jpg,https://usa.banggood.com/EMAX-Tinyhawk-II-75mm-1-2S-Whoop-FPV-Racing-Drone-BNF-FrSky-D8-Runcam-Nano2-Cam-25-or-100-or-200mw-VTX-5A-Blheli_S-ESC-reviews-p1615887.html,"126,66€",€9.8,https://usa.banggood.com/EMAX-Tinyhawk-II-75mm-1-2S-Whoop-FPV-Racing-Drone-BNF-FrSky-D8-Runcam-Nano2-Cam-25-or-100-or-200mw-VTX-5A-Blheli_S-ESC-p-1615887.html?p=4T181370308054202203&custlinkid=1800693
1682109,"XK A160-J3 Skylark 3D/6G System 650mm Wingspan EPP RC Airplane RC Plane RTF",https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/0C/03/b65e1eb4-c981-4d97-ab73-a6a2cc710d2c.jpg,https://usa.banggood.com/XK-A160-J3-Skylark-3D-or-6G-System-650mm-Wingspan-EPP-RC-Airplane-RC-Plane-RTF-reviews-p1682109.html,"131,18€",€10.15,https://usa.banggood.com/XK-A160-J3-Skylark-3D-or-6G-System-650mm-Wingspan-EPP-RC-Airplane-RC-Plane-RTF-p-1682109.html?p=4T181370308054202203&custlinkid=1800694
1706808,"Eachine Mini T-28 Trojan 761-9 EPP 400mm Wingspan 2.4G 6-Axis Gyro RC Airplane Trainer Fixed Wing RTF Mode 2 One Key Return for Beginner Two Batterries/Three Batterries",https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/98/3B/0e9c71a7-62c1-4c46-9d82-f32e50f2efb0.jpg,https://usa.banggood.com/Eachine-Mini-T-28-Trojan-761-9-EPP-400mm-Wingspan-2_4G-6-Axis-Gyro-RC-Airplane-Trainer-Fixed-Wing-RTF-Mode-2-One-Key-Return-for-Beginner-Two-Batterries-or-Three-Batterries-reviews-p1706808.html,"101,33€ ~ 104,95€",€7.84,https://usa.banggood.com/Eachine-Mini-T-28-Trojan-761-9-EPP-400mm-Wingspan-2_4G-6-Axis-Gyro-RC-Airplane-Trainer-Fixed-Wing-RTF-Mode-2-One-Key-Return-for-Beginner-Two-Batterries-or-Three-Batterries-p-1706808.html?p=4T181370308054202203&custlinkid=1800695
