"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005002990233779","https://ae04.alicdn.com/kf/Hd3289f46a7394e89bd39a00d72a8eefeJ.jpg",,"Seeyoushy A Group of Multicolor Butterflies Print Women T-shirt Harajuku Fashion Sleeveless Tee Tops Woman Clothes Ropa Mujer","USD 7.60","USD 4.79","37%","USD","9","USD 0.43","80","88.3%","https://s.click.aliexpress.com/e/_DnCgp43",,,,,,
"1005004324265140","https://ae04.alicdn.com/kf/S0c13da6787d54589bd687a37b47a3af77.jpg",,"Fairy Japanese Anime Women T Shirt Summer Short Sleeve T-shirt Harajuku Kawaii Streetwear Fashion Woman Blouses 2022 Clothes Top","USD 3.55","USD 2.48","30%","USD","10.0","USD 0.25","1831","81.0%","https://s.click.aliexpress.com/e/_DlVlkQT",,,,,,
"1005003050957205","https://ae04.alicdn.com/kf/Hc26a81fdb1024ed98c1dbc3c82c854b6r.jpg",,"Medical Clothes Scrubs Nursing Pants Elastic Medical Uniforms For Summer Uniforms Nurse Women Thin And Light Fabric Short Sleeve","USD 15.99","USD 5.28","67%","USD","8.0","USD 0.42","95","83.5%","https://s.click.aliexpress.com/e/_DFy0EGf",,,,,,
"1005004534013362","https://ae04.alicdn.com/kf/S08fcc316ac9c408b83b9de0b3e23fdc0A.jpg",,"Oversized T Shirt Streetwear Women Female T Shirts Love Print Short Sleeve Casual Loose Tee Shirt Harajuku Tops Tshirts Clothes","USD 3.50","USD 2.45","30%","USD","20.0","USD 0.49","84","87.1%","https://s.click.aliexpress.com/e/_DD5pkGf",,,,,,
"32883899017","https://ae04.alicdn.com/kf/H150338be1c254c2db0e27a6016c9b456c.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/257301465782.mp4","CEARPION Sexy Bathrobe Gown Print Flower Peacock Sleepwear Women Nightwear Satin Kimono Home Clothes Negligee Plus Size S-3XL","USD 7.79","USD 5.38","31%","USD","8.0","USD 0.43","45","93.3%","https://s.click.aliexpress.com/e/_DlkmvnZ",,,,,,
"1005003042015121","https://ae04.alicdn.com/kf/S5d25b0b24fdb4c39bcfda372c33a9bafR.jpg",,"Pet Grooming Doctor Uniforms Non-sticky Hair Nurse Women Thin and Light Fabric Medical Clothes for Summer Clinical Uniform Woman","USD 15.99","USD 5.28","67%","USD","7","USD 0.37","43","96.7%","https://s.click.aliexpress.com/e/_Dd42xPp",,,,,,
"1005001463874624","https://ae04.alicdn.com/kf/S3e4218ddc5ab482fba1c27b47b017881g.jpg",,"Spa Uniforms Women Workwear Beauty Clothing Beautician scrubs Work Clothes Beauty salon tattoo artist Uniform 2pcs Set Wholesale","USD 29.99","USD 21.29","29%","USD","8.0","USD 1.70","26","100.0%","https://s.click.aliexpress.com/e/_Dnq3MMf",,,,,,
"4001293164609","https://ae04.alicdn.com/kf/Hae75c6e66e924c49b655f673f8e94b310.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/273845438328.mp4","Seamless Women yoga set fitness clothing sports clothes high waist gym suits padded push-up sports bra 2pcs sports yoga suits","USD 44.50","USD 23.58","47%","USD","7","USD 1.65","23","90.0%","https://s.click.aliexpress.com/e/_DBj5foF",,,,,,
"4001046507996","https://ae04.alicdn.com/kf/S5feb5ff995424ec1969319dc5c99ffd86.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/266498055563.mp4","MadBlack Summer European Clothes T-Shirt Fashion Sexy Off Shoulder Coloured Diamonds Tassel Women Tops Shirt 2022 Tees T05607","USD 23.32","USD 13.99","40%","USD","9","USD 1.26","36","100.0%","https://s.click.aliexpress.com/e/_DCuRYwL",,,,,,
"1005004712900141","https://ae04.alicdn.com/kf/S546681145b8f402d95b55e1d118b54bbT.jpg",,"I LOVE ME print Harajuku T-shirt Women Streetwear short Sleeve Skinny Crop Tops Summer Y2K Clothes Baby Tees EMO Girl Short Tops","USD 8.32","USD 2.91","65%","USD","9","USD 0.26","214","96.0%","https://s.click.aliexpress.com/e/_DePnZvH",,,,,,
"1005003138375305","https://ae04.alicdn.com/kf/S9344630d5cb943e49800edaea0ff3edc1.jpg",,"Skirt Women Vintage Clothes Long Skirts Harajuku Tender Temperament Streetwear 2021 Stylish Spring Summer Elastic Waist Ulzzang","USD 8.40","USD 7.98","5%","USD","9","USD 0.72","21","80.0%","https://s.click.aliexpress.com/e/_DDhgCh1",,,,,,
"1005003884101828","https://ae04.alicdn.com/kf/S1ff8b6b90d2d42c695d8d58a091ddaf33.jpg",,"Just Do Nothing Koala Print Women T Shirt Short Sleeve O Neck Loose Women Tshirt Ladies Tee Shirt Tops Clothes Camisetas Mujer","USD 2.72","USD 2.23","18%","USD","12.0","USD 0.27","53","93.8%","https://s.click.aliexpress.com/e/_DEDKqhZ",,,,,,
"4000478831020","https://ae04.alicdn.com/kf/Ad98338ba93974cadb41469443db158c1C.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/305873906895.mp4","Women Fall Cartoon Animal Cat Embroidery Fluffy Pullover Knitting Sweater Female Warm Harajuku Sweet Kawaii Winter Clothes C-145","USD 37.00","USD 26.27","29%","USD","9","USD 2.36","64","96.3%","https://s.click.aliexpress.com/e/_DD5Onub",,,,,,
"1005003396099253","https://ae04.alicdn.com/kf/Ha16db3163af24d21a57a75c481b7317de.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/331026986145.mp4","Teacher Women Summer White T-shirt Fashion Casual Regular Graphic Print Short Sleeve Tops Female Matching Clothes Teacher's Gift","USD 8.15","USD 4.89","40%","USD","9","USD 0.44","48","84.0%","https://s.click.aliexpress.com/e/_DF0GboT",,,,,,
