"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005002292650734","https://ae04.alicdn.com/kf/Hfd4a3f9b71414f7483a5e4ec0dda1828S.jpg",,"Deenor Summer 2021 Women Dress Sexy Polka Dot Sleeveless Off Shoulder Ruffle Beach Holiday Mini Dresses Fashion Clothes","USD 31.77","USD 19.06","40%","USD","9","USD 1.72","0","null%","https://s.click.aliexpress.com/e/_Dlbx8j9",,,,,,
"1005004490264360","https://ae04.alicdn.com/kf/S719cd4b12045496089b55e6aa82f0435J.jpg",,"Short Sleeve Lightweight Sweet  Floral Printing Casual Lady Dress Female Clothes","USD 11.70","USD 5.85","50%","USD","9","USD 0.53","0","null%","https://s.click.aliexpress.com/e/_DFjJ1dN",,,,,,
"1005005004773698","https://ae04.alicdn.com/kf/S432db796e61646e6afbc865027ec37d0t.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100104690343.mp4","Plus Size Women Sequin Dress Club Birthday Party Dress 2022 Summer Lady Casual Sleeveless Skirt Female Outfits Wholesale Clothes","USD 52.00","USD 26.00","50%","USD","20.0","USD 5.20","0","null%","https://s.click.aliexpress.com/e/_DddzHPp",,,,,,
"1005003096809433","https://ae04.alicdn.com/kf/S6eb65131422845c59268b7dcdd3bfb3d9.jpg",,"Women Autumn Double Breasted Elegant White Dresses Long Sleeve Casual Office Ladies A-Line Black Vestidos Femme Fashion Clothes","USD 42.48","USD 31.01","27%","USD","9.0","USD 2.79","4","null%","https://s.click.aliexpress.com/e/_DkUbCLN",,,,,,
"1005003747818156","https://ae04.alicdn.com/kf/Sa88022da69c04fa0a651a12bb2d7b9b0V.jpg",,"New Women Dress 2021 Summer New Drawstring A Shoulder Bubble Sleeve Temperament Chiffon Dress Women Clothes","USD 33.58","USD 16.79","50%","USD","9","USD 1.51","6","null%","https://s.click.aliexpress.com/e/_DFwZBY7",,,,,,
"1005004242103383","https://ae04.alicdn.com/kf/S1511deaf12ef4f11bf1be5376f2a1885Q.jpg",,"2022 Summer New French Temperament Dress Rose Red Bandage Puff Sleeves Open Back Slim A-line Skirt Fashion Ladies Clothes","USD 36.70","USD 22.02","40%","USD","9","USD 1.98","4","100.0%","https://s.click.aliexpress.com/e/_Dk7KO3z",,,,,,
"1005004410698155","https://ae04.alicdn.com/kf/S5d662518214045bb9fd502bcb75e8b5em.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100050388136.mp4","Summer Casual Floral Print Midi Women Dress Puff Sleeve Elegant Slim Vintage A-Line Maxi Vestidos Femme Fashion Korean Clothes","USD 30.78","USD 23.08","25%","USD","9","USD 2.08","0","null%","https://s.click.aliexpress.com/e/_DB5iUNv",,,,,,
"1005004127837766","https://ae04.alicdn.com/kf/Se8b68a63c91541eb840166f6518e3d58J.jpg",,"2022 Mini Dress Women Summer Shirring Puff Sleeve High Waist Solid Color Off Shoulder Lady Formal Dress Female Clothes","USD 8.34","USD 6.42","23%","USD","9","USD 0.58","0","null%","https://s.click.aliexpress.com/e/_DlDeVuF",,,,,,
"1005004387104754","https://ae04.alicdn.com/kf/S1006607bab1e4dd4b89d94dee07ea504R.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100046823519.mp4","Spring O Neck Vintage Flower Print Boho A-Line Dress Women Casual Dress Long Sleeve Mini Party Dress Female French Clothes Robe","USD 28.92","USD 17.64","39%","USD","9","USD 1.59","0","null%","https://s.click.aliexpress.com/e/_DEZCwNh",,,,,,
"1005004566774578","https://ae04.alicdn.com/kf/Sfe73c6192a6c4299921e801807afc6baV.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100071390205.mp4","Women Dress Summer Vintage Solid Casual Korean Fashion Halter Strap Sexy Party Evening Harajuku Beach Mini Dresses Y2k Clothes","USD 8.05","USD 4.99","38%","USD","9","USD 0.45","1","null%","https://s.click.aliexpress.com/e/_DFlUYXl",,,,,,
